Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9329910791999999,0.00189,0.875,0.49764951,0.005,0.93103,0.14180603
1,0.9342729998999999,0.0,0.875,0.424419428,0.005,0.93103,0.18840616
2,0.938376468,0.0,0.875,0.21292476000000002,0.005,0.75862,0.30061352199999997
3,0.938376468,0.0,0.875,0.34885555,0.005,0.75862,0.23965066999999998
4,0.938376468,0.0,0.875,0.22378173,0.005,0.75862,0.264283828
5,0.938376468,0.0,0.875,0.16137468800000002,0.005,0.62069,0.27047265200000004
6,0.9429150703999999,0.0,0.875,0.102128344,0.005,0.48276,0.298406258
7,0.9472250703999998,0.0,0.875,0.126047478,0.005,0.48276,0.28899380799999996
8,0.9472250703999998,0.0,0.875,0.188477526,0.005,0.48276,0.25948392000000003
9,0.9472250703999998,0.0,0.875,0.223656934,0.005,0.55172,0.244623632
10,0.9472250703999998,0.0,0.875,0.24063095199999998,0.005,0.51724,0.23446485199999997
11,0.9472250703999998,0.0,0.875,0.22933066200000002,0.005,0.48276,0.22857889800000003
12,0.9472250703999998,0.0,0.875,0.271435904,0.005,0.62069,0.21508957600000003
13,0.9472250703999998,0.0,0.875,0.22049714400000003,0.005,0.48276,0.23238563199999998
14,0.9472250703999998,0.0,0.875,0.18088595799999999,0.005,0.55172,0.25599634800000004
15,0.9472250703999998,0.0,0.875,0.16336575200000003,0.005,0.55172,0.256703358
16,0.94722576,0.0,0.875,0.21057357999999998,0.005,0.55172,0.233654352
17,0.94722576,0.0,0.875,0.229830186,0.005,0.62069,0.23642704399999998
18,0.94722576,0.0,0.875,0.166950822,0.005,0.58621,0.24633713000000002
19,0.94722576,0.0,0.875,0.169181036,0.005,0.55172,0.24153653599999997
20,0.94722576,0.0,0.875,0.16841531800000004,0.005,0.58621,0.24281114599999995
Best Pareto front
Generation,Hypervolume,error,gate fit
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.75,0.005
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.25,0.03448
18,0.94722576,0.125,0.06897
18,0.94722576,0.125,0.06897
18,0.94722576,0.125,0.06897
18,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,3,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
30.270000000000003,42.60142857142857
