Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9241009175999999,0.01381,0.875,0.50315405,0.005,0.89655,0.14522094600000002
1,0.9241009175999999,0.01381,0.875,0.5695393919999999,0.005,0.82759,0.061977278000000004
2,0.9247701743999999,0.01381,0.875,0.51392355,0.005,0.75862,0.059655366
3,0.9312125327999999,0.00447,0.875,0.438525436,0.005,0.75862,0.077588508
4,0.9312125327999999,0.00447,0.875,0.5037111759999999,0.005,0.75862,0.07349128599999999
5,0.9342485141,4e-05,0.875,0.509781708,0.005,0.75862,0.067684744
6,0.9342957599999999,0.0,0.875,0.368290182,0.005,0.75862,0.150042278
7,0.9342957599999999,0.0,0.875,0.31911944400000003,0.005,0.62069,0.19121888600000003
8,0.9342957599999999,0.0,0.875,0.15068146000000002,0.005,0.58621,0.282344972
9,0.9342957599999999,0.0,0.875,0.11256845800000001,0.005,0.55172,0.295172902
10,0.9342957599999999,0.0,0.875,0.087124968,0.005,0.48276,0.300753688
11,0.9342957599999999,0.0,0.875,0.07925149799999999,0.005,0.51724,0.304174274
12,0.9342957599999999,0.0,0.875,0.061021177999999995,0.005,0.51724,0.30937145800000004
13,0.9342957599999999,0.0,0.875,0.06554640399999999,0.005,0.51724,0.309945076
14,0.9342957599999999,0.0,0.875,0.06248880799999999,0.005,0.44828,0.311736804
15,0.9342957599999999,0.0,0.875,0.066070172,0.005,0.44828,0.310438696
16,0.9342957599999999,0.0,0.875,0.06054953200000001,0.005,0.44828,0.310134306
17,0.9342957599999999,0.0,0.875,0.054106532000000006,0.005,0.41379,0.314766138
18,0.9342957599999999,0.0,0.75,0.053041832,0.005,0.41379,0.31456310000000004
19,0.9342957599999999,0.0,0.875,0.060845562000000006,0.005,0.51724,0.31221896
20,0.9342957599999999,0.0,0.875,0.062984102,0.005,0.44828,0.31061718
21,0.9342957599999999,0.0,0.875,0.06278768600000001,0.005,0.44828,0.31163977800000003
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.0,0.31034
Best fitness
Objective,Generation,Error
0,8,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
28.38454545454545,40.77045454545455
