Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9282501678999999,-0.0,0.875,0.576896614,0.005,0.89655,0.10206561800000001
1,0.9303992397999998,-0.0,0.875,0.54712366,0.005,0.7931,0.11975357599999997
2,0.9346875173999998,-0.0,0.875,0.302847622,0.005,0.72414,0.21936288599999998
3,0.9346875173999998,-0.0,0.75,0.304098192,0.005,0.72414,0.20480615000000002
4,0.9357660517999999,-0.0,0.875,0.320785344,0.005,0.68966,0.19430643
5,0.9366577046,-0.0,0.75,0.32893903,0.005,0.68966,0.18608517400000002
6,0.9368387245999998,-0.0,0.875,0.305269782,0.005,0.68966,0.18952405
7,0.9368387245999998,-0.0,0.875,0.29960636599999996,0.005,0.62069,0.18843263799999999
8,0.9417361991999998,-0.0,0.875,0.254902968,0.005,0.62069,0.198431914
9,0.9472198984,-0.0,0.875,0.259797948,0.005,0.62069,0.198047532
10,0.9472198984,-0.0,0.75,0.259877362,0.005,0.62069,0.19514596199999998
11,0.9472230016000001,-0.0,0.875,0.20984914200000002,0.005,0.62069,0.21129753
12,0.9472230016000001,-0.0,0.875,0.21643619600000003,0.005,0.62069,0.20216335199999996
13,0.9472233463999999,-0.0,0.875,0.171347704,0.005,0.62069,0.21739975399999995
14,0.9472233463999999,-0.0,0.875,0.13981173,0.005,0.62069,0.228654284
15,0.9472250704,-0.0,0.875,0.16209789400000002,0.005,0.62069,0.21985099599999994
16,0.9472250704,-0.0,0.875,0.184821202,0.005,0.62069,0.213849142
17,0.9472250704,-0.0,0.875,0.1660287,0.005,0.62069,0.218293498
18,0.9472254151999999,-0.0,0.875,0.12720276800000002,0.005,0.62069,0.22600536599999996
19,0.9472254151999999,-0.0,0.875,0.12608612600000002,0.005,0.62069,0.22142476599999997
20,0.9472254151999999,-0.0,0.875,0.139987562,0.005,0.62069,0.21959372800000002
21,0.94722576,0.0,0.875,0.12896958,0.005,0.75862,0.220462664
22,0.94722576,0.0,0.875,0.166489194,0.005,0.65517,0.20872061800000002
23,0.94722576,0.0,0.875,0.22180243600000005,0.005,0.62069,0.19306485800000003
24,0.94722576,0.0,0.875,0.15974507200000002,0.005,0.62069,0.20843272200000001
25,0.94722576,0.0,0.875,0.199885746,0.005,0.62069,0.193762842
26,0.94722576,0.0,0.875,0.20718231,0.005,0.65517,0.19074595400000002
27,0.94722576,0.0,0.875,0.211819762,0.005,0.75862,0.17078594600000002
Best Pareto front
Generation,Hypervolume,error,gate fit
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.75,0.005
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.25,0.03448
23,0.94722576,0.125,0.06897
23,0.94722576,0.125,0.06897
23,0.94722576,0.125,0.06897
23,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
39.099642857142854,53.147499999999994
