Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.48198930759999997,0.43655,1.0,0.8349160549999999,0.06897,0.93103,0.20096668000000004
1,0.4845099998,0.4338,1.0,0.8123142399999999,0.06897,0.89655,0.15684708500000002
2,0.4845099998,0.4338,1.0,0.8158196849999997,0.06897,0.89655,0.121675775
3,0.4845099998,0.4338,1.0,0.8240702622289459,0.06897,0.89655,0.14381128088754414
4,0.5004244959999999,0.41283,1.0,0.8156179499999998,0.06897,0.89655,0.12503781
5,0.5008127407999999,0.41283,1.0,0.8270444784353057,0.06897,0.89655,0.14540439317953863
6,0.5008127407999999,0.41283,1.0,0.8156086149999997,0.06897,0.89655,0.122589565
7,0.500860668,0.41283,1.0,0.8240461717171715,0.06897,0.89655,0.14697235353535354
8,0.500860668,0.41283,1.0,0.8139652099999998,0.06897,0.89655,0.12645151
9,0.5048853792000001,0.40939,1.0,0.8227602714932124,0.06897,0.89655,0.14587395676219206
10,0.5048853792000001,0.40939,1.0,0.8150224299999997,0.06897,0.89655,0.12438260999999999
11,0.5048853792000001,0.40939,1.0,0.8230016179435482,0.06897,0.89655,0.14452095262096773
12,0.5048853792000001,0.40939,1.0,0.8144988699999998,0.06897,0.89655,0.12571018499999997
13,0.5517752240000001,0.31288,1.0,0.8227092687846695,0.06897,0.89655,0.1455328139183056
14,0.5540272994000001,0.31288,1.0,0.8142069949999998,0.06897,0.89655,0.1234171
15,0.5540272994000001,0.31288,1.0,0.8242520121028741,0.06897,0.89655,0.14542843166918812
16,0.5540272994000001,0.31288,1.0,0.8145995649999997,0.06897,0.89655,0.127141205
17,0.5540272994000001,0.31288,1.0,0.82234264780192,0.06897,0.89655,0.14756935826174836
18,0.5540272994000001,0.31288,1.0,0.8149321049999998,0.06897,0.89655,0.126486035
19,0.5540272994000001,0.31288,1.0,0.8229425392008092,0.06897,0.89655,0.14635820940819425
20,0.5540272994000001,0.31288,1.0,0.8148721749999998,0.06897,0.89655,0.12496876500000001
21,0.5578073102,0.31288,1.0,0.8244532178714858,0.06897,0.89655,0.14587928714859438
22,0.5578073102,0.31288,1.0,0.8149817349999997,0.06897,0.89655,0.123727485
23,0.5584689813999999,0.31288,1.0,0.8216414941948509,0.06897,0.89655,0.1475596567390207
