Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.5106024418,0.40028,1.0,0.832743334,0.06897,0.93103,0.20436616000000002
1,0.5108024548,0.40028,1.0,0.8163460140000001,0.06897,1.0,0.188711394
2,0.5283713212000001,0.36632,1.0,0.8061176360000001,0.06897,0.93103,0.16605713
3,0.5297215786,0.36371,1.0,0.8180683219999999,0.06897,0.93103,0.13887186999999998
4,0.5329045752000001,0.36371,1.0,0.8178797839999999,0.06897,0.93103,0.136892606
5,0.5352004512,0.36371,1.0,0.8270623801583993,0.06897,0.93103,0.16036372446852853
6,0.5352004512,0.36371,1.0,0.817529512,0.06897,0.93103,0.142933782
7,0.5584603407000001,0.32487,1.0,0.81617606,0.06897,0.93103,0.138313322
8,0.5585955219000001,0.32487,1.0,0.8258063070193709,0.06897,0.93103,0.15994749427202665
9,0.5585955219000001,0.32487,1.0,0.8172597219999999,0.06897,0.93103,0.14115454
10,0.5589310123000001,0.32487,1.0,0.8167687480000001,0.06897,0.93103,0.13896155200000002
11,0.5589310123000001,0.32487,1.0,0.8178288979999999,0.06897,0.93103,0.138954602
12,0.5589310123000001,0.32487,1.0,0.8166993819999999,0.06897,0.93103,0.139113222
13,0.5589310123000001,0.32487,1.0,0.81710331,0.06897,0.96552,0.139671824
14,0.5589310123000001,0.32487,1.0,0.816817314,0.06897,0.93103,0.1395477
15,0.5686209541000001,0.3076,1.0,0.817010542,0.06897,0.93103,0.13905806
16,0.5686664743000001,0.3076,1.0,0.8165376279999998,0.06897,0.96552,0.139506332
17,0.5719564749,0.30079,1.0,0.8158720199999999,0.06897,0.93103,0.140899406
18,0.5719564749,0.30079,1.0,0.81629478,0.06897,0.93103,0.14047874200000002
19,0.5719564749,0.30079,1.0,0.8155307919999999,0.06897,0.93103,0.141347688
20,0.5719564749,0.30079,1.0,0.8157756519999999,0.06897,0.93103,0.141630418
21,0.5719564749,0.30079,1.0,0.8155700719999999,0.06897,0.93103,0.14261663000000002
22,0.5719564749,0.30079,1.0,0.8156149879999999,0.06897,0.93103,0.140864922
23,0.5719619925,0.30079,1.0,0.815860528,0.06897,0.93103,0.14238898600000002
24,0.5848099924,0.27961,1.0,0.8154596339999999,0.06897,0.93103,0.14081664400000002
25,0.5848344803000001,0.27961,1.0,0.8157483179999999,0.06897,0.93103,0.140927
26,0.5852385876,0.27961,1.0,0.8154394420000001,0.06897,0.93103,0.140658054
27,0.5863068706000001,0.27961,1.0,0.815887868,0.06897,0.93103,0.141568352
28,0.5878019832,0.27672,1.0,0.8159434579999999,0.06897,0.93103,0.14080283600000001
29,0.5901817911,0.27672,1.0,0.815956718,0.06897,0.93103,0.140292524
30,0.5957945405000001,0.26619,1.0,0.815710664,0.06897,0.96552,0.14145802000000002
31,0.5957945405000001,0.26619,1.0,0.8143642739999999,0.06897,0.93103,0.141768364
32,0.5959983173000002,0.26619,1.0,0.8144867399999999,0.06897,0.93103,0.143713134
33,0.5963421826000002,0.26619,1.0,0.814714976,0.06897,0.93103,0.142554564
34,0.5978658538000001,0.26619,1.0,0.8137172079999999,0.06897,0.93103,0.14154768199999998
35,0.5997148635,0.26224,1.0,0.814457138,0.06897,0.93103,0.14243040799999998
36,0.5997162427,0.26224,1.0,0.8142461599999998,0.06897,0.93103,0.14252007199999997
37,0.5998631275,0.26224,1.0,0.8142640499999999,0.06897,0.93103,0.143823492
38,0.6008761521,0.26224,1.0,0.8137349419999999,0.06897,0.93103,0.144126936
39,0.6008778766,0.26224,1.0,0.8141986339999999,0.06897,0.93103,0.14124423000000003
Best Pareto front
Generation,Hypervolume,error,gate fit
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.82322,0.06897
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.46715,0.2069
41,0.6008778766,0.76903,0.10345
41,0.6008778766,0.76903,0.10345
41,0.6008778766,0.27961,0.44828
41,0.6008778766,0.30484,0.41379
41,0.6008778766,0.30484,0.41379
41,0.6008778766,0.60472,0.13793
41,0.6008778766,0.60472,0.13793
41,0.6008778766,0.38686,0.27586
41,0.6008778766,0.38686,0.27586
41,0.6008778766,0.27672,0.48276
41,0.6008778766,0.27672,0.48276
41,0.6008778766,0.26619,0.51724
41,0.6008778766,0.26619,0.51724
41,0.6008778766,0.59475,0.17241
41,0.6008778766,0.59475,0.17241
41,0.6008778766,0.26224,0.58621
41,0.6008778766,0.26224,0.58621
41,0.6008778766,0.39221,0.24138
41,0.6008778766,0.39221,0.24138
41,0.6008778766,0.26597,0.55172
41,0.6008778766,0.26597,0.55172
41,0.6008778766,0.32552,0.34483
41,0.6008778766,0.32552,0.34483
41,0.6008778766,0.35016,0.31034
Best fitness
Objective,Generation,Error
0,37,0.26224
1,2,0.06897
Avg simulation runtime,Avg generation runtime
22.752499999999998,37.3495
