Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9279283848999998,0.00285,0.875,0.539721132,0.005,1.10345,0.10398068
1,0.9323299439999999,0.00285,0.875,0.5368599159999999,0.005,0.82759,0.11228405600000001
2,0.9334373503,0.00116,0.875,0.687799454,0.005,0.86207,0.043091460000000005
3,0.9342947255,0.0,0.875,0.49791753200000005,0.005,0.86207,0.139665038
4,0.9342954151,0.0,0.875,0.35760743,0.005,0.86207,0.20433888
5,0.93860576,0.0,0.875,0.234760198,0.005,0.86207,0.25607476
6,0.9400084063999999,0.0,0.875,0.235995366,0.005,0.7931,0.233912778
7,0.9400084063999999,0.0,0.875,0.23192788,0.005,0.58621,0.222654248
8,0.9400084063999999,0.0,0.875,0.11114591400000001,0.005,0.55172,0.250499974
9,0.9400084063999999,0.0,0.875,0.026230811999999996,0.005,0.51724,0.27118724799999994
10,0.9400084063999999,0.0,0.875,0.02346039,0.005,0.51724,0.26969891999999995
11,0.9400084063999999,0.0,0.875,0.0074445579999999996,0.005,0.51724,0.27527213599999995
12,0.9400084063999999,0.0,0.875,0.012771958,0.005,0.37931,0.27316515599999996
13,0.9400084063999999,0.0,0.75,0.012657341999999999,0.005,0.37931,0.271802924
14,0.9400084063999999,0.0,0.75,0.018693064000000002,0.005,0.34483,0.26979075999999996
15,0.9400084063999999,0.0,0.875,0.0091435,0.005,0.37931,0.27297780799999993
16,0.9400084063999999,0.0,0.875,0.005193097999999999,0.005,0.37931,0.27493408999999996
17,0.9400084063999999,0.0,0.75,0.003659122,0.005,0.34483,0.27438328199999995
18,0.9400084063999999,0.0,0.75,0.00562485,0.005,0.34483,0.2735962999999999
19,0.9400084063999999,0.0,0.875,0.008678992,0.005,0.34483,0.27295521399999995
20,0.9400084063999999,0.0,0.75,0.011859126000000001,0.005,0.37931,0.271666884
21,0.9400084063999999,0.0,0.875,0.00826676,0.005,0.37931,0.273423094
22,0.9400084063999999,0.0,0.875,0.014569142,0.005,0.41379,0.27163820399999994
23,0.9400084063999999,0.0,0.875,0.011643104,0.005,0.37931,0.27249535799999997
24,0.9400084063999999,0.0,0.75,0.021463733999999998,0.005,0.44828,0.26867362599999994
25,0.9400084063999999,0.0,0.875,0.032756153999999996,0.005,0.37931,0.264247682
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.75,0.005
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.25,0.03448
8,0.9400084063999999,0.125,0.06897
8,0.9400084063999999,0.125,0.06897
8,0.9400084063999999,0.0,0.27586
8,0.9400084063999999,0.0,0.27586
8,0.9400084063999999,0.0,0.27586
8,0.9400084063999999,0.08432,0.24138
Best fitness
Objective,Generation,Error
0,5,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
42.84461538461539,56.25423076923077
