Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9244686856,0.00066,0.875,0.5147610380000001,0.005,0.93103,0.10966547800000001
1,0.9279502254999998,4e-05,0.875,0.4472871560000001,0.005,0.93103,0.141743434
2,0.9308325781,-0.0,0.875,0.278543972,0.005,0.93103,0.28462983
3,0.9328675127999999,-0.0,0.875,0.203209012,0.005,0.89655,0.375633852
4,0.9328757904,0.0,0.875,0.164869782,0.005,0.7931,0.41843217800000004
5,0.9349129255999999,-0.0,0.875,0.11493873799999998,0.005,0.75862,0.41396433400000004
6,0.9361900903,-0.0,0.875,0.116915878,0.005,0.75862,0.414864066
7,0.9361900903,-0.0,0.875,0.105096404,0.005,0.7931,0.41537500800000005
8,0.9361942283,-0.0,0.875,0.11933858800000001,0.005,0.7931,0.418441958
9,0.9361942283,-0.0,0.875,0.173172658,0.005,0.75862,0.34631939400000006
10,0.9361956075,-0.0,0.875,0.130295974,0.005,0.75862,0.377371484
11,0.9361956075,-0.0,0.875,0.12726822,0.005,0.82759,0.4027040620000001
12,0.9361994007999999,0.0,0.875,0.136062694,0.005,0.7931,0.38318027000000005
13,0.9361994007999999,0.0,0.875,0.246265058,0.005,0.75862,0.28588130200000006
14,0.9361994007999999,0.0,0.875,0.20832286400000002,0.005,0.75862,0.302151594
15,0.9361994007999999,0.0,0.875,0.196625884,0.005,0.75862,0.30250684400000005
16,0.9361994007999999,0.0,0.875,0.18089766,0.005,0.75862,0.31694341800000003
17,0.9361994007999999,0.0,0.875,0.113521842,0.005,0.72414,0.324686808
18,0.9361994007999999,0.0,0.875,0.08271150000000001,0.005,0.68966,0.313134008
19,0.9361994007999999,0.0,0.875,0.080873238,0.005,0.75862,0.31710772800000003
20,0.93860576,0.0,0.875,0.065821964,0.005,0.75862,0.30986181
21,0.93860576,0.0,0.875,0.076667586,0.005,0.68966,0.305194618
22,0.93860576,0.0,0.875,0.07955671199999999,0.005,0.7931,0.29926877599999996
23,0.93860576,0.0,0.875,0.08119774,0.005,0.75862,0.2988884
Best Pareto front
Generation,Hypervolume,error,gate fit
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.25,0.03448
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.75,0.005
22,0.93860576,0.125,0.06897
22,0.93860576,0.125,0.06897
22,0.93860576,0.125,0.06897
22,0.93860576,0.125,0.06897
22,0.93860576,0.0,0.27586
Best fitness
Objective,Generation,Error
0,4,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
44.82083333333333,61.23500000000001
