Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.34495686299999995,0.625,1.0,0.8095536999999999,0.06897,1.24138,0.21248418000000002
1,0.34495686299999995,0.625,1.0,0.7768064400000001,0.06897,1.24138,0.15224400000000002
2,0.42727515899999996,0.52122,1.0,0.7731260999999999,0.06897,1.24138,0.14203735999999997
3,0.42727515899999996,0.52122,1.0,0.77146204,0.06897,1.24138,0.1400719
4,0.42727515899999996,0.52122,1.0,0.77144594,0.06897,1.24138,0.14283048
5,0.42727515899999996,0.52122,1.0,0.7703809199999999,0.06897,1.24138,0.13900302
6,0.42727515899999996,0.52122,1.0,0.7705848699999999,0.06897,1.24138,0.1389686
7,0.42727515899999996,0.52122,1.0,0.7707843299999999,0.06897,1.24138,0.13907197999999998
8,0.434509143,0.5121,1.0,0.77111811,0.06897,1.24138,0.13965814999999998
9,0.434509143,0.5121,1.0,0.7713258599999999,0.06897,1.24138,0.13972711000000002
10,0.4436896549999999,0.5,1.0,0.77063698,0.06897,1.24138,0.1403478
11,0.4436896549999999,0.5,1.0,0.76959206,0.06897,1.24138,0.13883062
12,0.4475835759999999,0.5,1.0,0.7680111500000001,0.06897,1.24138,0.14065811
13,0.4475835759999999,0.5,1.0,0.76962313,0.06897,1.24138,0.13903750000000004
14,0.4475835759999999,0.5,1.0,0.7688360700000001,0.06897,1.24138,0.13865822
15,0.4475835759999999,0.5,1.0,0.7692074999999999,0.06897,1.24138,0.13900305
16,0.4483160374,0.5,1.0,0.7699010599999999,0.06897,1.24138,0.13872712999999998
17,0.4483160374,0.5,1.0,0.76906442,0.06897,1.24138,0.13838235000000002
18,0.4483160374,0.5,1.0,0.76877476,0.06897,1.24138,0.13927885
19,0.4483160374,0.5,1.0,0.76860087,0.06897,1.24138,0.13952019000000002
20,0.452728113,0.5,1.0,0.7691411,0.06897,1.24138,0.13903744
21,0.452728113,0.5,1.0,0.7707583400000001,0.06897,1.24138,0.13827886
22,0.452728113,0.5,1.0,0.7706377999999999,0.06897,1.24138,0.13903739
23,0.452728113,0.5,1.0,0.77115726,0.06897,1.24138,0.138072
24,0.452728113,0.5,1.0,0.7713696,0.06897,1.24138,0.13969258
25,0.452728113,0.5,1.0,0.77045994,0.06897,1.24138,0.13793408
26,0.452728113,0.5,1.0,0.7707144599999999,0.06897,1.24138,0.13865813
27,0.452728113,0.5,1.0,0.77200742,0.06897,1.24138,0.13710650000000002
28,0.452728113,0.5,1.0,0.77037191,0.06897,1.24138,0.13996844
29,0.452728113,0.5,1.0,0.7704666099999999,0.06897,1.24138,0.13903744
30,0.452728113,0.5,1.0,0.7713382,0.06897,1.24138,0.13886504
31,0.452728113,0.5,1.0,0.7703701000000001,0.06897,1.24138,0.13838233
32,0.452728113,0.5,1.0,0.77121884,0.06897,1.24138,0.13807195000000003
33,0.452728113,0.5,1.0,0.77013998,0.06897,1.24138,0.13848574000000002
34,0.452728113,0.5,1.0,0.77048947,0.06897,1.24138,0.13900294
35,0.452728113,0.5,1.0,0.7699697000000001,0.06897,1.24138,0.13889948000000002
36,0.452728113,0.5,1.0,0.77150688,0.06897,1.24138,0.13731339
37,0.452728113,0.5,1.0,0.77090707,0.06897,1.24138,0.13869264
38,0.452728113,0.5,1.0,0.77131261,0.06897,1.24138,0.13862367
39,0.452728113,0.5,1.0,0.77002408,0.06897,1.24138,0.13879608000000002
40,0.452728113,0.5,1.0,0.7711285,0.06897,1.24138,0.13855468999999998
41,0.452728113,0.5,1.0,0.77030651,0.06897,1.24138,0.13927879999999998
42,0.452728113,0.5,1.0,0.76984835,0.06897,1.24138,0.13917541
43,0.452728113,0.5,1.0,0.77097171,0.06897,1.24138,0.13776164
44,0.452728113,0.5,1.0,0.7711989100000001,0.06897,1.24138,0.13776163
45,0.452728113,0.5,1.0,0.7705954300000001,0.06897,1.24138,0.13872709
46,0.452728113,0.5,1.0,0.77101604,0.06897,1.24138,0.13738235000000001
47,0.452728113,0.5,1.0,0.77138198,0.06897,1.24138,0.13855468
