Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8436312625,0.12515,0.875,0.49276424,0.005,0.68966,0.10243376000000001
1,0.8436312625,0.12515,0.875,0.6902394799999999,0.005,0.68966,0.0390554
2,0.8479360905,0.12515,0.875,0.7055736,0.005,0.65517,0.02429095999999999
3,0.8479360905,0.12515,0.875,0.68110274,0.005,0.68966,0.03459168
4,0.8479360905,0.12515,0.875,0.68194954,0.005,0.68966,0.0327196
5,0.8479360905,0.12515,0.875,0.6933791,0.005,0.62069,0.023017399999999997
6,0.8480292089999999,0.125,0.875,0.6793196399999999,0.005,0.62069,0.030750459999999997
7,0.8480292089999999,0.125,0.875,0.6614064999999999,0.005,0.62069,0.037306980000000003
8,0.8480292089999999,0.125,0.875,0.6336651600000001,0.005,0.62069,0.04605149999999999
9,0.84807576,0.125,0.875,0.6410501,0.005,0.65517,0.04552287999999999
10,0.84807576,0.125,0.875,0.6200241,0.005,0.65517,0.05927409999999999
11,0.84807576,0.125,0.875,0.61311798,0.005,0.62069,0.052603319999999995
12,0.84807576,0.125,0.875,0.62702598,0.005,0.65517,0.04524494
13,0.84807576,0.125,0.875,0.6274183,0.005,0.72414,0.0444264
14,0.84807576,0.125,0.875,0.6205186000000001,0.005,0.72414,0.053310839999999984
15,0.84807576,0.125,0.875,0.6212668,0.005,0.72414,0.046052559999999985
16,0.84807576,0.125,0.875,0.6364002400000001,0.005,0.72414,0.045040039999999996
17,0.84807576,0.125,0.875,0.62023108,0.005,0.72414,0.05033952
18,0.84807576,0.125,0.875,0.63891696,0.005,0.72414,0.0431481
19,0.84807576,0.125,0.875,0.6192937399999999,0.005,0.75862,0.04879021999999999
20,0.84807576,0.125,0.875,0.63192336,0.005,0.72414,0.03841947999999999
21,0.84807576,0.125,0.75,0.6247443800000001,0.005,0.72414,0.04552074
22,0.84807576,0.125,0.875,0.6082913000000001,0.005,0.75862,0.05589266
23,0.84807576,0.125,0.875,0.58261892,0.005,0.72414,0.04992994
24,0.84807576,0.125,0.875,0.62230872,0.005,0.68966,0.04238744000000001
25,0.84807576,0.125,0.75,0.6072502799999999,0.005,0.68966,0.02485256
26,0.84807576,0.125,0.78844,0.61020572,0.005,0.68966,0.032792459999999996
27,0.84807576,0.125,0.75,0.6137366,0.005,0.68966,0.027898060000000006
28,0.84807576,0.125,0.75,0.61076884,0.005,0.68966,0.02566124
29,0.84807576,0.125,0.75,0.62544848,0.005,0.68966,0.0232294
30,0.84807576,0.125,0.75,0.60273004,0.005,0.68966,0.02903946
31,0.84807576,0.125,0.75,0.6204547,0.005,0.68966,0.023948059999999997
32,0.84807576,0.125,0.75,0.62719786,0.005,0.68966,0.0231115
33,0.84807576,0.125,0.75,0.62574826,0.005,0.68966,0.024067019999999998
34,0.84807576,0.125,0.75,0.60110268,0.005,0.68966,0.030043880000000002
35,0.84807576,0.125,0.75,0.6256978599999999,0.005,0.68966,0.02330842
36,0.84807576,0.125,0.75,0.62219786,0.005,0.68966,0.023475259999999998
37,0.84807576,0.125,0.75,0.63619786,0.005,0.68966,0.0223639
38,0.84807576,0.125,0.75,0.6167849999999999,0.005,0.68966,0.025159439999999998
39,0.84807576,0.125,0.75,0.63094786,0.005,0.68966,0.02294464
40,0.84807576,0.125,0.75,0.63494786,0.005,0.68966,0.022708799999999998
41,0.84807576,0.125,0.75,0.63769786,0.005,0.68966,0.0226009
42,0.84807576,0.125,0.75,0.61944786,0.005,0.68966,0.02394812
43,0.84807576,0.125,0.75,0.62094854,0.005,0.68966,0.023948
44,0.84807576,0.125,0.75,0.6264866,0.005,0.68966,0.02337732
45,0.84807576,0.125,0.75,0.62594798,0.005,0.68966,0.023377360000000003
46,0.84807576,0.125,0.75,0.61014496,0.005,0.68966,0.028144000000000002
47,0.84807576,0.125,0.75,0.62123812,0.005,0.68966,0.02430292
48,0.84807576,0.125,0.75,0.61023492,0.005,0.68966,0.028675660000000002
49,0.84807576,0.125,0.75,0.6112047199999999,0.005,0.68966,0.026429840000000003
50,0.84807576,0.125,0.75,0.6057399,0.005,0.68966,0.02836982
51,0.84807576,0.125,0.75,0.61617904,0.005,0.68966,0.026528740000000002
52,0.84807576,0.125,0.75,0.61013972,0.005,0.68966,0.0255822
53,0.84807576,0.125,0.75,0.61790468,0.005,0.68966,0.025455360000000003
54,0.84807576,0.125,0.75,0.6172401,0.005,0.68966,0.024597659999999997
55,0.84807576,0.125,0.75,0.62196546,0.005,0.68966,0.02472672
56,0.84807576,0.125,0.75,0.6249488400000001,0.005,0.68966,0.023653280000000002
57,0.84807576,0.125,0.75,0.6132130600000001,0.005,0.68966,0.02707054
58,0.84807576,0.125,0.75,0.6267048999999999,0.005,0.68966,0.02407702
59,0.84807576,0.125,0.75,0.62920308,0.005,0.68966,0.02306254
60,0.84807576,0.125,0.75,0.6208790000000001,0.005,0.68966,0.025258380000000004
61,0.84807576,0.125,0.75,0.6163772799999999,0.005,0.68966,0.025090499999999998
62,0.84807576,0.125,0.75,0.6182601600000001,0.005,0.68966,0.026410840000000005
63,0.84807576,0.125,0.75,0.6256978599999999,0.005,0.68966,0.02330842
64,0.84807576,0.125,0.75,0.6124863800000001,0.005,0.68966,0.025405360000000002
65,0.84807576,0.125,0.75,0.6140260200000001,0.005,0.68966,0.02582918
66,0.84807576,0.125,0.75,0.59640032,0.005,0.68966,0.031186379999999996
67,0.84807576,0.125,0.75,0.62944786,0.005,0.68966,0.022924599999999996
68,0.84807576,0.125,0.75,0.6221982399999999,0.005,0.68966,0.02382008
69,0.84807576,0.125,0.75,0.63969786,0.005,0.68966,0.022482979999999996
70,0.84807576,0.125,0.75,0.62594786,0.005,0.68966,0.0233084
71,0.84807576,0.125,0.75,0.63369824,0.005,0.68966,0.022895620000000002
72,0.84807576,0.125,0.75,0.62394892,0.005,0.68966,0.024253880000000002
73,0.84807576,0.125,0.75,0.62269994,0.005,0.68966,0.026933500000000003
74,0.84807576,0.125,0.75,0.63369786,0.005,0.68966,0.022402819999999997
75,0.84807576,0.125,0.75,0.6072963600000001,0.005,0.68966,0.026103920000000003
76,0.84807576,0.125,0.75,0.62994786,0.005,0.68966,0.022786639999999997
77,0.84807576,0.125,0.75,0.6087079999999999,0.005,0.68966,0.025562179999999997
78,0.84807576,0.125,0.75,0.62994856,0.005,0.68966,0.02376224
79,0.84807576,0.125,0.75,0.61594786,0.005,0.68966,0.024390819999999997
80,0.84807576,0.125,0.75,0.6296978599999999,0.005,0.68966,0.02285562
81,0.84807576,0.125,0.75,0.61876148,0.005,0.68966,0.024982619999999997
82,0.84807576,0.125,0.75,0.62794786,0.005,0.68966,0.023249380000000004
83,0.84807576,0.125,0.75,0.60432538,0.005,0.68966,0.02999502
84,0.84807576,0.125,0.75,0.62644786,0.005,0.68966,0.023101479999999997
85,0.84807576,0.125,0.75,0.6064434200000001,0.005,0.68966,0.029690179999999997
86,0.84807576,0.125,0.75,0.61243506,0.005,0.68966,0.0273364
87,0.84807576,0.125,0.75,0.6249522,0.005,0.68966,0.023584320000000002
88,0.84807576,0.125,0.75,0.62321894,0.005,0.68966,0.02403698
89,0.84807576,0.125,0.75,0.63244786,0.005,0.68966,0.022747720000000003
90,0.84807576,0.125,0.75,0.61974438,0.005,0.68966,0.02436188
91,0.84807576,0.125,0.75,0.62594786,0.005,0.68966,0.02287448
92,0.84807576,0.125,0.75,0.6238345,0.005,0.68966,0.024174880000000003
93,0.84807576,0.125,0.75,0.61470814,0.005,0.68966,0.02520842
94,0.84807576,0.125,0.75,0.6180815199999999,0.005,0.68966,0.024824640000000002
95,0.84807576,0.125,0.75,0.61129896,0.005,0.68966,0.02877462
96,0.84807576,0.125,0.75,0.63544786,0.005,0.68966,0.02257084
97,0.84807576,0.125,0.75,0.6033065400000001,0.005,0.68966,0.030005019999999997
98,0.84807576,0.125,0.75,0.61723638,0.005,0.68966,0.024262880000000004
99,0.84807576,0.125,0.75,0.62819786,0.005,0.68966,0.02305254
100,0.84807576,0.125,0.75,0.61500684,0.005,0.68966,0.02582906
101,0.84807576,0.125,0.75,0.61318938,0.005,0.68966,0.02629184
102,0.84807576,0.125,0.75,0.6092689,0.005,0.68966,0.029168419999999997
103,0.84807576,0.125,0.75,0.60795442,0.005,0.68966,0.02687264
104,0.84807576,0.125,0.75,0.59656034,0.005,0.68966,0.03130428
105,0.84807576,0.125,0.75,0.6277067999999999,0.005,0.68966,0.02388014
106,0.84807576,0.125,0.75,0.6246984800000001,0.005,0.68966,0.02378116
107,0.84807576,0.125,0.75,0.60857172,0.005,0.68966,0.02681366
108,0.84807576,0.125,0.75,0.6154295200000001,0.005,0.68966,0.02770116
109,0.84807576,0.125,0.75,0.6174555399999999,0.005,0.68966,0.023918039999999998
110,0.84807576,0.125,0.75,0.62319786,0.005,0.68966,0.023347339999999998
111,0.84807576,0.125,0.75,0.63144786,0.005,0.68966,0.02280668
112,0.84807576,0.125,0.75,0.62694786,0.005,0.68966,0.0233184
113,0.84807576,0.125,0.75,0.63195078,0.005,0.68966,0.024264960000000002
114,0.84807576,0.125,0.75,0.6063773200000001,0.005,0.68966,0.02686256
115,0.84807576,0.125,0.75,0.61719786,0.005,0.68966,0.023918059999999998
116,0.84807576,0.125,0.75,0.60605268,0.005,0.68966,0.02836982
117,0.84807576,0.125,0.75,0.63494786,0.005,0.68966,0.022708799999999998
118,0.84807576,0.125,0.75,0.61279302,0.005,0.68966,0.0283119
119,0.84807576,0.125,0.75,0.6295759799999999,0.005,0.68966,0.023279479999999998
120,0.84807576,0.125,0.75,0.63171496,0.005,0.68966,0.02316154
121,0.84807576,0.125,0.75,0.62819786,0.005,0.68966,0.02305254
122,0.84807576,0.125,0.75,0.6239712,0.005,0.68966,0.02432288
123,0.84807576,0.125,0.75,0.61870878,0.005,0.68966,0.026627720000000004
124,0.84807576,0.125,0.75,0.60987854,0.005,0.68966,0.02876466
125,0.84807576,0.125,0.75,0.61001072,0.005,0.68966,0.0268136
126,0.84807576,0.125,0.75,0.62344786,0.005,0.68966,0.02356428
127,0.84807576,0.125,0.75,0.6023778,0.005,0.68966,0.03117746
128,0.84807576,0.125,0.75,0.63544786,0.005,0.68966,0.02257084
129,0.84807576,0.125,0.75,0.59372342,0.005,0.68966,0.029097420000000002
130,0.84807576,0.125,0.75,0.6284500399999999,0.005,0.68966,0.02389016
131,0.84807576,0.125,0.75,0.6027465,0.005,0.68966,0.02917742
132,0.84807576,0.125,0.75,0.61660394,0.005,0.68966,0.02606608
133,0.84807576,0.125,0.75,0.6127968599999999,0.005,0.68966,0.027405339999999997
134,0.84807576,0.125,0.75,0.62119786,0.005,0.68966,0.023751179999999997
135,0.84807576,0.125,0.75,0.61969786,0.005,0.68966,0.023662179999999998
