Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.3163369275,0.6579,0.92098,0.8368550800000001,0.005,1.0,0.43919282
1,0.40080720239999995,0.4847,0.93853,0.81084092,0.005,1.0,0.4032727
2,0.4130746676,0.4847,1.0,0.7920072800000001,0.005,1.0,0.36207342000000003
3,0.4340945168,0.4847,0.93853,0.77948878,0.005,1.0,0.28749678
4,0.4340945168,0.4847,0.90581,0.7652802,0.005,1.0,0.2348065
5,0.4340945168,0.4847,0.86625,0.7527799599999999,0.005,1.0,0.17859698
6,0.4340945168,0.4847,0.82397,0.7449514399999999,0.005,1.0,0.11893194000000001
7,0.4358329984,0.4847,0.80564,0.72976584,0.005,0.82759,0.09199964
8,0.4358329984,0.4847,0.80102,0.7373951400000001,0.005,0.58621,0.027923539999999993
9,0.4361651371,0.4847,0.77152,0.7688524600000001,0.005,0.58621,0.0081714
10,0.4361651371,0.4847,0.77152,0.76859068,0.005,0.58621,0.00823036
11,0.4361651371,0.4847,0.77152,0.76859068,0.005,0.58621,0.00823036
12,0.4374536710999999,0.4847,0.77152,0.76918706,0.005,0.58621,0.007836560000000001
13,0.44637300059999996,0.46315,0.77152,0.7690555,0.005,0.58621,0.00706794
14,0.44639093179999995,0.46315,0.77152,0.7687758000000001,0.005,0.58621,0.007964500000000001
15,0.44639093179999995,0.46315,0.77152,0.7684386000000001,0.005,0.58621,0.00823036
16,0.44639093179999995,0.46315,0.77152,0.7684386000000001,0.005,0.58621,0.00823036
17,0.44639093179999995,0.46315,0.77152,0.7684386000000001,0.005,0.58621,0.00823036
18,0.44639093179999995,0.46315,0.77152,0.7684386000000001,0.005,0.58621,0.00823036
19,0.44639093179999995,0.46315,0.77152,0.7684386000000001,0.005,0.58621,0.00823036
20,0.4594494253,0.46315,0.77152,0.76784894,0.005,0.58621,0.00918588
21,0.4594494253,0.46315,0.77152,0.7672592800000001,0.005,0.58621,0.0101414
22,0.45983329900000003,0.46315,0.77152,0.7674988,0.005,0.58621,0.010082440000000002
23,0.45983329900000003,0.46315,0.77152,0.7672147600000001,0.005,0.58621,0.0101414
24,0.4627385838,0.46315,0.77152,0.7667090400000001,0.005,0.58621,0.011027959999999996
25,0.4627385838,0.46315,0.77152,0.76620332,0.005,0.58621,0.01191452
26,0.4627385838,0.46315,0.77152,0.76620332,0.005,0.58621,0.01191452
27,0.4628092678,0.46315,0.77152,0.7667049400000001,0.005,0.58621,0.011027959999999996
28,0.4628092678,0.46315,0.77152,0.7661951200000001,0.005,0.58621,0.01191452
29,0.46292894809999996,0.46315,0.77152,0.7664722200000001,0.005,0.58621,0.011855559999999998
30,0.46300342489999996,0.46315,0.77152,0.76650406,0.005,0.58621,0.011786580000000001
31,0.46301032089999994,0.46315,0.77152,0.76650386,0.005,0.58621,0.011786580000000001
32,0.4631527233,0.46315,0.77152,0.76667808,0.005,0.58621,0.011027959999999996
33,0.4631527233,0.46315,0.77152,0.7661600000000001,0.005,0.58621,0.01191452
34,0.4912672118999999,0.39541,0.77152,0.76715484,0.005,0.58621,0.00986554
35,0.49156417079999987,0.39541,0.77152,0.7666763800000002,0.005,0.58621,0.010969000000000001
36,0.49156417079999987,0.39541,0.77152,0.7658456000000001,0.005,0.58621,0.011914519999999998
37,0.49156623959999995,0.39541,0.77152,0.7661728800000001,0.005,0.58621,0.011786579999999998
38,0.49156623959999995,0.39541,0.77152,0.7661728800000001,0.005,0.58621,0.011786579999999998
39,0.49156623959999995,0.39541,0.77152,0.7658454800000001,0.005,0.58621,0.011914519999999998
40,0.4918903984,0.39541,0.77152,0.7666574600000001,0.005,0.58621,0.010969000000000001
41,0.4919283264,0.39541,0.77152,0.7666662000000001,0.005,0.58621,0.010900020000000002
42,0.5034956357,0.39541,0.77152,0.7660766600000001,0.005,0.58621,0.011579699999999998
43,0.5359106799,0.38223,0.77152,0.7690458800000001,0.005,0.37931,0.0063193200000000015
44,0.5359106799,0.38223,0.77152,0.76786388,0.005,0.37931,0.007264840000000002
45,0.5359751762,0.38223,0.77152,0.7681777000000001,0.005,0.37931,0.0072058800000000004
46,0.5359751762,0.38223,0.77152,0.7678564000000001,0.005,0.37931,0.007264840000000002
47,0.5359751762,0.38223,0.77152,0.7678564000000001,0.005,0.37931,0.007264840000000002
48,0.5359751762,0.38223,0.77152,0.7678564000000001,0.005,0.37931,0.007264840000000002
49,0.5366162187,0.38223,0.77152,0.76857348,0.005,0.37931,0.0070089800000000015
50,0.5445747465,0.36941,0.77152,0.7685940600000001,0.005,0.37931,0.0065162200000000005
51,0.5445747465,0.36941,0.77152,0.7677898400000001,0.005,0.37931,0.007264840000000002
52,0.5445747465,0.36941,0.77152,0.7677898400000001,0.005,0.37931,0.007264840000000002
53,0.5446519873,0.36941,0.77152,0.7681969200000001,0.005,0.37931,0.00706794
54,0.5451622913,0.36941,0.77152,0.76735092,0.005,0.37931,0.007944500000000002
55,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
56,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
57,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
58,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
59,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
60,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
61,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
62,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
63,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
64,0.5451622913,0.36941,0.77152,0.76691312,0.005,0.37931,0.008624160000000002
65,0.545201265,0.36941,0.77152,0.76723558,0.005,0.37931,0.0085652
66,0.5452036788,0.36941,0.77152,0.7673167800000001,0.005,0.37931,0.008427260000000002
67,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
68,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
69,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
70,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
71,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
72,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
73,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
74,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
75,0.5452036788,0.36941,0.77152,0.7669085600000001,0.005,0.37931,0.008624160000000002
76,0.5481427721000001,0.36478,0.77152,0.76868486,0.005,0.37931,0.007560700000000001
77,0.5752905365000001,0.36478,0.77152,0.7686250600000001,0.005,0.37931,0.006812060000000001
78,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
79,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
80,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
81,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
82,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
83,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
84,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
85,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
86,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
87,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
88,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
89,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
90,0.5752905365000001,0.36478,0.77152,0.7680163200000001,0.005,0.37931,0.00700896
91,0.5893638458,0.34211,0.77152,0.7687844600000001,0.005,0.37931,0.006260340000000001
92,0.5893638458,0.34211,0.77152,0.7687844600000001,0.005,0.37931,0.006260340000000001
93,0.5893638458,0.34211,0.77152,0.7679256400000001,0.005,0.37931,0.00700896
94,0.5893638458,0.34211,0.77152,0.7679256400000001,0.005,0.37931,0.00700896
95,0.5893638458,0.34211,0.77152,0.7679256400000001,0.005,0.37931,0.00700896
96,0.5893638458,0.34211,0.77152,0.7679256400000001,0.005,0.37931,0.00700896
97,0.5893638458,0.34211,0.77152,0.7679256400000001,0.005,0.37931,0.00700896
