Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8873714911999999,0.06124,0.875,0.531294994,0.005,1.13793,0.11998438600000001
1,0.9168318129999999,0.01675,0.875,0.5254973620000001,0.005,1.13793,0.064356988
2,0.9233975608,0.01021,0.875,0.4743593159999999,0.005,1.13793,0.071913248
3,0.9301648609000001,0.00708,0.875,0.501741114,0.005,1.13793,0.07721074000000001
4,0.9369229843999999,0.00033,0.875,0.5205919400000001,0.005,1.13793,0.085260036
5,0.9412096191999999,0.00033,0.875,0.54083043,0.005,1.0,0.071307626
6,0.9450804112,2e-05,0.875,0.360747068,0.005,1.13793,0.17379261000000001
7,0.9459455144,2e-05,0.875,0.297550634,0.005,0.96552,0.22547412800000002
8,0.9466592536,0.0,0.875,0.31243345200000006,0.005,0.96552,0.21784779200000004
9,0.9471054247999999,0.0,0.875,0.209418892,0.005,1.0,0.252466758
10,0.9471254231999999,0.0,0.875,0.156907132,0.005,0.93103,0.27613909400000003
11,0.9471254231999999,0.0,0.875,0.169472524,0.005,1.0,0.258504936
12,0.9471254231999999,0.0,0.875,0.098532458,0.005,1.03448,0.283669084
13,0.9471254231999999,0.0,0.875,0.06530161599999999,0.005,0.75862,0.294940488
14,0.9471254231999999,0.0,0.875,0.055001904000000004,0.005,0.72414,0.29996259399999997
15,0.9471961071999997,0.0,0.875,0.065141328,0.005,0.72414,0.293314198
16,0.9472043823999998,0.0,0.875,0.070307852,0.005,0.75862,0.293000594
17,0.9472043823999998,0.0,0.875,0.066924308,0.005,0.72414,0.29377293600000004
18,0.9472043823999998,0.0,0.875,0.063718666,0.005,0.72414,0.29415408000000004
19,0.9472123127999998,0.0,0.875,0.050553998,0.005,0.75862,0.299109564
20,0.9472185191999998,0.0,0.875,0.059999105999999996,0.005,0.75862,0.29410553600000006
21,0.9472185191999998,0.0,0.875,0.055956516,0.005,0.72414,0.297597948
22,0.9472188639999999,0.0,0.875,0.05506785,0.005,0.72414,0.296361254
23,0.9472233463999999,0.0,0.875,0.053899653999999984,0.005,0.75862,0.29779061600000006
24,0.9472233463999999,0.0,0.875,0.05831649999999999,0.005,0.72414,0.295827662
25,0.9472233463999999,0.0,0.875,0.06567969800000001,0.005,0.72414,0.290915096
26,0.9472236911999998,0.0,0.875,0.058506884,0.005,0.72414,0.29117801800000004
27,0.9472247255999999,0.0,0.875,0.05837052799999999,0.005,0.72414,0.29363757999999995
Best Pareto front
Generation,Hypervolume,error,gate fit
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.25,0.03448
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.75,0.005
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.125,0.06897
29,0.9472247255999999,0.0,0.31034
29,0.9472247255999999,0.0,0.31034
29,0.9472247255999999,0.0,0.31034
29,0.9472247255999999,1e-05,0.2069
Best fitness
Objective,Generation,Error
0,10,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
38.04357142857143,52.57357142857142
