Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8950763909000001,0.0,0.875,0.33632162,0.005,1.0,0.37567739
1,0.9124803224,0.0,0.75,0.27296078,0.005,1.0,0.33612854
2,0.9142719032,0.0,0.75,0.25299501999999996,0.005,1.0,0.27033626000000005
3,0.91886326,0.0,0.75,0.25228549,0.005,1.0,0.160998575
4,0.91886326,0.0,0.7487,0.24415032000000003,0.005,0.7931,0.10383956999999999
5,0.91886326,0.0,0.46332,0.23563947500000001,0.005,0.82759,0.084481235
6,0.91886326,0.0,0.36687,0.231864625,0.005,0.82759,0.072750855
7,0.91886326,0.0,0.25067,0.235306715,0.005,0.7931,0.03584442
8,0.91886326,0.0,0.25,0.238625,0.005,0.55172,0.019825039999999995
9,0.92317326,0.0,0.25,0.24975,0.005,0.51724,0.00532009
10,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
11,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
12,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
13,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
14,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
15,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
16,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
17,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
18,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
19,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
20,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
21,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
22,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
23,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
24,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
25,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
26,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
27,0.92317326,0.0,0.25,0.249625,0.005,0.51724,0.005576210000000001
28,0.9274832599999998,0.0,0.25,0.24975,0.005,0.48276,0.0053028500000000004
29,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
30,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
31,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
32,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
33,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
34,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
35,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
36,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
37,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
38,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
39,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
40,0.9274832599999998,0.0,0.25,0.249625,0.005,0.48276,0.00554173
41,0.9317932600000001,0.0,0.25,0.24975,0.005,0.44828,0.0052856100000000005
42,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
43,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
44,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
45,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
46,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
47,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
48,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
49,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
50,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
51,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
52,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
53,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
54,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
55,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
56,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
57,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
58,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
59,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
60,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
61,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
62,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
63,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
64,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
65,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
66,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
67,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
68,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
69,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
70,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
71,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
72,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
73,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
74,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
75,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
76,0.9317932600000001,0.0,0.25,0.249625,0.005,0.44828,0.00550725
