Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9175359530999998,0.01311,0.875,0.5458156719999999,0.005,0.96552,0.10377039
1,0.9175359530999998,0.01311,0.875,0.6491618539999999,0.005,0.86207,0.032717806
2,0.9278377204999999,0.00273,0.875,0.45832739599999994,0.005,0.86207,0.108539898
3,0.9295561903999999,0.00052,0.875,0.49125044399999995,0.005,0.86207,0.08409823199999998
4,0.9297675947999998,0.00024,0.875,0.424140042,0.005,0.86207,0.137546334
5,0.9342071237,2e-05,0.875,0.20097795799999998,0.005,0.86207,0.25353206
6,0.9342809297,1e-05,0.875,0.189496888,0.005,0.86207,0.26732227599999997
7,0.9342888623999999,1e-05,0.875,0.205971452,0.005,0.86207,0.253789198
8,0.9358852863999998,1e-05,0.875,0.15529487,0.005,0.72414,0.28536649
9,0.9358852863999998,1e-05,0.875,0.087095968,0.005,0.72414,0.302834834
10,0.9358852863999998,1e-05,0.75,0.06768795,0.005,0.72414,0.298158036
11,0.9358921839999998,0.0,0.875,0.08336222600000001,0.005,0.72414,0.30515096999999997
12,0.9358921839999998,0.0,0.875,0.13785977400000002,0.005,0.75862,0.320519754
13,0.9386054151999998,0.0,0.875,0.075744888,0.005,0.75862,0.345462314
14,0.9402018392,0.0,0.875,0.065193216,0.005,0.7931,0.337382372
15,0.9429150703999999,0.0,0.875,0.083717022,0.005,0.62069,0.3739726519999999
16,0.9429154152,0.0,0.75,0.07092755399999999,0.005,0.68966,0.322081936
17,0.94291576,0.0,0.75,0.147149242,0.005,0.62069,0.29697630799999997
18,0.94291576,0.0,0.75,0.056601740000000005,0.005,0.62069,0.297689256
19,0.94291576,0.0,0.75,0.057795278,0.005,0.62069,0.27551683
20,0.94291576,0.0,0.75,0.036251934,0.005,0.62069,0.29626322199999994
21,0.94291576,0.0,0.75,0.05662118800000001,0.005,0.62069,0.261022416
22,0.94291576,0.0,0.75,0.041012406,0.005,0.62069,0.288388744
23,0.94291576,0.0,0.75,0.040260184000000004,0.005,0.62069,0.264060294
24,0.94291576,0.0,0.75,0.035877652,0.005,0.62069,0.287764492
25,0.94291576,0.0,0.75,0.038251476,0.005,0.62069,0.26480364399999995
Best Pareto front
Generation,Hypervolume,error,gate fit
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.25,0.03448
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.75,0.005
19,0.94291576,0.125,0.06897
19,0.94291576,0.125,0.06897
19,0.94291576,0.125,0.06897
19,0.94291576,0.125,0.06897
19,0.94291576,0.125,0.06897
19,0.94291576,0.0,0.24138
Best fitness
Objective,Generation,Error
0,13,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
41.669999999999995,56.64846153846153
