Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.35401126,0.625,1.0,0.8803309099999999,0.05,1.0,0.34122593
1,0.47277376,0.5,1.0,0.82873398,0.05,1.0,0.22293324
2,0.47277376,0.5,1.0,0.78150062,0.05,0.96552,0.15579762
3,0.4746637411,0.5,0.875,0.73565679,0.05,0.7931,0.11621483
4,0.47514501,0.5,0.75356,0.7168248000000002,0.05,0.44828,0.06578025000000001
5,0.47514501,0.5,0.75,0.69355057,0.05,0.44828,0.06605032
6,0.47514501,0.5,0.75,0.64461824,0.05,0.44828,0.07738324
7,0.47514501,0.5,0.6658,0.59321782,0.05,0.44828,0.07156963000000001
8,0.5319824823,0.43133,0.625,0.57877913,0.05,0.24138,0.05800200000000001
9,0.5687650259000001,0.38689,0.625,0.54320746,0.05,0.82759,0.06354525000000001
10,0.5687650259000001,0.38689,0.52229,0.49974165,0.05,0.17241,0.05836779000000001
11,0.5687650259000001,0.38689,0.5,0.49988689,0.05,0.17241,0.05012241
12,0.5687650259000001,0.38689,0.5,0.49988689,0.05,0.17241,0.05012241
13,0.5687650259000001,0.38689,0.5,0.49988689,0.05,0.17241,0.05012241
14,0.5687650259000001,0.38689,0.5,0.49988689,0.05,0.17241,0.05012241
15,0.5687650259000001,0.38689,0.5,0.49977378,0.05,0.17241,0.05024482
16,0.5726650587000001,0.38689,0.5,0.49988689,0.05,0.13793,0.05008793000000001
17,0.5726650587000001,0.38689,0.5,0.49988689,0.05,0.13793,0.05008793000000001
18,0.5726650587000001,0.38689,0.5,0.49988689,0.05,0.13793,0.05008793000000001
19,0.5726650587000001,0.38689,0.5,0.49977378,0.05,0.13793,0.05017586000000001
20,0.5726650587000001,0.38689,0.5,0.49977378,0.05,0.13793,0.05017586000000001
21,0.5741652345,0.38515,0.5,0.49988515,0.05,0.13793,0.05008793000000001
22,0.5741652345,0.38515,0.5,0.4997703,0.05,0.13793,0.05017586000000001
23,0.5741652345,0.38515,0.5,0.4997703,0.05,0.13793,0.05017586000000001
24,0.5805467244000001,0.37744,0.5,0.49964774,0.05,0.17241,0.05029827
25,0.5805467244000001,0.37744,0.5,0.49964774,0.05,0.17241,0.05029827
26,0.5805467244000001,0.37744,0.5,0.49964774,0.05,0.17241,0.05029827
27,0.5805467244000001,0.37744,0.5,0.49964774,0.05,0.17241,0.05029827
28,0.5805705156000001,0.37744,0.5,0.4997619,0.05,0.17241,0.05021034
29,0.5805705156000001,0.37744,0.5,0.49964636,0.05,0.17241,0.05029827
30,0.58722626,0.375,0.5,0.499875,0.05,0.10345,0.05005345000000001
31,0.58722626,0.375,0.5,0.499875,0.05,0.10345,0.05005345000000001
32,0.58722626,0.375,0.5,0.49975,0.05,0.10345,0.05010690000000001
33,0.58722626,0.375,0.5,0.49975,0.05,0.10345,0.05010690000000001
34,0.58722626,0.375,0.5,0.49975,0.05,0.10345,0.05010690000000001
35,0.58722626,0.375,0.5,0.49975,0.05,0.10345,0.05010690000000001
36,0.58722626,0.375,0.5,0.49975,0.05,0.10345,0.05010690000000001
