Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.40336881960000004,0.52572,1.0,0.83675062,0.05,1.0,0.43367609000000007
1,0.43713893080000005,0.49616,1.0,0.81129492,0.05,1.0,0.38983128499999997
2,0.4426121074,0.49616,0.89007,0.7922683749999999,0.05,1.0,0.34679951
3,0.44654410660000005,0.49616,0.83929,0.7742697749999999,0.05,1.0,0.33252108999999996
4,0.498996799,0.46715,0.82685,0.7604206400000001,0.05,1.0,0.298859825
5,0.498996799,0.46715,0.82322,0.7456720949999999,0.05,1.0,0.28299259
6,0.498996799,0.46715,0.81043,0.729796075,0.05,1.0,0.26811506999999996
7,0.498996799,0.46715,0.79067,0.71717959,0.05,1.0,0.251774545
8,0.5406799564,0.39483,0.78288,0.7042913900000001,0.05,1.0,0.23855821
9,0.5406799564,0.39483,0.77378,0.69156729,0.05,1.0,0.22166783
10,0.5469612886,0.39483,0.76992,0.673582375,0.05,1.0,0.230077385
11,0.5469612886,0.39483,0.75475,0.6605677449999999,0.05,1.0,0.21190155000000002
12,0.5682293424,0.38513,0.74086,0.64733296,0.05,1.0,0.20064636000000002
13,0.5682314803999999,0.38513,0.69564,0.635062235,0.05,1.0,0.19304026500000002
14,0.6020452290999999,0.34514,0.66277,0.6252107449999998,0.05,1.0,0.19319969000000004
15,0.6020452290999999,0.34514,0.65026,0.61900562,0.05,1.0,0.20141866999999997
16,0.6020452290999999,0.34514,0.64705,0.6110764900000001,0.05,1.0,0.22216780999999997
17,0.6394421209,0.30029,0.63744,0.60333304,0.05,1.0,0.22569527
18,0.6396700337,0.30029,0.63254,0.596216235,0.05,1.0,0.235131325
19,0.6396700337,0.30029,0.62714,0.5896938700000001,0.05,1.0,0.23839936999999997
20,0.6396706028,0.30029,0.62505,0.581429955,0.05,1.0,0.259523485
21,0.6396706028,0.30029,0.61731,0.57340428,0.05,1.0,0.25823119499999997
22,0.6396711719,0.30029,0.61101,0.564405075,0.05,0.96552,0.262783665
23,0.6402404367000001,0.30029,0.60794,0.5565214,0.05,0.96552,0.28389907
24,0.6431284815,0.30029,0.60667,0.5467372850000001,0.05,0.96552,0.28948011500000004
25,0.7251102351,0.19231,0.60647,0.53723178,0.05,0.96552,0.25631635500000005
26,0.7251102351,0.19231,0.60634,0.5302365199999999,0.05,1.0,0.23675867
27,0.7251102351,0.19231,0.60621,0.527311415,0.05,0.93103,0.21736563999999997
28,0.7301767713,0.19231,0.60606,0.52381582,0.05,0.93103,0.195350215
29,0.7301767713,0.19231,0.60597,0.5215864450000001,0.05,0.93103,0.18054675999999997
30,0.7302040105,0.19231,0.60587,0.520103285,0.05,0.93103,0.16747869499999998
31,0.7302040105,0.19231,0.60563,0.51781314,0.05,0.93103,0.162731245
32,0.7302040105,0.19231,0.60549,0.5165090999999999,0.05,0.93103,0.155663145
33,0.7302053896999999,0.19231,0.6054,0.51746489,0.05,0.89655,0.14262439500000001
34,0.7308249953,0.19231,0.60534,0.520360385,0.05,0.89655,0.133002905
35,0.7308249953,0.19231,0.60526,0.5207686550000001,0.05,0.89655,0.127783055
36,0.7308725777,0.19231,0.60519,0.524128845,0.05,0.82759,0.11234938000000001
37,0.7308774049000001,0.19231,0.60512,0.5284626849999999,0.05,0.58621,0.10064762000000002
38,0.7308774049000001,0.19231,0.60505,0.5340611950000002,0.05,0.62069,0.09169072500000001
39,0.7308774049000001,0.19231,0.60498,0.539400785,0.05,0.58621,0.08593558000000001
40,0.7318911169000001,0.19231,0.60492,0.5427868000000001,0.05,0.58621,0.08328736000000002
41,0.7318918065000001,0.19231,0.60487,0.542029105,0.05,0.58621,0.083473605
42,0.7318918065000001,0.19231,0.60484,0.546518705,0.05,0.65517,0.07953051000000003
43,0.7318918065000001,0.19231,0.60483,0.5426488099999999,0.05,0.58621,0.08063488
44,0.7367247809,0.18639,0.60481,0.546225285,0.05,0.58621,0.07659699000000002
45,0.7367247809,0.18639,0.60479,0.547089225,0.05,0.58621,0.07482631500000002
46,0.737666013,0.18639,0.60478,0.54517632,0.05,0.58621,0.07458759500000002
47,0.7376663578,0.18639,0.60478,0.53704477,0.05,0.58621,0.07751613000000002
48,0.7433656231000001,0.17262,0.60476,0.5320350350000002,0.05,0.58621,0.07848948000000001
49,0.7433656231000001,0.17262,0.60475,0.52318149,0.05,0.58621,0.08128958500000001
Best Pareto front
Generation,Hypervolume,error,gate fit
50,0.7433656231000001,0.46715,0.10345
50,0.7433656231000001,0.60472,0.05
50,0.7433656231000001,0.30328,0.13793
50,0.7433656231000001,0.18639,0.2069
50,0.7433656231000001,0.19954,0.17241
50,0.7433656231000001,0.57326,0.06897
50,0.7433656231000001,0.17262,0.58621
Best fitness
Objective,Generation,Error
0,50,0.17262
1,2,0.05
Avg simulation runtime,Avg generation runtime
15.376000000000001,nan
