Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8583029443999999,0.09464,0.875,0.5466999499999999,0.005,0.93103,0.10513403199999997
1,0.8707530414,0.07586,0.875,0.66567641,0.005,0.82759,0.039697998
2,0.8738937833999999,0.07586,0.875,0.628039942,0.005,0.82759,0.050080886
3,0.8836649135999999,0.07586,0.875,0.5609816440000001,0.005,0.82759,0.061473648000000006
4,0.9248318039999999,0.01868,0.875,0.5737977759999999,0.005,0.82759,0.059857818
5,0.9382726096,0.00046,0.875,0.637531038,0.005,0.7931,0.032507788
6,0.9382726096,0.00046,0.875,0.6269330240000001,0.005,0.7931,0.035454926
7,0.93860576,0.0,0.875,0.44263513399999993,0.005,0.7931,0.10698605399999997
8,0.93860576,0.0,0.75,0.43045045,0.005,0.7931,0.09391178
9,0.93860576,0.0,0.875,0.13886949199999998,0.005,0.7931,0.22634026599999998
10,0.93860576,0.0,0.875,0.046321711999999994,0.005,0.55172,0.26241112999999994
11,0.93860576,0.0,0.75,0.005151878,0.005,0.55172,0.2764286859999999
12,0.93860576,0.0,0.75,0.0037268919999999994,0.005,0.55172,0.27658820599999995
13,0.93860576,0.0,0.75,0.004002472,0.005,0.55172,0.27649263199999996
14,0.93860576,0.0,0.75,0.0039740059999999995,0.005,0.55172,0.27689266799999995
15,0.93860576,0.0,0.75,0.00400188,0.005,0.55172,0.27663057399999996
16,0.93860576,0.0,0.75,0.004353648000000001,0.005,0.55172,0.27631535399999996
17,0.93860576,0.0,0.875,0.0038518820000000005,0.005,0.55172,0.27725029199999995
18,0.93860576,0.0,0.75,0.0038018779999999994,0.005,0.55172,0.27633991599999996
19,0.93860576,0.0,0.75,0.0039018720000000002,0.005,0.55172,0.27620986799999997
20,0.93860576,0.0,0.75,0.0037268719999999996,0.005,0.55172,0.276208874
21,0.93860576,0.0,0.875,0.00430188,0.005,0.55172,0.276576414
22,0.93860576,0.0,0.875,0.003876882,0.005,0.55172,0.27714684199999995
23,0.93860576,0.0,0.75,0.0039769,0.005,0.55172,0.276382284
24,0.93860576,0.0,0.75,0.004051872,0.005,0.55172,0.27581089599999997
25,0.93860576,0.0,0.75,0.0037268739999999994,0.005,0.55172,0.276264044
26,0.93860576,0.0,0.875,0.004139395999999999,0.005,0.55172,0.276719238
Best Pareto front
Generation,Hypervolume,error,gate fit
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.75,0.005
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.25,0.03448
9,0.93860576,0.125,0.06897
9,0.93860576,0.125,0.06897
9,0.93860576,0.125,0.06897
9,0.93860576,0.125,0.06897
9,0.93860576,0.0,0.27586
Best fitness
Objective,Generation,Error
0,9,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
42.49740740740741,55.35000000000001
