Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9286649867000001,0.00695,0.875,0.5466609459999999,0.005,0.93103,0.103110716
1,0.9375292944,-0.0,0.875,0.5041690940000001,0.005,0.96552,0.140689194
2,0.9422847759999998,-0.0,0.875,0.419206376,0.005,0.93103,0.169279756
3,0.94291576,-0.0,0.875,0.25007731000000005,0.005,0.93103,0.23468754600000002
4,0.94291576,-0.0,0.875,0.21904096399999998,0.005,0.96552,0.22473772799999997
5,0.94291576,-0.0,0.875,0.11852297400000002,0.005,0.68966,0.24116533199999995
6,0.94291576,-0.0,0.875,0.10651144400000001,0.005,0.62069,0.23739167599999997
7,0.94291576,-0.0,0.875,0.131492954,0.005,0.62069,0.22476761199999995
8,0.94291576,-0.0,0.875,0.168789648,0.005,0.72414,0.21186062999999994
9,0.94291576,-0.0,0.875,0.151953954,0.005,0.65517,0.20651543399999997
10,0.94291576,-0.0,0.875,0.15377075800000004,0.005,0.62069,0.214936312
11,0.94291576,-0.0,0.875,0.15021127,0.005,0.62069,0.21252488399999994
12,0.94291576,-0.0,0.875,0.163052582,0.005,0.62069,0.20425319799999997
13,0.94291576,-0.0,0.875,0.15796091999999998,0.005,0.65517,0.20527648199999995
14,0.94291576,-0.0,0.875,0.160385242,0.005,0.65517,0.205112686
15,0.94291576,-0.0,0.875,0.16289367400000002,0.005,0.72414,0.20427562399999996
16,0.94291576,-0.0,0.875,0.159707806,0.005,0.62069,0.206126426
17,0.94291576,-0.0,0.875,0.150283074,0.005,0.72414,0.20912063599999997
18,0.94291576,-0.0,0.875,0.105407748,0.005,0.72414,0.22640855399999996
19,0.9435615704,-0.0,0.875,0.124072468,0.005,0.65517,0.23600993799999997
20,0.9435615704,-0.0,0.875,0.129752452,0.005,0.65517,0.23871968999999998
21,0.9435615704,-0.0,0.875,0.12428406600000001,0.005,0.72414,0.23804911199999998
22,0.9435615704,-0.0,0.875,0.162037804,0.005,0.65517,0.21013317199999998
23,0.9435615704,-0.0,0.875,0.148040056,0.005,0.68966,0.20730971399999998
24,0.9435615704,-0.0,0.875,0.15550337,0.005,0.72414,0.20504020399999995
25,0.9435615704,-0.0,0.875,0.12352899200000002,0.005,0.65517,0.21459222999999997
26,0.9435615704,-0.0,0.875,0.145241344,0.005,0.68966,0.20825518599999995
27,0.9435615704,-0.0,0.875,0.08755273799999999,0.005,0.68966,0.22717532799999995
28,0.9435615704,-0.0,0.875,0.135226764,0.005,0.65517,0.207995144
Best Pareto front
Generation,Hypervolume,error,gate fit
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.75,0.005
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,0.25,0.03448
21,0.9435615704,-0.0,0.24138
21,0.9435615704,-0.0,0.24138
21,0.9435615704,-0.0,0.24138
21,0.9435615704,-0.0,0.24138
21,0.9435615704,0.125,0.06897
21,0.9435615704,0.125,0.06897
21,0.9435615704,0.125,0.06897
21,0.9435615704,0.125,0.06897
21,0.9435615704,0.125,0.06897
21,0.9435615704,0.10627,0.2069
Best fitness
Objective,Generation,Error
0,3,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
37.70551724137931,51.85206896551725
