Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8924608799999999,0.0665,0.875,0.5411972079999999,0.005,0.82759,0.113173578
1,0.8924608799999999,0.0665,0.875,0.6728882359999999,0.005,0.82759,0.050056016
2,0.92915691,-0.0,0.875,0.64788111,0.005,0.82759,0.058278426
3,0.931450495,-0.0,0.875,0.614678112,0.005,0.82759,0.09101637600000001
4,0.931450495,-0.0,0.875,0.59337896,0.005,0.82759,0.084266972
5,0.931450495,-0.0,0.875,0.5231952400000001,0.005,0.82759,0.119618018
6,0.9337434149999999,-0.0,0.875,0.223564884,0.005,0.82759,0.333470272
7,0.9356642958,-0.0,0.875,0.21036105399999996,0.005,0.82759,0.34091102800000006
8,0.9356642958,-0.0,0.875,0.178917502,0.005,0.82759,0.355011562
9,0.9356642958,-0.0,0.875,0.07777977800000001,0.005,0.72414,0.398509202
10,0.9356642958,-0.0,0.875,0.07727287599999999,0.005,0.72414,0.39637045600000004
11,0.9356642958,-0.0,0.875,0.07595279,0.005,0.72414,0.39388604200000005
12,0.9356642958,-0.0,0.875,0.08069243599999999,0.005,0.72414,0.389683802
13,0.9377974715999999,-0.0,0.875,0.065939014,0.005,0.7931,0.397398778
14,0.9377974715999999,-0.0,0.875,0.10758253599999998,0.005,0.72414,0.36999615599999996
15,0.9377974715999999,-0.0,0.875,0.075545614,0.005,0.72414,0.39386268799999996
16,0.9377974715999999,-0.0,0.875,0.06354590599999999,0.005,0.72414,0.39790128399999997
17,0.9377974715999999,-0.0,0.875,0.07088823999999999,0.005,0.72414,0.39333017600000003
18,0.9377974715999999,-0.0,0.875,0.081253294,0.005,0.72414,0.38978478000000005
19,0.9377974715999999,-0.0,0.875,0.068353282,0.005,0.72414,0.395848868
20,0.9377974715999999,-0.0,0.875,0.113570082,0.005,0.72414,0.36929199799999995
21,0.9377974715999999,-0.0,0.875,0.07038193200000001,0.005,0.72414,0.39431017400000007
22,0.9377974715999999,-0.0,0.875,0.0781409,0.005,0.72414,0.39039238
23,0.9377974715999999,-0.0,0.875,0.157707384,0.005,0.72414,0.33962043399999997
24,0.9377974715999999,-0.0,0.875,0.079660174,0.005,0.72414,0.390504968
25,0.9377974715999999,-0.0,0.875,0.08628606400000001,0.005,0.72414,0.385565014
Best Pareto front
Generation,Hypervolume,error,gate fit
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.75,0.005
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.25,0.03448
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,0.125,0.06897
15,0.9377974715999999,-0.0,0.37931
15,0.9377974715999999,-0.0,0.37931
15,0.9377974715999999,-0.0,0.37931
15,0.9377974715999999,0.0665,0.24138
15,0.9377974715999999,0.00772,0.31034
Best fitness
Objective,Generation,Error
0,4,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
44.28807692307691,57.83192307692308
