Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.936431799,-0.0,0.875,0.533769678,0.005,0.96552,0.11009208000000001
1,0.9390939997999999,-0.0,0.875,0.366059026,0.005,0.89655,0.33637040799999995
2,0.9455819621999999,-0.0,0.875,0.305645836,0.005,0.89655,0.35993785
3,0.9460381703999998,-0.0,0.875,0.427997634,0.005,0.89655,0.242583842
4,0.9463299263,-0.0,0.875,0.48968243199999995,0.005,0.89655,0.175106638
5,0.9465864761,-0.0,0.875,0.398227404,0.005,0.89655,0.216561924
6,0.9469626699999998,-0.0,0.875,0.47895780800000004,0.005,0.89655,0.15672822
7,0.9470754196,-0.0,0.875,0.517014656,0.005,0.89655,0.141354102
8,0.9472050707999999,-0.0,0.875,0.48687462,0.005,0.89655,0.14148296
9,0.9472050707999999,-0.0,0.875,0.42266917000000004,0.005,0.89655,0.19097431999999998
10,0.9472223117999998,-0.0,0.875,0.47564442400000007,0.005,0.89655,0.15370087
11,0.9472223117999998,-0.0,0.875,0.46526553400000004,0.005,0.89655,0.15937832799999999
12,0.9472240358999999,-0.0,0.875,0.40923697200000003,0.005,0.89655,0.17871000400000003
13,0.9472240358999999,-0.0,0.875,0.40482368399999996,0.005,0.89655,0.17997533400000001
14,0.9472240358999999,-0.0,0.875,0.36471191199999997,0.005,0.89655,0.18626277
15,0.9472240358999999,-0.0,0.875,0.359249398,0.005,0.89655,0.192508146
16,0.9472240358999999,-0.0,0.875,0.24277942199999997,0.005,0.89655,0.261330146
17,0.9472240358999999,-0.0,0.875,0.23250314199999997,0.005,0.89655,0.265617074
18,0.9472240358999999,-0.0,0.875,0.28392232799999995,0.005,0.89655,0.225739566
19,0.9472240358999999,-0.0,0.875,0.291476372,0.005,0.89655,0.21155551999999997
20,0.9472240358999999,-0.0,0.875,0.22217390999999997,0.005,0.89655,0.245232086
21,0.9472240358999999,-0.0,0.875,0.248476588,0.005,0.89655,0.23673016199999997
22,0.9472240358999999,-0.0,0.875,0.15575543200000003,0.005,0.89655,0.27837092
23,0.9472254151999999,0.0,0.875,0.154259816,0.005,0.89655,0.26767016
24,0.94722576,0.0,0.875,0.168765732,0.005,0.89655,0.265097688
Best Pareto front
Generation,Hypervolume,error,gate fit
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
44.32999999999999,59.994800000000005
