Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8933767239999998,0.03615,0.875,0.552286162,0.005,1.03448,0.097469936
1,0.9074662638000001,0.03615,0.875,0.707672564,0.005,1.06897,0.028142668000000003
2,0.9249822416,0.01587,0.875,0.7153588399999999,0.005,1.03448,0.027840801999999998
3,0.9249822416,0.01587,0.875,0.692547562,0.005,1.06897,0.041763314
4,0.9358603023999998,0.00531,0.875,0.611085286,0.005,1.06897,0.07422870400000002
5,0.9394048287999999,0.00111,0.875,0.596089034,0.005,1.03448,0.07492910800000001
6,0.9427209015999998,0.00029,0.875,0.6411170540000001,0.005,0.82759,0.058658294
7,0.9467868115,0.00011,0.875,0.56451083,0.005,0.75862,0.08288465799999999
8,0.9469302647999998,1e-05,0.875,0.454761608,0.005,0.68966,0.133222122
9,0.9471088727999999,0.0,0.875,0.30823123599999996,0.005,0.68966,0.191550824
10,0.9471233544,0.0,0.875,0.25258282200000004,0.005,0.68966,0.220244328
11,0.9471233544,0.0,0.875,0.187964188,0.005,0.68966,0.24421262000000002
12,0.9471474903999999,0.0,0.875,0.147155868,0.005,0.51724,0.25668830200000003
13,0.9471474903999999,0.0,0.875,0.09243356200000001,0.005,0.51724,0.28098131800000004
14,0.9471474903999999,0.0,0.875,0.080975922,0.005,0.68966,0.28576646400000005
15,0.9471723159999998,0.0,0.875,0.076042052,0.005,0.68966,0.28419186
16,0.9471809359999999,0.0,0.86721,0.059308884,0.005,0.48276,0.29044827
17,0.9472247255999999,0.0,0.875,0.059594582,0.005,0.44828,0.290716842
18,0.9472247255999999,0.0,0.875,0.093008464,0.005,0.44828,0.27694606400000005
19,0.9472250703999998,0.0,0.875,0.092980592,0.005,0.48276,0.27737048200000003
20,0.9472250703999998,0.0,0.875,0.11086831600000001,0.005,0.48276,0.264253666
21,0.9472250703999998,0.0,0.875,0.11522110000000002,0.005,0.48276,0.25897122
22,0.9472250703999998,0.0,0.875,0.098884336,0.005,0.51724,0.26557801
23,0.9472250703999998,0.0,0.875,0.102055106,0.005,0.44828,0.26463159399999997
24,0.94722576,0.0,0.875,0.10983551600000001,0.005,0.48276,0.261083486
25,0.94722576,0.0,0.875,0.152417118,0.005,0.44828,0.246109156
26,0.94722576,0.0,0.875,0.15156272199999998,0.005,0.48276,0.24583074200000002
27,0.94722576,0.0,0.875,0.16500551800000002,0.005,0.48276,0.222764106
28,0.94722576,0.0,0.875,0.205161582,0.005,0.44828,0.210181826
Best Pareto front
Generation,Hypervolume,error,gate fit
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.75,0.005
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.25,0.03448
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.125,0.06897
26,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,11,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
36.045172413793104,50.50103448275863
