Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.37326201,0.625,1.0,0.87258528,0.005,1.0,0.28270984
1,0.48964394870000005,0.50001,1.0,0.8062962199999999,0.005,0.93103,0.18415988
2,0.49396450999999997,0.5,1.0,0.7507416,0.005,0.65517,0.1235914
3,0.49764950999999996,0.5,1.0,0.7218462999999999,0.005,0.37931,0.06154114000000001
4,0.49764950999999996,0.5,1.0,0.71036544,0.005,0.2069,0.03090848
5,0.60542076,0.375,0.75,0.7065,0.005,0.13793,0.010416580000000003
6,0.60542076,0.375,0.75,0.6875,0.005,0.13793,0.006936780000000001
7,0.60542076,0.375,0.75,0.608,0.005,0.13793,0.008647700000000001
8,0.60542076,0.375,0.625,0.5765,0.005,0.13793,0.006978940000000001
9,0.60542076,0.375,0.625,0.52025,0.005,0.13793,0.00883996
10,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
11,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
12,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
13,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
14,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
15,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
16,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
17,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
18,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
19,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
20,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
21,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
22,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
23,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
24,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
25,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
26,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
27,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
28,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
29,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
30,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
31,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
32,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
33,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
34,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
35,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
36,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
37,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
38,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
39,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
40,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
41,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
42,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
43,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
44,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
45,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
46,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
47,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
48,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
49,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
50,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
51,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
52,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
53,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
54,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
55,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
56,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
57,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
58,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
59,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
60,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
61,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
62,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
63,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
64,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
65,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
66,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
67,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
68,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
69,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
70,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
71,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
72,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
73,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
74,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
75,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
76,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
77,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
78,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
79,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
80,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
81,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
82,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
83,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
84,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
85,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
86,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
87,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
88,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
89,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
90,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
91,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
92,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
93,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
94,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
95,0.60542076,0.375,0.5,0.4995,0.005,0.13793,0.00553172
