Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8873477545999999,0.01689,0.875,0.51937384,0.005,0.7931,0.13625285
1,0.9098391656,0.0112,0.875,0.57344084,0.005,0.75862,0.09916886999999999
2,0.9169960005,0.00437,0.875,0.47946801,0.005,0.75862,0.17953921
3,0.9183667272,0.00437,0.875,0.5373662400000001,0.005,0.72414,0.12420426999999998
4,0.9194590011000001,0.00318,0.875,0.54685841,0.005,0.72414,0.1346779
5,0.9203871274,0.00134,0.875,0.40907728000000004,0.005,0.72414,0.20610736
6,0.9205495384,0.00131,0.875,0.41148322000000004,0.005,0.72414,0.20635975
7,0.9210010216,0.00031,0.875,0.44134305,0.005,0.72414,0.18241692
8,0.9212696643,9e-05,0.875,0.46254677000000005,0.005,0.72414,0.16220204
9,0.9212862189,6e-05,0.875,0.44878382000000006,0.005,0.86207,0.17970317999999996
10,0.9213293314,6e-05,0.875,0.37753884000000004,0.005,0.62069,0.24477407999999998
11,0.9213293314,6e-05,0.875,0.39840584,0.005,0.62069,0.20770986
12,0.9213348496,5e-05,0.875,0.29946451,0.005,0.65517,0.26544173
13,0.9213645100000001,0.0,0.875,0.21631983999999999,0.005,0.58621,0.3085345500000001
14,0.9213645100000001,0.0,0.875,0.20196370000000002,0.005,0.58621,0.3092378
15,0.9213645100000001,0.0,0.875,0.20418461999999998,0.005,0.65517,0.3059996299999999
16,0.9213645100000001,0.0,0.875,0.20344002,0.005,0.58621,0.2982632599999999
17,0.9213645100000001,0.0,0.875,0.1514712,0.005,0.58621,0.32138222999999994
18,0.9213645100000001,0.0,0.875,0.13566943999999997,0.005,0.58621,0.3266266499999999
19,0.9213645100000001,0.0,0.875,0.12181436999999999,0.005,0.55172,0.33526266
20,0.9213645100000001,0.0,0.875,0.13117499,0.005,0.51724,0.33202144
21,0.9213645100000001,0.0,0.875,0.13780344000000003,0.005,0.51724,0.33086888999999997
22,0.9213645100000001,0.0,0.875,0.13913641999999998,0.005,0.51724,0.3317610199999999
23,0.9213645100000001,0.0,0.875,0.11462060000000002,0.005,0.51724,0.34297135999999995
24,0.9213645100000001,0.0,0.875,0.12391859,0.005,0.51724,0.33971106999999995
25,0.9213645100000001,0.0,0.875,0.11836134,0.005,0.51724,0.34117376999999993
26,0.9213645100000001,0.0,0.875,0.13127818,0.005,0.51724,0.32986849999999995
27,0.9213645100000001,0.0,0.875,0.13674824000000002,0.005,0.51724,0.32893312999999996
28,0.9213645100000001,0.0,0.875,0.13759613,0.005,0.51724,0.32532276999999993
29,0.9213645100000001,0.0,0.875,0.14971588000000002,0.005,0.51724,0.32192967999999994
30,0.9213645100000001,0.0,0.875,0.14094793,0.005,0.51724,0.32292957
31,0.9213645100000001,0.0,0.875,0.14096748000000003,0.005,0.51724,0.32544185999999997
32,0.9213645100000001,0.0,0.875,0.16065042,0.005,0.51724,0.31832488999999997
33,0.9213645100000001,0.0,0.875,0.15623578000000002,0.005,0.51724,0.3152899699999999
34,0.9213645100000001,0.0,0.875,0.15769141000000003,0.005,0.51724,0.31713603999999995
35,0.9213645100000001,0.0,0.875,0.1535392,0.005,0.51724,0.31269180999999996
36,0.9213645100000001,0.0,0.875,0.17295593000000004,0.005,0.51724,0.31174282
