Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8110501022,0.09094,0.77625,0.33415654,0.03448,1.0,0.3577243
1,0.8327681309999999,0.09094,0.75,0.29651397999999995,0.005,1.0,0.32691702
2,0.8477056403,0.08408,0.75,0.2806725,0.005,1.0,0.27593233999999994
3,0.8633127768,0.08408,0.75,0.2636342,0.005,1.0,0.20968743999999997
4,0.8702418576,0.0785,0.75,0.27721784000000005,0.005,0.75862,0.13298098
5,0.8706411787999999,0.07706,0.75,0.30539904,0.005,0.75862,0.09989386000000001
6,0.8770497768000001,0.07342,0.5,0.24619764000000002,0.005,0.75862,0.08674374
7,0.8780708784,0.07218,0.43163,0.24156436,0.005,0.75862,0.06692928000000001
8,0.8780708784,0.07218,0.28097,0.23900786,0.005,0.75862,0.05578628
9,0.8781498375999999,0.07218,0.25268,0.24307067999999998,0.005,0.72414,0.040884800000000006
10,0.8781498375999999,0.07218,0.25268,0.24148811999999997,0.005,0.72414,0.03701104000000001
11,0.8781498375999999,0.07218,0.25085,0.23649158,0.005,0.72414,0.029030940000000005
12,0.8781498375999999,0.07218,0.25,0.24470080000000002,0.005,0.72414,0.01266224
13,0.8781498375999999,0.07218,0.25,0.24820080000000003,0.005,0.72414,0.01087108
14,0.8781498375999999,0.07218,0.25,0.24820080000000003,0.005,0.72414,0.01087108
15,0.8781943167999999,0.07218,0.25,0.24849217999999998,0.005,0.72414,0.009501760000000001
16,0.8781943167999999,0.07218,0.25,0.24819564,0.005,0.72414,0.01087108
17,0.8781943167999999,0.07218,0.25,0.24819564,0.005,0.72414,0.01087108
18,0.8781943167999999,0.07218,0.25,0.24819564,0.005,0.72414,0.01087108
19,0.8781943167999999,0.07218,0.25,0.24819564,0.005,0.72414,0.01087108
20,0.8781943167999999,0.07218,0.25,0.24819564,0.005,0.72414,0.01087108
21,0.8788401271999999,0.07218,0.25,0.24845472000000002,0.005,0.72414,0.009501760000000001
22,0.8788401271999999,0.07218,0.25,0.24812072000000002,0.005,0.72414,0.01087108
23,0.892198906,0.03035,0.25,0.2490607,0.005,0.68966,0.006625200000000001
24,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
25,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
26,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
27,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
28,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
29,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
30,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
31,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
32,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
33,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
34,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
35,0.892198906,0.03035,0.25,0.2486214,0.005,0.68966,0.007994520000000001
36,0.8923044555999999,0.03001,0.25,0.24906002000000002,0.005,0.68966,0.006625200000000001
37,0.8923044555999999,0.03001,0.25,0.24906002000000002,0.005,0.68966,0.006625200000000001
38,0.8923044555999999,0.03001,0.25,0.24862004000000001,0.005,0.68966,0.007994520000000001
39,0.8923044555999999,0.03001,0.25,0.24862004000000001,0.005,0.68966,0.007994520000000001
40,0.8955806607000001,0.03001,0.25,0.24906002000000002,0.005,0.65517,0.00655622
41,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
42,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
43,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
44,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
45,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
46,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
47,0.8955806607000001,0.03001,0.25,0.24862004000000001,0.005,0.65517,0.00785656
