Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.832082812,0.125,0.875,0.338991625,0.03448,1.0,0.36791392
1,0.85850576,0.125,0.875,0.27332858,0.005,1.0,0.322505335
2,0.86275542,0.125,0.875,0.26379105500000005,0.005,1.0,0.24047904499999997
3,0.86275542,0.125,0.75,0.259103515,0.005,1.0,0.14949941
4,0.8628157599999999,0.125,0.63868,0.24909203500000002,0.005,0.48276,0.09392654499999999
5,0.8628157599999999,0.125,0.39776,0.24295621499999998,0.005,0.24138,0.066921415
6,0.8628157599999999,0.125,0.35554,0.23951139000000002,0.005,0.2069,0.052013395000000004
7,0.8628157599999999,0.125,0.25009,0.24856434000000002,0.005,0.10345,0.021998875
8,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
9,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
10,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
11,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
12,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
13,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
14,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
15,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
16,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
17,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
18,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
19,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
20,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
21,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
22,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
23,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
24,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
25,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
26,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
27,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
28,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
29,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
30,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
31,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
32,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
33,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
34,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
35,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
36,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
37,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
38,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
39,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
40,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
41,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
42,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
43,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
44,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
45,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
46,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
47,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
48,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
49,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
50,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
51,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
52,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
53,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
54,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
55,0.8628157599999999,0.125,0.25,0.249875,0.005,0.06897,0.00506397
