Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8929268371000001,0.01801,0.875,0.5570090539999999,0.005,0.89655,0.097369298
1,0.8965031052000001,0.01801,0.875,0.6873290660000001,0.005,0.82759,0.036143306
2,0.9109503080999999,7e-05,0.875,0.6416736919999999,0.005,0.82759,0.091931476
3,0.9115690587,7e-05,0.875,0.54603501,0.005,0.89655,0.17288977
4,0.9115914777,2e-05,0.875,0.48178402,0.005,0.82759,0.211592922
5,0.9140316273,2e-05,0.87101,0.40249874399999996,0.005,0.7931,0.263446572
6,0.9140361110999999,1e-05,0.875,0.31567719800000005,0.005,0.75862,0.332862444
7,0.9164814341,0.0,0.875,0.32130686999999997,0.005,0.7931,0.324681844
8,0.9189219285000001,0.0,0.875,0.240586238,0.005,0.75862,0.36622487000000004
9,0.9213638202000001,0.0,0.875,0.17925338000000002,0.005,0.75862,0.398512516
10,0.9213645100000001,0.0,0.875,0.183954014,0.005,0.75862,0.38806049600000003
11,0.9220261811999999,0.0,0.875,0.102637538,0.005,0.72414,0.407177448
12,0.9220261811999999,0.0,0.875,0.069895746,0.005,0.65517,0.39429668800000006
13,0.9220261811999999,0.0,0.85726,0.030733418000000005,0.005,0.65517,0.40129294600000004
14,0.9220261811999999,0.0,0.875,0.029227656,0.005,0.65517,0.40208497600000004
15,0.9220261811999999,0.0,0.875,0.007269329999999999,0.005,0.55172,0.414222782
16,0.9225902739999998,0.0,0.75,0.006788878,0.005,0.55172,0.413465146
17,0.9225902739999998,0.0,0.875,0.008424542,0.005,0.55172,0.41230659800000014
18,0.9234746859999998,0.0,0.75,0.007587858,0.005,0.55172,0.414017878
19,0.9234746859999998,0.0,0.875,0.012875872000000002,0.005,0.55172,0.4095563100000001
20,0.9234746859999998,0.0,0.875,0.007337784000000001,0.005,0.55172,0.41328092800000005
21,0.9234746859999998,0.0,0.875,0.012762814,0.005,0.55172,0.40997805200000004
22,0.9234746859999998,0.0,0.875,0.014289766000000002,0.005,0.55172,0.4089938880000001
23,0.9234746859999998,0.0,0.875,0.020171956,0.005,0.55172,0.40606744000000006
Best Pareto front
Generation,Hypervolume,error,gate fit
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.75,0.005
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.25,0.03448
20,0.9234746859999998,0.125,0.06897
20,0.9234746859999998,0.125,0.06897
20,0.9234746859999998,0.125,0.06897
20,0.9234746859999998,0.125,0.06897
20,0.9234746859999998,0.125,0.06897
20,0.9234746859999998,0.0,0.41379
20,0.9234746859999998,0.0,0.41379
20,0.9234746859999998,0.0638,0.37931
Best fitness
Objective,Generation,Error
0,9,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
45.26833333333334,60.892500000000005
