Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9121998727000001,0.0235,0.875,0.517350446,0.005,0.86207,0.107632204
1,0.9242425367999999,0.00793,0.875,0.5969488159999999,0.005,0.86207,0.046845538
2,0.9381512736000001,0.00025,0.875,0.5510897199999999,0.005,0.86207,0.047617836
3,0.942467828,0.00023,0.875,0.341031732,0.005,0.86207,0.13831964199999996
4,0.9428995528,1e-05,0.875,0.311529214,0.005,0.89655,0.15916571
5,0.942907828,1e-05,0.875,0.2595410879999999,0.005,0.93103,0.17148886799999996
6,0.9429157600000001,0.0,0.875,0.18030042400000001,0.005,0.82759,0.20020203
7,0.94722576,0.0,0.875,0.15402243399999999,0.005,0.82759,0.204146196
8,0.94722576,0.0,0.875,0.09643958,0.005,0.86207,0.201322082
9,0.94722576,0.0,0.875,0.050852971999999996,0.005,0.82759,0.20118591000000002
10,0.94722576,0.0,0.75,0.038413016,0.005,0.34483,0.20367654200000004
11,0.94722576,0.0,0.875,0.029574394,0.005,0.34483,0.20577266800000008
12,0.94722576,0.0,0.75,0.027776456,0.005,0.34483,0.20603864800000002
13,0.94722576,0.0,0.75,0.03080883,0.005,0.31034,0.20530091400000006
14,0.94722576,0.0,0.75,0.034134884000000004,0.005,0.31034,0.20443094800000003
15,0.94722576,0.0,0.875,0.034710452,0.005,0.31034,0.20385763600000004
16,0.94722576,0.0,0.875,0.035793184000000006,0.005,0.34483,0.20389921400000002
17,0.94722576,0.0,0.75,0.038113994000000005,0.005,0.31034,0.20298095800000004
18,0.94722576,0.0,0.875,0.04326582,0.005,0.31034,0.20096178000000003
19,0.94722576,0.0,0.875,0.053327508,0.005,0.34483,0.19834369800000004
20,0.94722576,0.0,0.875,0.055805018,0.005,0.34483,0.19745404800000002
21,0.94722576,0.0,0.875,0.057072734,0.005,0.31034,0.19752498200000004
22,0.94722576,0.0,0.875,0.050294570000000004,0.005,0.34483,0.19934521600000002
23,0.94722576,0.0,0.875,0.044131866000000006,0.005,0.37931,0.200844388
24,0.94722576,0.0,0.875,0.04665026800000001,0.005,0.48276,0.20328162800000005
25,0.94722576,0.0,0.75,0.07108275,0.005,0.48276,0.219098696
26,0.94722576,0.0,0.875,0.08829311599999999,0.005,0.48276,0.231747082
27,0.94722576,0.0,0.875,0.097358998,0.005,0.48276,0.26276421
Best Pareto front
Generation,Hypervolume,error,gate fit
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.75,0.005
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.25,0.03448
9,0.94722576,0.0,0.2069
9,0.94722576,0.0,0.2069
9,0.94722576,0.125,0.06897
Best fitness
Objective,Generation,Error
0,8,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
38.91571428571429,52.592142857142846
