Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.34495686299999995,0.625,1.0,0.80225175,0.06897,1.24138,0.21522569000000003
1,0.34495686299999995,0.625,1.0,0.783401885,0.06897,1.17241,0.17812343000000003
2,0.34495686299999995,0.625,1.0,0.77390089,0.06897,1.17241,0.153106355
3,0.34495686299999995,0.625,1.0,0.7742087750000001,0.06897,1.17241,0.146296265
4,0.34495686299999995,0.625,1.0,0.774367245,0.06897,1.17241,0.14646868000000002
5,0.34495686299999995,0.625,1.0,0.774521615,0.06897,1.17241,0.145865265
6,0.34495686299999995,0.625,1.0,0.774355635,0.06897,1.17241,0.14746859999999998
7,0.34495686299999995,0.625,1.0,0.77420452,0.06897,1.17241,0.14662382
8,0.34495686299999995,0.625,1.0,0.773765845,0.06897,1.17241,0.14691695
9,0.34495686299999995,0.625,1.0,0.774392335,0.06897,1.17241,0.14669278
10,0.34495686299999995,0.625,1.0,0.77457995,0.06897,1.17241,0.14602042999999998
11,0.34495686299999995,0.625,1.0,0.7739713699999999,0.06897,1.17241,0.147830645
12,0.34495686299999995,0.625,1.0,0.774313365,0.06897,1.17241,0.14815823999999997
13,0.34495686299999995,0.625,1.0,0.774642795,0.06897,1.17241,0.14800302499999998
14,0.34495686299999995,0.625,1.0,0.774704535,0.06897,1.17241,0.14805474999999998
15,0.34495686299999995,0.625,1.0,0.774144865,0.06897,1.17241,0.14796857
16,0.452728113,0.5,1.0,0.774267275,0.06897,1.17241,0.14684793999999998
17,0.452728113,0.5,1.0,0.7741195050000002,0.06897,1.17241,0.14684792499999996
18,0.452728113,0.5,1.0,0.7735677049999999,0.06897,1.17241,0.145848005
19,0.452728113,0.5,1.0,0.773817285,0.06897,1.17241,0.14741685499999999
20,0.452728113,0.5,1.0,0.77350499,0.06897,1.17241,0.14776165500000002
21,0.452728113,0.5,1.0,0.773692405,0.06897,1.17241,0.146882405
22,0.452728113,0.5,1.0,0.773380225,0.06897,1.17241,0.14770993
23,0.452728113,0.5,1.0,0.7734134850000001,0.06897,1.17241,0.14860645
24,0.452728113,0.5,1.0,0.773131515,0.06897,1.17241,0.14750305500000002
25,0.452728113,0.5,1.0,0.7731511849999999,0.06897,1.17241,0.14864092499999998
26,0.452728113,0.5,1.0,0.7738483300000001,0.06897,1.17241,0.14853749500000002
27,0.452728113,0.5,1.0,0.7734896200000001,0.06897,1.17241,0.147709955
28,0.452728113,0.5,1.0,0.773504285,0.06897,1.17241,0.147847845
29,0.452728113,0.5,1.0,0.773629515,0.06897,1.17241,0.14850298
30,0.452728113,0.5,1.0,0.7734523400000001,0.06897,1.17241,0.14677897
31,0.452728113,0.5,1.0,0.773718435,0.06897,1.17241,0.14810646500000002
32,0.452728113,0.5,1.0,0.7737044550000001,0.06897,1.17241,0.1475203
33,0.452728113,0.5,1.0,0.77394317,0.06897,1.17241,0.14776165
34,0.452728113,0.5,1.0,0.773067135,0.06897,1.17241,0.14877888
35,0.452728113,0.5,1.0,0.77387931,0.06897,1.17241,0.14726169
36,0.452728113,0.5,1.0,0.7735046749999999,0.06897,1.17241,0.14772718
