Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9228536487000001,0.01255,0.875,0.538932132,0.005,0.89655,0.1145848
1,0.9311891043,1e-05,0.875,0.6728240560000001,0.005,0.86207,0.050850562
2,0.9338401527,1e-05,0.875,0.499553136,0.005,0.86207,0.146511016
3,0.93860576,-0.0,0.875,0.39357061200000004,0.005,0.86207,0.204556268
4,0.94291576,-0.0,0.875,0.22720456800000002,0.005,0.75862,0.287718144
5,0.94291576,-0.0,0.875,0.21200517,0.005,0.55172,0.26856771
6,0.94291576,-0.0,0.875,0.142564326,0.005,0.58621,0.316602386
7,0.94291576,-0.0,0.875,0.12453385400000001,0.005,0.58621,0.325560296
8,0.94291576,-0.0,0.875,0.09061989599999999,0.005,0.55172,0.26500989799999997
9,0.94291576,-0.0,0.875,0.08244937,0.005,0.58621,0.306005118
10,0.94291576,-0.0,0.875,0.07225965799999999,0.005,0.55172,0.304932758
11,0.94291576,-0.0,0.875,0.067218196,0.005,0.58621,0.30930813799999995
12,0.94291576,-0.0,0.875,0.063083024,0.005,0.55172,0.310949302
13,0.94291576,-0.0,0.875,0.110784848,0.005,0.51724,0.255333832
14,0.94291576,-0.0,0.875,0.12915474799999999,0.005,0.51724,0.23596734599999994
15,0.94291576,-0.0,0.875,0.10511213999999999,0.005,0.44828,0.22780283999999992
16,0.94291576,-0.0,0.875,0.10537276200000001,0.005,0.44828,0.24042345599999998
17,0.94291576,-0.0,0.875,0.089356586,0.005,0.58621,0.23935226799999995
18,0.94291576,-0.0,0.875,0.042502689999999996,0.005,0.48276,0.24680157
19,0.94291576,-0.0,0.875,0.046192764,0.005,0.55172,0.24729376599999997
20,0.94291576,-0.0,0.875,0.047478886,0.005,0.51724,0.24695725399999996
21,0.94291576,-0.0,0.875,0.076082016,0.005,0.65517,0.262261706
22,0.94291576,-0.0,0.875,0.049133208000000005,0.005,0.55172,0.27427951599999995
23,0.94291576,-0.0,0.75,0.04110799800000001,0.005,0.62069,0.277599608
24,0.94291576,-0.0,0.80002,0.031873132,0.005,0.55172,0.2924594279999999
Best Pareto front
Generation,Hypervolume,error,gate fit
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.75,0.005
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.25,0.03448
6,0.94291576,0.125,0.06897
6,0.94291576,0.125,0.06897
6,0.94291576,0.125,0.06897
6,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,5,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
43.106,58.87879999999999
