Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9309556774,-0.0,0.875,0.534940502,0.005,0.93103,0.09995623399999999
1,0.9352987816000001,-0.0,0.875,0.44645607600000004,0.005,0.89655,0.10795623799999998
2,0.9353111952000001,-0.0,0.875,0.22338426000000003,0.005,0.96552,0.374547356
3,0.9353139543999999,0.0,0.875,0.26049377,0.005,0.96552,0.2785804
4,0.9353174023999999,-0.0,0.875,0.14002434400000002,0.005,0.89655,0.41880932400000004
5,0.9353174023999999,-0.0,0.875,0.277131976,0.005,0.89655,0.283135704
6,0.93860576,-0.0,0.87397,0.164515696,0.005,0.89655,0.320760512
7,0.93860576,-0.0,0.875,0.182056146,0.005,0.89655,0.298496326
8,0.93860576,-0.0,0.8671,0.25762702800000004,0.005,0.89655,0.23681827400000002
9,0.93860576,-0.0,0.8671,0.25725257,0.005,0.89655,0.24033613999999998
10,0.93860576,-0.0,0.8671,0.255626344,0.005,0.89655,0.23964276399999998
11,0.93860576,-0.0,0.8671,0.246237198,0.005,0.89655,0.24210537399999998
12,0.93860576,-0.0,0.8671,0.252017164,0.005,0.89655,0.238928188
13,0.93860576,-0.0,0.8671,0.26042918,0.005,0.89655,0.23542811199999997
14,0.93860576,-0.0,0.8671,0.252393322,0.005,0.89655,0.241677432
15,0.93860576,-0.0,0.8671,0.26035828,0.005,0.89655,0.23292074999999995
16,0.93860576,-0.0,0.8671,0.256072208,0.005,0.89655,0.23849044599999997
17,0.93860576,-0.0,0.8671,0.26806353,0.005,0.89655,0.232289408
18,0.93860576,-0.0,0.8671,0.255779158,0.005,0.89655,0.23696479199999998
19,0.93860576,-0.0,0.8671,0.256815096,0.005,0.89655,0.239633196
20,0.93860576,-0.0,0.8671,0.2575057,0.005,0.89655,0.23929506
21,0.93860576,-0.0,0.8671,0.257789434,0.005,0.89655,0.236268566
22,0.93860576,-0.0,0.8671,0.26032890999999997,0.005,0.93103,0.23796873799999999
23,0.93860576,-0.0,0.8671,0.253246886,0.005,0.89655,0.239131594
24,0.93860576,-0.0,0.8671,0.256969272,0.005,0.89655,0.238342684
25,0.93860576,-0.0,0.8671,0.255830218,0.005,0.89655,0.240593998
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.25,0.03448
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,0.75,0.005
8,0.93860576,-0.0,0.27586
8,0.93860576,-0.0,0.27586
8,0.93860576,-0.0,0.27586
8,0.93860576,0.125,0.06897
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
43.41730769230769,56.79
