Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8913365716,0.04329,0.875,0.52976673,0.005,0.93103,0.11442916
1,0.9157883094,0.01741,0.875,0.527918772,0.005,0.93103,0.05949982399999999
2,0.9241919903,0.00678,0.875,0.48545606799999996,0.005,0.93103,0.074015074
3,0.929215909,0.00376,0.875,0.4910708119999999,0.005,0.93103,0.11198533200000002
4,0.9315569739,1e-05,0.875,0.496913278,0.005,0.96552,0.09306254600000001
5,0.931654209,0.0,0.875,0.367235634,0.005,0.96552,0.165865878
6,0.931654209,0.0,0.875,0.253164198,0.005,0.96552,0.23278724
7,0.9342771354,0.0,0.875,0.180862558,0.005,0.93103,0.300421014
8,0.94291576,0.0,0.875,0.14968601199999998,0.005,0.72414,0.31898427199999996
9,0.94291576,0.0,0.875,0.14945416799999997,0.005,0.75862,0.3114844
10,0.94291576,0.0,0.875,0.14608639999999998,0.005,0.72414,0.29412172000000003
11,0.94291576,0.0,0.875,0.12886922999999997,0.005,0.7931,0.292302168
12,0.94291576,0.0,0.875,0.10499470000000001,0.005,0.86207,0.29501574199999997
13,0.94291576,0.0,0.875,0.095460726,0.005,0.7931,0.30042486199999996
14,0.94291576,0.0,0.875,0.10756197199999999,0.005,0.7931,0.2914109939999999
15,0.94291576,0.0,0.875,0.09370226400000001,0.005,0.7931,0.29347935399999997
16,0.94291576,0.0,0.875,0.10654979599999999,0.005,0.89655,0.29376171399999995
17,0.94291576,0.0,0.875,0.09539684,0.005,0.89655,0.30151127799999994
18,0.94291576,0.0,0.875,0.08760604200000001,0.005,0.96552,0.30555192999999997
19,0.94291576,0.0,0.875,0.110796626,0.005,0.93103,0.288633404
20,0.94291576,0.0,0.875,0.10497963399999999,0.005,0.68966,0.30269585999999993
21,0.94291576,0.0,0.875,0.14407843199999998,0.005,0.68966,0.293663272
22,0.94291576,0.0,0.875,0.14178601200000002,0.005,0.68966,0.293389348
23,0.94291576,0.0,0.875,0.124784116,0.005,0.68966,0.29984673399999995
24,0.94291576,0.0,0.875,0.120355846,0.005,0.68966,0.29550253
Best Pareto front
Generation,Hypervolume,error,gate fit
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.75,0.005
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.25,0.03448
10,0.94291576,0.125,0.06897
10,0.94291576,0.125,0.06897
10,0.94291576,0.125,0.06897
10,0.94291576,0.125,0.06897
10,0.94291576,0.125,0.06897
10,0.94291576,0.0,0.24138
Best fitness
Objective,Generation,Error
0,7,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
43.3348,58.6932
