Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9290688282,-0.0,0.875,0.5556505500000001,0.005,1.0,0.108456898
1,0.9469402517999999,-0.0,0.875,0.627309244,0.005,0.7931,0.060365138
2,0.9470830127999998,0.0,0.875,0.486525944,0.005,0.82759,0.153698098
3,0.9471967967999999,0.0,0.875,0.184507576,0.005,0.82759,0.31091176800000003
4,0.9471967967999999,0.0,0.875,0.10862887599999999,0.005,0.7931,0.296668378
5,0.9472112784,0.0,0.875,0.110563472,0.005,0.65517,0.25699028400000007
6,0.9472123127999998,0.0,0.875,0.10697999,0.005,0.58621,0.259104986
7,0.9472123127999998,0.0,0.875,0.09754846,0.005,0.58621,0.26422691800000003
8,0.9472123127999998,0.0,0.875,0.064393166,0.005,0.58621,0.275492596
9,0.9472136919999998,0.0,0.875,0.12503924000000002,0.005,0.68966,0.259348914
10,0.9472154159999999,0.0,0.875,0.08923452000000001,0.005,0.58621,0.264082488
11,0.9472164503999998,0.0,0.875,0.07553165799999999,0.005,0.55172,0.272990802
12,0.9472164503999998,0.0,0.875,0.08314818199999999,0.005,0.58621,0.26433238600000003
13,0.9472164503999998,0.0,0.875,0.11833734600000002,0.005,0.55172,0.25149830600000006
14,0.9472164503999998,0.0,0.875,0.12249975799999997,0.005,0.55172,0.255357374
15,0.9472164503999998,0.0,0.875,0.071102382,0.005,0.58621,0.26500264
16,0.9472164503999998,0.0,0.875,0.073726688,0.005,0.55172,0.28043414
17,0.9472164503999998,0.0,0.875,0.05773007,0.005,0.58621,0.271922596
18,0.9472164503999998,0.0,0.875,0.06403827599999999,0.005,0.55172,0.28446943799999996
19,0.9472174847999999,0.0,0.875,0.063451552,0.005,0.58621,0.272504252
20,0.9472247255999999,0.0,0.875,0.084940274,0.005,0.58621,0.27868854
21,0.9472247255999999,0.0,0.875,0.068433064,0.005,0.55172,0.306707822
22,0.94722576,0.0,0.875,0.076453646,0.005,0.58621,0.27093725199999996
23,0.94722576,0.0,0.875,0.095189384,0.005,0.55172,0.25496675
24,0.94722576,0.0,0.875,0.094094022,0.005,0.58621,0.25245861199999997
25,0.94722576,0.0,0.875,0.10702596999999998,0.005,0.58621,0.24920712199999998
26,0.94722576,0.0,0.875,0.082318146,0.005,0.55172,0.25539270799999997
Best Pareto front
Generation,Hypervolume,error,gate fit
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.75,0.005
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.25,0.03448
24,0.94722576,0.125,0.06897
24,0.94722576,0.125,0.06897
24,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
40.307037037037034,54.12148148148148
