Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9239214224,0.00029,0.875,0.5240897880000001,0.005,1.0,0.118395524
1,0.9251335139,1e-05,0.875,0.457897754,0.005,1.0,0.18015364
2,0.9293300747,1e-05,0.875,0.36541511600000004,0.005,0.82759,0.25298686800000003
3,0.9299641652999999,1e-05,0.875,0.193395496,0.005,0.82759,0.37058142800000005
4,0.9345498740000001,0.0,0.875,0.11719354799999998,0.005,0.65517,0.4351035220000001
5,0.9345564253,0.0,0.75,0.124087676,0.005,0.65517,0.4167082100000001
6,0.9345684966,0.0,0.875,0.13120504,0.005,0.65517,0.40177234000000006
7,0.9345695312,0.0,0.875,0.138507628,0.005,0.65517,0.379217222
8,0.9391008928,0.0,0.875,0.142269546,0.005,0.62069,0.361109476
9,0.9391008928,0.0,0.875,0.10423073800000002,0.005,0.62069,0.35122099399999995
10,0.9391008928,0.0,0.875,0.103114464,0.005,0.62069,0.29898571
11,0.9391008928,0.0,0.75,0.06943823,0.005,0.58621,0.301507688
12,0.9391008928,0.0,0.875,0.075703398,0.005,0.68966,0.29557406999999997
13,0.9391008928,0.0,0.75,0.07581343400000001,0.005,0.62069,0.29257226599999997
14,0.9391008928,0.0,0.875,0.078746198,0.005,0.62069,0.292628234
15,0.9391008928,0.0,0.75,0.08068481400000001,0.005,0.62069,0.28951754
16,0.9391008928,0.0,0.86555,0.08587931800000001,0.005,0.65517,0.28892286200000006
17,0.9391008928,0.0,0.875,0.092322742,0.005,0.62069,0.284076232
18,0.9391008928,0.0,0.875,0.08101129399999998,0.005,0.58621,0.29657585200000003
19,0.9391008928,0.0,0.75,0.093402866,0.005,0.58621,0.29624869
20,0.9391008928,0.0,0.75,0.15519602999999998,0.005,0.62069,0.27411515399999997
21,0.9391008928,0.0,0.875,0.20756223,0.005,0.51724,0.24837781599999997
22,0.9391008928,0.0,0.75,0.09866093399999999,0.005,0.51724,0.28031636200000004
23,0.9391008928,0.0,0.75,0.12193706400000001,0.005,0.55172,0.265482338
Best Pareto front
Generation,Hypervolume,error,gate fit
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.75,0.005
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.25,0.03448
10,0.9391008928,0.125,0.06897
10,0.9391008928,0.125,0.06897
10,0.9391008928,0.125,0.06897
10,0.9391008928,0.125,0.06897
10,0.9391008928,0.125,0.06897
10,0.9391008928,0.0,0.31034
10,0.9391008928,0.0,0.31034
10,0.9391008928,0.05532,0.24138
Best fitness
Objective,Generation,Error
0,6,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
47.51833333333334,63.12708333333334
