Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9135441287999999,0.0335,0.875,0.540516148,0.005,1.0,0.098346058
1,0.9341700679999999,0.00762,0.875,0.66613685,0.005,1.0,0.038166304000000005
2,0.9402345295999999,0.00041,0.875,0.644766302,0.005,1.0,0.06518912
3,0.9414196072,0.00041,0.875,0.602920288,0.005,1.0,0.100630732
4,0.9423268415999999,0.0,0.875,0.5196824800000001,0.005,0.89655,0.1303629
5,0.9423268415999999,0.0,0.875,0.399105558,0.005,0.75862,0.18152515
6,0.9423268415999999,0.0,0.875,0.236009746,0.005,0.75862,0.22408280799999997
7,0.9423268415999999,0.0,0.875,0.121898558,0.005,0.65517,0.263327294
8,0.9423268415999999,0.0,0.875,0.087376226,0.005,0.51724,0.25521584799999997
9,0.9428281808,0.0,0.875,0.051969974,0.005,0.41379,0.2629334159999999
10,0.9428281808,0.0,0.875,0.041333576,0.005,0.41379,0.2666186119999999
11,0.9428281808,0.0,0.875,0.042760716,0.005,0.37931,0.266678306
12,0.9428281808,0.0,0.875,0.055519533999999995,0.005,0.41379,0.26158502199999994
13,0.9428281808,0.0,0.75,0.049355606,0.005,0.37931,0.262659722
14,0.9428281808,0.0,0.75,0.048542093999999994,0.005,0.37931,0.26478917199999996
15,0.9428281808,0.0,0.75,0.048683588,0.005,0.37931,0.26217815399999994
16,0.94291576,-0.0,0.875,0.067567388,0.005,0.41379,0.254942894
17,0.94291576,-0.0,0.875,0.08788589200000001,0.005,0.41379,0.24715828599999995
18,0.94291576,-0.0,0.875,0.103990594,0.005,0.51724,0.233793754
19,0.94291576,-0.0,0.875,0.10420352199999998,0.005,0.51724,0.222933634
20,0.94291576,-0.0,0.875,0.091036712,0.005,0.41379,0.236532784
21,0.94291576,-0.0,0.875,0.075673698,0.005,0.41379,0.22882741399999995
22,0.94291576,-0.0,0.875,0.07812856199999998,0.005,0.48276,0.24259585399999997
23,0.94291576,-0.0,0.875,0.071527124,0.005,0.44828,0.23059849799999999
24,0.94291576,-0.0,0.875,0.066347578,0.005,0.44828,0.24779802399999998
25,0.94291576,-0.0,0.875,0.083726572,0.005,0.51724,0.23299830399999996
26,0.94291576,-0.0,0.875,0.05144792,0.005,0.51724,0.23875492999999998
27,0.94291576,-0.0,0.75,0.05153399400000001,0.005,0.55172,0.232605642
Best Pareto front
Generation,Hypervolume,error,gate fit
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.75,0.005
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.25,0.03448
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,0.125,0.06897
18,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,6,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
39.332142857142856,52.740357142857135
