Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9151177399,-0.0,0.875,0.543388166,0.005,0.89655,0.111840902
1,0.9193294719,-0.0,0.875,0.6520448259999999,0.005,0.7931,0.07484603
2,0.923667774,-0.0,0.875,0.391918982,0.005,0.7931,0.23463623199999997
3,0.923667774,-0.0,0.875,0.132095336,0.005,0.7931,0.384182844
4,0.9237660419999999,-0.0,0.875,0.147355944,0.005,0.72414,0.36393907200000003
5,0.9238250027999999,-0.0,0.875,0.14062287799999998,0.005,0.72414,0.368779512
6,0.9238250027999999,-0.0,0.875,0.115303676,0.005,0.68966,0.372229882
7,0.9280769269,-0.0,0.875,0.12226871199999999,0.005,0.68966,0.361355184
8,0.9281359048,-0.0,0.875,0.126152802,0.005,0.68966,0.36082438599999994
9,0.9324348711999999,-0.0,0.875,0.21346252,0.005,0.68966,0.30154041
10,0.9324410793999999,-0.0,0.875,0.22753883800000002,0.005,0.68966,0.29794500399999996
11,0.9324410793999999,-0.0,0.875,0.25323323600000003,0.005,0.68966,0.2838886399999999
12,0.9324410793999999,-0.0,0.875,0.22123408600000002,0.005,0.75862,0.29421458999999994
13,0.9324455630999999,-0.0,0.875,0.21148084600000003,0.005,0.68966,0.29896449399999997
14,0.9324455630999999,-0.0,0.875,0.177964098,0.005,0.68966,0.31782281599999995
15,0.9324562518999999,-0.0,0.875,0.195402502,0.005,0.68966,0.307751304
16,0.9324562518999999,-0.0,0.875,0.21462639800000002,0.005,0.68966,0.29951620399999995
17,0.9324562518999999,-0.0,0.875,0.22865571399999998,0.005,0.68966,0.29134927999999993
18,0.9324562518999999,-0.0,0.875,0.21744054599999998,0.005,0.68966,0.301431312
19,0.9324562518999999,-0.0,0.875,0.22363934600000002,0.005,0.68966,0.30282549599999997
20,0.9324562518999999,-0.0,0.875,0.175146472,0.005,0.62069,0.31888211199999994
21,0.9324562518999999,-0.0,0.875,0.250870098,0.005,0.65517,0.271795166
22,0.9324562518999999,-0.0,0.75,0.24306135399999998,0.005,0.58621,0.2740698899999999
23,0.9324562518999999,-0.0,0.875,0.25835667199999995,0.005,0.62069,0.26649614199999994
24,0.9324562518999999,-0.0,0.75,0.24147055599999998,0.005,0.62069,0.27533359199999996
Best Pareto front
Generation,Hypervolume,error,gate fit
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.75,0.005
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.25,0.03448
17,0.9324562518999999,0.125,0.17241
17,0.9324562518999999,0.125,0.17241
17,0.9324562518999999,0.125,0.17241
17,0.9324562518999999,0.15166,0.10345
17,0.9324562518999999,-0.0,0.37931
17,0.9324562518999999,-0.0,0.37931
17,0.9324562518999999,-0.0,0.37931
17,0.9324562518999999,1e-05,0.27586
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
45.2292,59.4864
