Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.3799869654,0.57883,1.0,0.7951937400000001,0.06897,1.34483,0.20167390000000004
1,0.3799869654,0.57883,1.0,0.7691175299999999,0.06897,1.31034,0.16095066500000002
2,0.3799869654,0.57883,1.0,0.7656563100000001,0.06897,1.31034,0.136434225
3,0.38157890699999997,0.57883,1.0,0.7713973202276255,0.06897,1.31034,0.16378214174857733
4,0.38157890699999997,0.57883,1.0,0.75038845,0.06897,1.31034,0.1402958
5,0.38157890699999997,0.57883,1.0,0.73922731,0.06897,1.31034,0.143605775
6,0.452728113,0.5,1.0,0.7222004300000001,0.06897,1.31034,0.160691265
7,0.452728113,0.5,1.0,0.7296084665661137,0.06897,1.31034,0.17806675213675216
8,0.452728113,0.5,1.0,0.7261453218449062,0.06897,1.31034,0.17935346680182465
9,0.452728113,0.5,1.0,0.7321064354920958,0.06897,1.31034,0.18073229474757777
10,0.452728113,0.5,1.0,0.7292062877624168,0.06897,1.31034,0.18062504352278547
11,0.452728113,0.5,1.0,0.7298396456086286,0.06897,1.31034,0.17964089881869547
12,0.452728113,0.5,1.0,0.7288852650540402,0.06897,1.31034,0.18059642820380856
13,0.452728113,0.5,1.0,0.7275828954147346,0.06897,1.31034,0.180285095311695
14,0.452728113,0.5,1.0,0.7280789984512132,0.06897,1.31034,0.18122706763035626
15,0.452728113,0.5,1.0,0.731230527131783,0.06897,1.37931,0.18155689405684758
16,0.452728113,0.5,1.0,0.7275326356589148,0.06897,1.31034,0.1814856382428941
17,0.452728113,0.5,1.0,0.7307315090439277,0.06897,1.31034,0.1813431007751938
18,0.452728113,0.5,1.0,0.728974677002584,0.06897,1.34483,0.1803629612403101
19,0.452728113,0.5,1.0,0.730282284237726,0.06897,1.31034,0.18132518346253232
20,0.452728113,0.5,1.0,0.726174149870801,0.06897,1.31034,0.17975703359173129
21,0.452728113,0.5,1.0,0.7293923164426059,0.06897,1.31034,0.18184690279214064
22,0.452728113,0.5,1.0,0.7303300362131402,0.06897,1.31034,0.18224419555095708
23,0.452728113,0.5,1.0,0.7286116097308488,0.06897,1.31034,0.1825349120082816
24,0.452728113,0.5,1.0,0.731216387163561,0.06897,1.31034,0.1821243685300207
25,0.452728113,0.5,1.0,0.7291108592132506,0.06897,1.31034,0.18094645445134577
26,0.452728113,0.5,1.0,0.7289722929606625,0.06897,1.34483,0.182017298136646
27,0.452728113,0.5,1.0,0.7270094927536231,0.06897,1.31034,0.18030384057971016
28,0.452728113,0.5,1.0,0.7291551268772657,0.06897,1.31034,0.181182936302434
29,0.452728113,0.5,1.0,0.7268517236024844,0.06897,1.31034,0.1824278209109731
30,0.452728113,0.5,1.0,0.7285629037267081,0.06897,1.31034,0.1821065269151139
31,0.452728113,0.5,1.0,0.7249773964803313,0.06897,1.31034,0.18110700828157353
32,0.452728113,0.5,1.0,0.7287096946169773,0.06897,1.34483,0.183355900621118
33,0.452728113,0.5,1.0,0.7294026449275363,0.06897,1.31034,0.18169598861283648
34,0.452728113,0.5,1.0,0.7268804761904761,0.06897,1.31034,0.1828204451345756
35,0.452728113,0.5,1.0,0.7263663871635611,0.06897,1.31034,0.18039305383022777
36,0.452728113,0.5,1.0,0.7271883997928534,0.06897,1.31034,0.18211153806317973
37,0.452728113,0.5,1.0,0.7275383850931676,0.06897,1.31034,0.18169596273291927
38,0.452728113,0.5,1.0,0.7283113612836438,0.06897,1.31034,0.18092852484472055
39,0.452728113,0.5,1.0,0.7301082971014493,0.06897,1.31034,0.18169600414078677
40,0.452728113,0.5,1.0,0.727503152173913,0.06897,1.31034,0.18255274327122156
41,0.452728113,0.5,1.0,0.7292814596273292,0.06897,1.31034,0.18276689958592138
42,0.452728113,0.5,1.0,0.7309307298136646,0.06897,1.31034,0.18289184265010355
43,0.452728113,0.5,1.0,0.7264565165631469,0.06897,1.31034,0.18207079192546588
44,0.452728113,0.5,1.0,0.727782132505176,0.06897,1.31034,0.18324875776397517
45,0.452728113,0.5,1.0,0.7263011697722567,0.06897,1.37931,0.18196375258799175
46,0.452728113,0.5,1.0,0.7252261076604556,0.06897,1.37931,0.18287394927536235
47,0.452728113,0.5,1.0,0.7275368064182195,0.06897,1.31034,0.18207080745341617
48,0.452728113,0.5,1.0,0.7275194151138715,0.06897,1.31034,0.18417685817805385
49,0.452728113,0.5,1.0,0.7267858229813664,0.06897,1.37931,0.1818030848861284
50,0.452728113,0.5,1.0,0.7291916407867494,0.06897,1.31034,0.18301675465838513
51,0.452728113,0.5,1.0,0.7292471066252587,0.06897,1.31034,0.18339157349896484
52,0.452728113,0.5,1.0,0.7275051811594203,0.06897,1.31034,0.18369498964803313
53,0.452728113,0.5,1.0,0.7269237991718427,0.06897,1.31034,0.1835878881987578
54,0.452728113,0.5,1.0,0.7241839026915113,0.06897,1.31034,0.1835878933747412
55,0.452728113,0.5,1.0,0.7283607608695652,0.06897,1.31034,0.18255270703933751
56,0.452728113,0.5,1.0,0.7260075776397515,0.06897,1.34483,0.18385558488612838
