Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9413179567999999,-0.0,0.875,0.5234806479999999,0.005,0.89655,0.11034544599999999
1,0.944188072,-0.0,0.875,0.36581778400000003,0.005,0.7931,0.113681484
2,0.944188072,-0.0,0.875,0.11315591199999998,0.005,0.7931,0.21254976399999995
3,0.9444135711999999,-0.0,0.875,0.112167588,0.005,0.7931,0.23141709199999996
4,0.9444135711999999,-0.0,0.75,0.038909936,0.005,0.62069,0.25488494199999995
5,0.9444135711999999,-0.0,0.75,0.038235154,0.005,0.72414,0.25421106999999993
6,0.9444135711999999,-0.0,0.75,0.072935784,0.005,0.62069,0.23954876999999997
7,0.9444135711999999,-0.0,0.75,0.045565718000000005,0.005,0.62069,0.25054097399999997
8,0.9444135711999999,-0.0,0.75,0.022764506,0.005,0.62069,0.257893434
9,0.9444135711999999,-0.0,0.75,0.02099156,0.005,0.62069,0.2574874059999999
10,0.9444135711999999,-0.0,0.75,0.050524708,0.005,0.62069,0.24554653599999993
11,0.9444135711999999,-0.0,0.75,0.017923704,0.005,0.48276,0.24867107799999993
12,0.9444135711999999,-0.0,0.75,0.102401666,0.005,0.48276,0.22696955599999996
13,0.9445152872,-0.0,0.75,0.137908922,0.005,0.51724,0.21552388399999994
14,0.9445152872,-0.0,0.75,0.12572454,0.005,0.48276,0.22066049599999996
15,0.9445152872,-0.0,0.75,0.12160959399999999,0.005,0.48276,0.22143436599999997
16,0.9445152872,-0.0,0.75,0.12254729399999999,0.005,0.48276,0.22111436999999995
17,0.9445152872,-0.0,0.875,0.10800184599999997,0.005,0.51724,0.22771014599999997
18,0.9445152872,-0.0,0.75,0.10874819,0.005,0.51724,0.22650112799999997
19,0.9445152872,-0.0,0.75,0.05266748,0.005,0.51724,0.24635843399999993
20,0.9445152872,-0.0,0.75,0.106998442,0.005,0.51724,0.22508284799999997
21,0.9445152872,-0.0,0.75,0.048997802,0.005,0.51724,0.24980632399999994
22,0.9460437855999999,-0.0,0.75,0.174730638,0.005,0.55172,0.20229796199999997
23,0.9460437855999999,-0.0,0.75,0.08235305000000001,0.005,0.62069,0.25229246999999994
24,0.9460437855999999,-0.0,0.75,0.067983276,0.005,0.65517,0.291826064
25,0.9460437855999999,-0.0,0.75,0.076125862,0.005,0.62069,0.27551571399999997
26,0.9460437855999999,-0.0,0.75,0.07760439400000001,0.005,0.62069,0.265719272
27,0.9460437855999999,-0.0,0.75,0.07410283599999999,0.005,0.62069,0.270146076
28,0.9460437855999999,-0.0,0.75,0.161424354,0.005,0.62069,0.24086124799999997
29,0.9460437855999999,-0.0,0.75,0.16583584,0.005,0.62069,0.23973193
Best Pareto front
Generation,Hypervolume,error,gate fit
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.25,0.03448
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.75,0.005
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,0.125,0.06897
24,0.9460437855999999,-0.0,0.24138
24,0.9460437855999999,-0.0,0.24138
24,0.9460437855999999,-0.0,0.24138
24,0.9460437855999999,-0.0,0.24138
24,0.9460437855999999,0.03428,0.2069
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
37.157666666666664,49.346333333333334
