Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9153076467000001,2e-05,0.875,0.548967208,0.005,0.93103,0.10619785
1,0.9299714046,2e-05,0.875,0.533805828,0.005,0.93103,0.12913611400000002
2,0.9348498517999999,1e-05,0.875,0.326158902,0.005,0.93103,0.24583794000000003
3,0.9348505414999999,1e-05,0.875,0.216139804,0.005,0.75862,0.30029648600000003
4,0.9348574391,0.0,0.875,0.082572224,0.005,0.68966,0.34153172800000003
5,0.9387981583,0.0,0.875,0.18285856600000003,0.005,0.68966,0.302757456
6,0.9387985031999999,0.0,0.875,0.10372407800000001,0.005,0.68966,0.32643479200000003
7,0.9440201544,0.0,0.875,0.06820198399999998,0.005,0.65517,0.320425998
8,0.9440201544,0.0,0.875,0.046894716,0.005,0.51724,0.30298824
9,0.9440201544,0.0,0.875,0.037091992,0.005,0.44828,0.30305443800000004
10,0.9440201544,0.0,0.875,0.029600596000000003,0.005,0.44828,0.30660342999999995
11,0.9440201544,0.0,0.875,0.027586982,0.005,0.44828,0.306713034
12,0.9440201544,0.0,0.875,0.034760203999999996,0.005,0.44828,0.303731248
13,0.9440201544,0.0,0.875,0.038080214,0.005,0.48276,0.30037015200000006
14,0.9440201544,0.0,0.875,0.04832632199999999,0.005,0.44828,0.297098904
15,0.9440201544,0.0,0.875,0.038983242,0.005,0.44828,0.300025284
16,0.9440201544,0.0,0.875,0.047057678,0.005,0.44828,0.29783040200000005
17,0.9440201544,0.0,0.875,0.051297746,0.005,0.44828,0.295317428
18,0.9440201544,0.0,0.875,0.051080403999999996,0.005,0.44828,0.2944259
19,0.9440201544,0.0,0.875,0.050665898,0.005,0.44828,0.29547470600000003
20,0.9440201544,0.0,0.875,0.067237338,0.005,0.44828,0.288025966
21,0.9440201544,0.0,0.875,0.06805573799999999,0.005,0.44828,0.28715683599999997
22,0.9440201544,0.0,0.875,0.065710782,0.005,0.44828,0.28738977600000004
23,0.9440201544,0.0,0.875,0.074428726,0.005,0.44828,0.28516101400000005
24,0.9440201544,0.0,0.875,0.072409776,0.005,0.44828,0.28392333399999997
25,0.9440201544,0.0,0.875,0.059207119999999995,0.005,0.44828,0.290833824
26,0.9440201544,0.0,0.875,0.054885267999999994,0.005,0.44828,0.29384483600000005
Best Pareto front
Generation,Hypervolume,error,gate fit
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.75,0.005
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.25,0.03448
9,0.9440201544,0.125,0.06897
9,0.9440201544,0.125,0.06897
9,0.9440201544,0.125,0.06897
9,0.9440201544,0.0,0.31034
9,0.9440201544,0.0,0.31034
9,0.9440201544,0.03099,0.2069
Best fitness
Objective,Generation,Error
0,6,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
41.8537037037037,55.68703703703704
