Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8464352344,0.11984,0.875,0.5640980449999999,0.005,0.89655,0.11643843499999999
1,0.9010798984,0.01784,0.875,0.631420885,0.005,0.82759,0.05954569999999999
2,0.9208895989000001,0.00081,0.875,0.6668631250000001,0.005,0.82759,0.058992199999999995
3,0.9295416890999998,0.00064,0.875,0.574631665,0.005,0.82759,0.11338232999999998
4,0.9297210288,0.00036,0.875,0.5056480250000001,0.005,0.82759,0.14274591499999997
5,0.9340139911,0.00036,0.875,0.36863001500000003,0.005,0.82759,0.21099378499999996
6,0.9341095253999999,0.00026,0.875,0.30987311,0.005,0.72414,0.233801425
7,0.9341736728999999,0.00017,0.875,0.306149675,0.005,0.72414,0.22987777499999998
8,0.9342543743999999,6e-05,0.875,0.33761762500000003,0.005,0.65517,0.20341339999999997
9,0.9342819648,2e-05,0.875,0.321803055,0.005,0.65517,0.20549868499999996
10,0.9342819648,2e-05,0.87489,0.269606235,0.005,0.65517,0.215561265
11,0.9342819648,2e-05,0.75,0.26358906000000004,0.005,0.51724,0.21673216
12,0.9342957599999999,0.0,0.875,0.127815915,0.005,0.62069,0.27289559
13,0.9342957599999999,0.0,0.875,0.20048083500000002,0.005,0.55172,0.24267334999999998
14,0.9342957599999999,0.0,0.75,0.16494719500000002,0.005,0.55172,0.25480108
15,0.9342957599999999,0.0,0.75,0.09636228500000002,0.005,0.51724,0.278514465
16,0.9342957599999999,0.0,0.75,0.04403446999999999,0.005,0.55172,0.29675319
17,0.9342957599999999,0.0,0.75,0.03865486,0.005,0.51724,0.29875280499999995
18,0.9342957599999999,0.0,0.75,0.01725489,0.005,0.44828,0.30681497
19,0.9342957599999999,0.0,0.75,0.018643975,0.005,0.44828,0.30565998
20,0.9342957599999999,0.0,0.875,0.02063868,0.005,0.44828,0.30514305999999997
21,0.9342957599999999,0.0,0.75,0.031606760000000005,0.005,0.41379,0.29996191499999997
22,0.9342957599999999,0.0,0.875,0.025001014999999994,0.005,0.41379,0.30228623
23,0.9342957599999999,0.0,0.75,0.024974219999999995,0.005,0.41379,0.30286762
24,0.9342957599999999,0.0,0.75,0.029163645,0.005,0.44828,0.302904925
25,0.9342957599999999,0.0,0.75,0.017097065,0.005,0.41379,0.30672638
26,0.9342957599999999,0.0,0.87489,0.025468549999999996,0.005,0.51724,0.30506192499999996
27,0.9342957599999999,0.0,0.75,0.00885816,0.005,0.41379,0.310705825
28,0.9342957599999999,0.0,0.875,0.013983464999999999,0.005,0.44828,0.30895759
29,0.9342957599999999,0.0,0.75,0.00942884,0.005,0.41379,0.31043002999999997
30,0.9342957599999999,0.0,0.75,0.01742569,0.005,0.44828,0.30560325499999996
31,0.9342957599999999,0.0,0.75,0.021413225,0.005,0.55172,0.30319921499999997
32,0.9342957599999999,0.0,0.75,0.05582228499999999,0.005,0.55172,0.28980616499999995
