Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.40848773129999993,0.53559,0.94204,0.8364836,0.005,1.0,0.37207932000000005
1,0.4111461184999999,0.53559,0.95848,0.80865612,0.005,1.0,0.34738068
2,0.4180204790999999,0.53559,1.0,0.78887626,0.005,1.0,0.3113628
3,0.4213367647,0.53559,0.91535,0.7730260000000001,0.005,1.0,0.30396754000000004
4,0.42874396339999993,0.53559,0.91535,0.76521646,0.005,1.0,0.23601353999999997
5,0.4856212418,0.48194,1.0,0.76045688,0.005,0.96552,0.18106952
6,0.4856212418,0.48194,0.84875,0.7316284800000001,0.005,0.96552,0.18418187999999996
7,0.48569261539999997,0.48194,0.8297,0.71966654,0.005,0.86207,0.15656833999999997
8,0.4864893344,0.48194,0.82418,0.7091100399999999,0.005,0.51724,0.12195288
9,0.48972430879999995,0.47725,0.82322,0.69789658,0.005,0.51724,0.11196578
10,0.4900243216,0.47725,0.8103,0.73452262,0.005,0.31034,0.025611120000000005
11,0.6061946069000002,0.33851,0.77152,0.7695120200000001,0.005,0.17241,0.00584656
12,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
13,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
14,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
15,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
16,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
17,0.6061946069000002,0.33851,0.77152,0.7680626400000001,0.005,0.17241,0.006437240000000001
18,0.6063401125000002,0.33851,0.77152,0.7683753,0.005,0.17241,0.006240340000000001
19,0.6063401125000002,0.33851,0.77152,0.7680542,0.005,0.17241,0.006437240000000001
20,0.6063401125000002,0.33851,0.77152,0.7680542,0.005,0.17241,0.006437240000000001
21,0.6069366165000002,0.33851,0.77152,0.7682989000000001,0.005,0.17241,0.0063093
22,0.6069366165000002,0.33851,0.77152,0.7679850000000001,0.005,0.17241,0.006437240000000001
23,0.6069366165000002,0.33851,0.77152,0.7679850000000001,0.005,0.17241,0.006437240000000001
24,0.6069366165000002,0.33851,0.77152,0.7679850000000001,0.005,0.17241,0.006437240000000001
25,0.6071983956000002,0.33851,0.77152,0.7682363,0.005,0.17241,0.00637828
26,0.6071983956000002,0.33851,0.77152,0.76795464,0.005,0.17241,0.006437240000000001
27,0.6071983956000002,0.33851,0.77152,0.76795464,0.005,0.17241,0.006437240000000001
28,0.6071983956000002,0.33851,0.77152,0.76795464,0.005,0.17241,0.006437240000000001
29,0.6071983956000002,0.33851,0.77152,0.76795464,0.005,0.17241,0.006437240000000001
30,0.6072370132000002,0.33851,0.77152,0.76827462,0.005,0.17241,0.006240340000000001
31,0.6072370132000002,0.33851,0.77152,0.7679524000000001,0.005,0.17241,0.006437240000000001
32,0.6072370132000002,0.33851,0.77152,0.7679524000000001,0.005,0.17241,0.006437240000000001
33,0.6072397716000002,0.33851,0.77152,0.7682745400000001,0.005,0.17241,0.006240340000000001
34,0.6131275764000003,0.33851,0.77152,0.7672884200000001,0.005,0.17241,0.006703100000000001
35,0.6131275764000003,0.33851,0.77152,0.7666246000000001,0.005,0.17241,0.006968960000000001
36,0.6131275764000003,0.33851,0.77152,0.7666246000000001,0.005,0.17241,0.006968960000000001
37,0.6143292044000003,0.33851,0.77152,0.7668772000000001,0.005,0.17241,0.006772060000000002
38,0.6143292044000003,0.33851,0.77152,0.7664852000000001,0.005,0.17241,0.006968960000000001
39,0.6143292044000003,0.33851,0.77152,0.7664852000000001,0.005,0.17241,0.006968960000000001
40,0.6147229796000002,0.33843,0.77152,0.7679958800000001,0.005,0.17241,0.0063682800000000005
41,0.6147229796000002,0.33843,0.77152,0.7673130600000001,0.005,0.17241,0.00663414
42,0.6147250484000002,0.33843,0.77152,0.76712958,0.005,0.17241,0.006703100000000001
43,0.6147250484000002,0.33843,0.77152,0.7664466400000001,0.005,0.17241,0.006968960000000001
44,0.6147250484000002,0.33843,0.77152,0.7664466400000001,0.005,0.17241,0.006968960000000001
45,0.6147250484000002,0.33843,0.77152,0.7664466400000001,0.005,0.17241,0.006968960000000001
46,0.6161121788000001,0.33843,0.77152,0.7670491200000001,0.005,0.17241,0.006703100000000001
47,0.6161725363000001,0.33843,0.77152,0.7665638800000001,0.005,0.17241,0.00691
48,0.6175582875000001,0.33843,0.77152,0.7672973800000001,0.005,0.17241,0.006447220000000002
49,0.6175582875000001,0.33843,0.77152,0.7669042400000001,0.005,0.17241,0.00657516
50,0.6175582875000001,0.33843,0.77152,0.7669042400000001,0.005,0.17241,0.00657516
51,0.6175582875000001,0.33843,0.77152,0.7669042400000001,0.005,0.17241,0.00657516
52,0.6175913883,0.33843,0.77152,0.7672964200000001,0.005,0.17241,0.006447220000000002
53,0.6175913883,0.33843,0.77152,0.76690232,0.005,0.17241,0.00657516
54,0.6175913883,0.33843,0.77152,0.76690232,0.005,0.17241,0.00657516
55,0.6177272789,0.33843,0.77152,0.7671796000000001,0.005,0.17241,0.0065162000000000015
56,0.6177272789,0.33843,0.77152,0.76688656,0.005,0.17241,0.00657516
57,0.6177272789,0.33843,0.77152,0.76688656,0.005,0.17241,0.00657516
58,0.6177272789,0.33843,0.77152,0.76688656,0.005,0.17241,0.00657516
59,0.6177272789,0.33843,0.77152,0.76688656,0.005,0.17241,0.00657516
60,0.6214276725000001,0.33843,0.77152,0.76627782,0.005,0.17241,0.006772060000000002
61,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
62,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
63,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
64,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
65,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
66,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
67,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
68,0.6214276725000001,0.33843,0.77152,0.7656690800000001,0.005,0.17241,0.006968960000000001
69,0.6380116803,0.32125,0.77152,0.7680277000000001,0.005,0.13793,0.006033460000000002
70,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
71,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
72,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
73,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
74,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
75,0.6380116803,0.32125,0.77152,0.7671271600000001,0.005,0.13793,0.0062993200000000015
