Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9044420853999999,0.03898,0.875,0.523370348,0.005,0.89655,0.099800508
1,0.9188313408,0.02242,0.875,0.702792926,0.005,0.75862,0.03359099399999999
2,0.9325920108000001,0.00142,0.875,0.644176066,0.005,0.75862,0.066826358
3,0.9374826533999998,0.00053,0.875,0.550463854,0.005,0.75862,0.101569614
4,0.9385147236999998,2e-05,0.875,0.53778864,0.005,0.75862,0.10881937800000001
5,0.9385526566,2e-05,0.875,0.41393753400000005,0.005,0.62069,0.17278408399999998
6,0.94291576,-0.0,0.875,0.20991197599999997,0.005,0.62069,0.25926148400000004
7,0.94291576,-0.0,0.875,0.227228132,0.005,0.55172,0.239540632
8,0.94291576,-0.0,0.875,0.15119263399999996,0.005,0.62069,0.24529544399999995
9,0.94291576,-0.0,0.875,0.139696982,0.005,0.51724,0.238727448
10,0.94291576,-0.0,0.875,0.110150384,0.005,0.51724,0.241752908
11,0.94291576,-0.0,0.875,0.084538148,0.005,0.51724,0.25106296199999995
12,0.94291576,-0.0,0.875,0.100549972,0.005,0.55172,0.241875108
13,0.94291576,-0.0,0.875,0.090400058,0.005,0.58621,0.24746999199999994
14,0.94291576,-0.0,0.875,0.065304292,0.005,0.51724,0.25745640999999997
15,0.94291576,-0.0,0.875,0.08608006600000001,0.005,0.55172,0.25223800199999996
16,0.94291576,-0.0,0.875,0.09023940999999999,0.005,0.55172,0.240211476
17,0.94291576,-0.0,0.875,0.099788814,0.005,0.51724,0.24390117799999997
18,0.94291576,-0.0,0.875,0.13512981,0.005,0.68966,0.22195568599999996
19,0.94291576,-0.0,0.875,0.137702312,0.005,0.51724,0.22261256399999993
20,0.94291576,-0.0,0.875,0.12125335799999998,0.005,0.51724,0.22246997999999993
21,0.94291576,-0.0,0.875,0.104310116,0.005,0.55172,0.23499737399999995
22,0.94291576,-0.0,0.875,0.166675922,0.005,0.51724,0.21436386399999996
23,0.94291576,-0.0,0.875,0.17915657200000001,0.005,0.51724,0.20657327799999997
24,0.94291576,-0.0,0.875,0.192246654,0.005,0.55172,0.20150611999999998
25,0.94291576,-0.0,0.875,0.17733886,0.005,0.51724,0.20437012999999998
26,0.94291576,-0.0,0.875,0.165730454,0.005,0.51724,0.20900112199999993
27,0.94291576,-0.0,0.875,0.20292328999999998,0.005,0.55172,0.21178165399999999
28,0.94291576,-0.0,0.875,0.19302187799999998,0.005,0.55172,0.20332419399999999
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.75,0.005
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.25,0.03448
8,0.94291576,0.125,0.06897
8,0.94291576,0.125,0.06897
8,0.94291576,0.125,0.06897
8,0.94291576,0.125,0.06897
8,0.94291576,0.125,0.06897
8,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,8,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
37.357586206896556,50.707241379310354
