Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9152792639999999,-0.0,0.875,0.48565617,0.005,0.93103,0.143531634
1,0.9203342475999999,-0.0,0.875,0.27539815399999995,0.005,0.93103,0.33975545
2,0.9203342475999999,-0.0,0.875,0.189567792,0.005,0.72414,0.38624262200000004
3,0.9331692884999999,-0.0,0.875,0.1621389,0.005,0.68966,0.390792404
4,0.9341929996999999,-0.0,0.875,0.23504521399999997,0.005,0.65517,0.314797074
5,0.9341995509,-0.0,0.875,0.22099040800000003,0.005,0.72414,0.323696174
6,0.9341995509,-0.0,0.875,0.224577772,0.005,0.72414,0.32177267000000004
7,0.9341995509,-0.0,0.875,0.22270848000000001,0.005,0.72414,0.32165209600000005
8,0.9341995509,-0.0,0.875,0.22374729999999998,0.005,0.65517,0.32140772000000006
9,0.9341995509,-0.0,0.875,0.22371050599999998,0.005,0.72414,0.321607546
10,0.9341995509,-0.0,0.875,0.22260353400000005,0.005,0.65517,0.32188982800000004
11,0.9341995509,-0.0,0.875,0.22377640799999998,0.005,0.75862,0.3210376200000001
12,0.9341995509,-0.0,0.875,0.22172596599999997,0.005,0.7931,0.321589822
13,0.9341995509,-0.0,0.875,0.222208448,0.005,0.72414,0.321515496
14,0.9341995509,-0.0,0.875,0.22266682399999999,0.005,0.72414,0.3217746020000001
15,0.9341995509,-0.0,0.875,0.22198440600000002,0.005,0.72414,0.32180959000000003
16,0.9341995509,-0.0,0.875,0.22347603799999996,0.005,0.68966,0.321244502
17,0.9341995509,-0.0,0.875,0.223314318,0.005,0.65517,0.32146422
18,0.9341995509,-0.0,0.875,0.22381671800000003,0.005,0.68966,0.32051443800000007
Best Pareto front
Generation,Hypervolume,error,gate fit
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.25,0.03448
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,0.75,0.005
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,-0.0,0.41379
7,0.9341995509,0.0009,0.34483
7,0.9341995509,0.00099,0.31034
7,0.9341995509,0.125,0.06897
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
34.35052631578947,46.47052631578947
