Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.82906126,0.125,0.875,0.323142596,0.05,1.0,0.40771845599999995
1,0.82906126,0.125,0.875,0.27255017200000003,0.05,1.0,0.36207365799999996
2,0.82906126,0.125,0.875,0.261074568,0.05,1.0,0.30289115
3,0.82906126,0.125,0.40177,0.242209818,0.05,1.0,0.20140683199999998
4,0.82906126,0.125,0.2723,0.239953786,0.05,1.0,0.12822028800000002
5,0.8385807300000001,0.102,0.25031,0.24333628399999999,0.05,0.62069,0.084039576
6,0.8385807300000001,0.102,0.25004,0.24581456,0.05,0.58621,0.061409552
7,0.8385807300000001,0.102,0.25,0.2490908,0.05,0.58621,0.05034348
8,0.8385807300000001,0.102,0.25,0.2498908,0.05,0.58621,0.05022207199999999
9,0.8410102643,0.09613,0.25,0.249919226,0.05,0.58621,0.05011482999999999
10,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
11,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
12,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
13,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
14,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
15,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
16,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
17,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
18,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
19,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
20,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
21,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
22,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
23,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
24,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
25,0.8410102643,0.09613,0.25,0.249888452,0.05,0.58621,0.05022207199999999
Best Pareto front
Generation,Hypervolume,error,gate fit
11,0.8410102643,0.25,0.05
11,0.8410102643,0.09613,0.58621
11,0.8410102643,0.125,0.06897
Best fitness
Objective,Generation,Error
0,11,0.09613
1,2,0.05
Avg simulation runtime,Avg generation runtime
28.388076923076923,34.72230769230769
