Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9122149881,-0.0,0.875,0.473310794,0.005,1.06897,0.15501647400000002
1,0.9126112016,-0.0,0.875,0.502593288,0.005,0.7931,0.24176861599999996
2,0.91705451,-0.0,0.875,0.45579536200000004,0.005,0.7931,0.22714654
3,0.9256745099999999,-0.0,0.875,0.36561935,0.005,0.72414,0.306452916
4,0.9256745099999999,-0.0,0.875,0.39170706,0.005,0.72414,0.323647282
5,0.9256745099999999,-0.0,0.875,0.30750263800000005,0.005,0.75862,0.343347862
6,0.9256745099999999,-0.0,0.875,0.321163516,0.005,0.72414,0.317838482
7,0.9256745099999999,-0.0,0.875,0.33375373199999997,0.005,0.72414,0.31538438199999996
8,0.9256745099999999,-0.0,0.875,0.318645586,0.005,0.75862,0.3189052359999999
9,0.9260210339999999,-0.0,0.875,0.31602718,0.005,0.72414,0.31998319799999997
10,0.9260210339999999,-0.0,0.875,0.314311136,0.005,0.72414,0.323567858
11,0.9260210339999999,-0.0,0.875,0.322129596,0.005,0.72414,0.320380206
12,0.9260210339999999,-0.0,0.875,0.323198588,0.005,0.72414,0.319544834
13,0.9260210339999999,-0.0,0.875,0.31440089200000004,0.005,0.72414,0.32384914800000003
14,0.9260210339999999,-0.0,0.875,0.317902026,0.005,0.7931,0.322831078
15,0.9260210339999999,-0.0,0.875,0.326078568,0.005,0.72414,0.317779624
16,0.9260210339999999,-0.0,0.875,0.313085214,0.005,0.72414,0.32211473
Best Pareto front
Generation,Hypervolume,error,gate fit
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.75,0.005
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,0.25,0.03448
11,0.9260210339999999,-0.0,0.37931
11,0.9260210339999999,-0.0,0.37931
11,0.9260210339999999,0.125,0.06897
11,0.9260210339999999,0.11495,0.34483
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
38.139411764705876,50.857058823529414
