Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.5035313073,0.40231,1.0,0.84880134,0.06897,1.0,0.284703262
1,0.5684383953,0.32125,1.0,0.829801096,0.06897,0.96552,0.26489667
2,0.5735593902999999,0.32125,1.0,0.8080731019999999,0.06897,0.96552,0.242614176
3,0.5736586926999999,0.32125,1.0,0.802565838,0.06897,0.96552,0.223952556
4,0.573717661,0.32125,1.0,0.8078400599999999,0.06897,0.96552,0.196153246
5,0.5738128534000001,0.32125,1.0,0.8195624119999999,0.06897,0.96552,0.176519154
6,0.5738128534000001,0.32125,1.0,0.8271947260000001,0.06897,0.96552,0.16772634
7,0.573879055,0.32125,1.0,0.82701126,0.06897,0.96552,0.16822284199999998
8,0.573879055,0.32125,1.0,0.8272581179999999,0.06897,0.96552,0.16732631
9,0.5739880118,0.32125,1.0,0.8259768879999999,0.06897,0.96552,0.168146992
10,0.5739880118,0.32125,1.0,0.8254727199999999,0.06897,0.96552,0.168250452
11,0.5739880118,0.32125,1.0,0.8268336179999999,0.06897,0.96552,0.168795262
12,0.5739880118,0.32125,1.0,0.8270256679999999,0.06897,0.96552,0.16782976400000002
13,0.5914068496000001,0.28758,1.0,0.8270755299999999,0.06897,0.96552,0.16775389599999999
14,0.5935751616000001,0.28758,1.0,0.8257676479999998,0.06897,0.96552,0.168933178
15,0.5935751616000001,0.28758,1.0,0.8258878499999999,0.06897,0.96552,0.16903663
16,0.5935751616000001,0.28758,1.0,0.8255233000000001,0.06897,0.96552,0.169443526
17,0.5935751616000001,0.28758,1.0,0.8269111339999999,0.06897,0.96552,0.16993318400000001
18,0.5935761963,0.28758,1.0,0.825678084,0.06897,0.96552,0.16893321
Best Pareto front
Generation,Hypervolume,error,gate fit
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.82322,0.06897
20,0.5935761963,0.32125,0.24138
20,0.5935761963,0.32125,0.24138
20,0.5935761963,0.46715,0.2069
20,0.5935761963,0.46715,0.2069
20,0.5935761963,0.76903,0.10345
20,0.5935761963,0.76903,0.10345
20,0.5935761963,0.625,0.13793
20,0.5935761963,0.625,0.13793
20,0.5935761963,0.28758,0.48276
20,0.5935761963,0.28758,0.48276
20,0.5935761963,0.31077,0.27586
20,0.5935761963,0.31077,0.27586
20,0.5935761963,0.60705,0.17241
Best fitness
Objective,Generation,Error
0,15,0.28758
1,2,0.06897
Avg simulation runtime,Avg generation runtime
20.572631578947366,45.78157894736842
