Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9308149169999999,-0.0,0.875,0.49493384799999995,0.005,0.89655,0.152770336
1,0.9329308447,-0.0,0.875,0.409966078,0.005,0.82759,0.290570352
2,0.9385257561,-0.0,0.875,0.33632030599999996,0.005,0.82759,0.36315992799999997
3,0.9385740360999999,-0.0,0.875,0.170251658,0.005,0.82759,0.45284709999999995
4,0.938582657,-0.0,0.875,0.251793718,0.005,0.82759,0.4356359339999999
5,0.9385909321999999,0.0,0.875,0.194184514,0.005,0.75862,0.43090574800000003
6,0.9429026576,0.0,0.875,0.250985344,0.005,0.82759,0.401670642
7,0.9472164503999998,0.0,0.875,0.277252412,0.005,0.82759,0.33393342400000003
8,0.9472164503999998,0.0,0.875,0.26497339999999997,0.005,0.82759,0.31480369599999997
9,0.9472164503999998,0.0,0.875,0.209095858,0.005,0.7931,0.34350145000000004
10,0.9472164503999998,0.0,0.875,0.191176072,0.005,0.82759,0.336931904
11,0.9472164503999998,0.0,0.875,0.21014589800000003,0.005,0.7931,0.31001724599999997
12,0.9472164503999998,0.0,0.875,0.233977808,0.005,0.75862,0.278869484
13,0.9472164503999998,0.0,0.875,0.261088066,0.005,0.75862,0.258601096
14,0.94722576,0.0,0.875,0.28198125999999996,0.005,0.86207,0.289698434
15,0.94722576,0.0,0.875,0.289803054,0.005,0.89655,0.287769452
16,0.94722576,0.0,0.875,0.327573444,0.005,0.86207,0.270135946
17,0.94722576,0.0,0.875,0.290513278,0.005,0.7931,0.272075298
18,0.94722576,0.0,0.875,0.29648381199999996,0.005,0.86207,0.277651168
19,0.94722576,0.0,0.875,0.253944594,0.005,0.89655,0.30938200400000004
Best Pareto front
Generation,Hypervolume,error,gate fit
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.75,0.005
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.25,0.03448
16,0.94722576,0.125,0.06897
16,0.94722576,0.125,0.06897
16,0.94722576,0.125,0.06897
16,0.94722576,0.125,0.06897
16,0.94722576,0.125,0.06897
16,0.94722576,0.0,0.2069
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
31.193000000000005,44.61200000000001
