Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9288777016999998,0.00061,0.875,0.439436155,0.005,0.7931,0.175577775
1,0.9288777016999998,0.00061,0.875,0.559132705,0.005,0.75862,0.09161934
2,0.9309665038999999,0.0,0.875,0.5227678499999999,0.005,0.82759,0.16194106499999997
3,0.9319343631999999,0.0,0.875,0.480315635,0.005,0.82759,0.1777432
4,0.9337942148,0.0,0.875,0.3312660050000001,0.005,0.7931,0.30255192
5,0.9338504172,0.0,0.875,0.270348295,0.005,0.7931,0.38391343499999997
6,0.9347861288999999,0.0,0.875,0.22588288499999998,0.005,0.75862,0.42002409999999996
7,0.9348002698,0.0,0.875,0.21553555,0.005,0.72414,0.41680164
8,0.9348071678000001,0.0,0.875,0.17712418500000002,0.005,0.65517,0.429964725
9,0.9354929749999998,0.0,0.875,0.167878615,0.005,0.68966,0.42030222000000006
10,0.9354929749999998,0.0,0.875,0.10590373500000001,0.005,0.65517,0.42037744000000005
11,0.9354929749999998,0.0,0.875,0.097106815,0.005,0.65517,0.418948795
12,0.9354929749999998,0.0,0.875,0.07989117999999999,0.005,0.65517,0.42921867999999996
13,0.9354929749999998,0.0,0.75,0.07622893,0.005,0.65517,0.42772832499999996
14,0.9354929749999998,0.0,0.875,0.077181205,0.005,0.65517,0.4283489999999999
15,0.9354929749999998,0.0,0.875,0.07974851,0.005,0.68966,0.42730954
16,0.9354929749999998,0.0,0.875,0.08035181,0.005,0.68966,0.42438099
17,0.9354929749999998,0.0,0.875,0.07997635,0.005,0.65517,0.42630229
18,0.9354929749999998,0.0,0.75,0.073507265,0.005,0.72414,0.425932985
19,0.9354929749999998,0.0,0.875,0.08639246500000002,0.005,0.65517,0.42140649499999994
20,0.9354929749999998,0.0,0.875,0.09723634000000002,0.005,0.65517,0.41404299499999997
21,0.9354929749999998,0.0,0.875,0.106532475,0.005,0.62069,0.41041256
22,0.9354929749999998,0.0,0.875,0.090929425,0.005,0.65517,0.41954977
23,0.9354929749999998,0.0,0.875,0.09600812499999999,0.005,0.72414,0.420162665
24,0.9354929749999998,0.0,0.875,0.094882935,0.005,0.72414,0.4149441
25,0.9354929749999998,0.0,0.875,0.09320861000000001,0.005,0.72414,0.41602270999999996
26,0.9354929749999998,0.0,0.875,0.09017851499999999,0.005,0.62069,0.42071380999999997
27,0.9354929749999998,0.0,0.875,0.091240575,0.005,0.65517,0.41616988
28,0.9354929749999998,0.0,0.875,0.10942278999999999,0.005,1.0,0.3959726549999999
29,0.9354929749999998,0.0,0.875,0.161934535,0.005,0.72414,0.34923429
30,0.9354929749999998,0.0,0.875,0.2559697,0.005,0.68966,0.302442075
31,0.9354929749999998,0.0,0.875,0.38566022999999994,0.005,0.72414,0.230460525
32,0.9354929749999998,0.0,0.875,0.42637268000000006,0.005,0.68966,0.19606624499999997
33,0.9354929749999998,0.0,0.875,0.413679715,0.005,0.72414,0.19782225
34,0.9354929749999998,0.0,0.875,0.442618675,0.005,0.72414,0.177157945
35,0.9354929749999998,0.0,0.875,0.455428135,0.005,0.75862,0.17215627500000003
36,0.9354929749999998,0.0,0.875,0.45199142999999997,0.005,0.68966,0.16752836000000002
37,0.9354929749999998,0.0,0.875,0.45193107,0.005,0.72414,0.15962555
38,0.9367040882,0.0,0.875,0.44995935000000004,0.005,0.72414,0.156585955
39,0.9367040882,0.0,0.875,0.460440715,0.005,0.68966,0.15473271
40,0.9375061119999999,0.0,0.875,0.42835569500000004,0.005,0.72414,0.16339626999999998
41,0.9384830022999999,0.0,0.875,0.42278175999999995,0.005,0.72414,0.15853367000000002
42,0.9384830022999999,0.0,0.875,0.415469965,0.005,0.72414,0.16191419
43,0.9384830022999999,0.0,0.875,0.40083297500000004,0.005,0.7931,0.17574571500000002
44,0.9384830022999999,0.0,0.875,0.373689535,0.005,0.68966,0.21929818999999998
45,0.9384830022999999,0.0,0.875,0.37147633,0.005,0.68966,0.222367125
46,0.9384830022999999,0.0,0.875,0.36581934,0.005,0.62069,0.230728965
47,0.9385257605999999,0.0,0.875,0.36198928999999996,0.005,0.72414,0.234297415
48,0.9385257605999999,0.0,0.875,0.3594671,0.005,0.68966,0.233048705
49,0.9385933463,0.0,0.875,0.35678156,0.005,0.65517,0.227162935
50,0.9385933463,0.0,0.875,0.36371845499999994,0.005,0.72414,0.22792070499999997
51,0.9385933463,0.0,0.875,0.36507103999999996,0.005,0.68966,0.22722915999999999
52,0.9385933463,0.0,0.875,0.365501845,0.005,0.82759,0.228399105
53,0.9386002428,0.0,0.875,0.36042219,0.005,0.7931,0.22886213500000002
Best Pareto front
Generation,Hypervolume,error,gate fit
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.75,0.005
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.25,0.03448
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.125,0.06897
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,0.0,0.41379
55,0.9386002428,4e-05,0.27586
Best fitness
Objective,Generation,Error
0,4,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
12.722037037037037,16.36
