Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8668255573,0.08623,0.875,0.469714134,0.005,0.82759,0.14714749400000002
1,0.888090859,0.05716,0.875,0.6138899059999999,0.005,0.89655,0.06112805999999999
2,0.8925163312,0.05406,0.875,0.665521492,0.005,0.82759,0.050669154
3,0.8942905512,0.05246,0.875,0.6620704180000001,0.005,0.82759,0.053659962
4,0.9121812598,0.01501,0.875,0.658535462,0.005,0.86207,0.04980354199999999
5,0.9205761376,0.00531,0.875,0.6669031799999999,0.005,0.82759,0.054353356
6,0.9274490467000001,0.0004,0.875,0.6392500180000001,0.005,0.82759,0.076741948
7,0.9317789379999999,0.00014,0.875,0.638580624,0.005,0.82759,0.075179096
8,0.9387984474000001,3e-05,0.875,0.620250694,0.005,0.86207,0.08816188
9,0.9388346575000001,0.0,0.875,0.6056690459999999,0.005,0.82759,0.096358214
10,0.9408953815,0.0,0.875,0.5991161679999999,0.005,0.82759,0.09536675
11,0.9415689711999999,0.0,0.875,0.428316362,0.005,0.82759,0.19085692200000004
12,0.9415689711999999,0.0,0.875,0.27634999200000004,0.005,0.7931,0.261655172
13,0.9415689711999999,0.0,0.875,0.137838026,0.005,0.7931,0.31969051000000004
14,0.9415689711999999,0.0,0.875,0.07768343,0.005,0.7931,0.34042544
15,0.9415689711999999,0.0,0.875,0.07215236200000001,0.005,0.68966,0.335893984
16,0.9415689711999999,0.0,0.75,0.07312797400000001,0.005,0.72414,0.338658346
17,0.9415689711999999,0.0,0.75,0.07023602799999999,0.005,0.68966,0.33916867600000006
18,0.9415689711999999,0.0,0.75,0.072323284,0.005,0.65517,0.33856175000000005
19,0.9415689711999999,0.0,0.75,0.07222745800000001,0.005,0.65517,0.338941126
20,0.9415689711999999,0.0,0.75,0.06969624,0.005,0.65517,0.33896178600000004
21,0.9415689711999999,0.0,0.75,0.07224838000000001,0.005,0.65517,0.340161792
Best Pareto front
Generation,Hypervolume,error,gate fit
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.75,0.005
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.25,0.03448
13,0.9415689711999999,0.125,0.06897
13,0.9415689711999999,0.125,0.06897
13,0.9415689711999999,0.125,0.06897
13,0.9415689711999999,0.125,0.06897
13,0.9415689711999999,0.125,0.06897
13,0.9415689711999999,0.01953,0.24138
13,0.9415689711999999,0.01953,0.24138
13,0.9415689711999999,0.0,0.31034
Best fitness
Objective,Generation,Error
0,11,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
26.55454545454545,39.467727272727274
