Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.8178190009,0.12583,0.875,0.42008407,0.005,0.86207,0.17115170000000002
1,0.8232299947999999,0.12583,0.875,0.54824066,0.005,0.72414,0.08713144999999999
2,0.8232299947999999,0.12583,0.875,0.6371143299999998,0.005,0.62069,0.05091656000000001
3,0.8350878217,0.12507,0.875,0.6537064599999999,0.005,0.62069,0.049662120000000004
4,0.8393954080999999,0.12507,0.875,0.65158592,0.005,0.65517,0.04680164999999999
5,0.8394364498,0.125,0.875,0.66918731,0.005,0.62069,0.040841670000000004
6,0.8394364498,0.125,0.875,0.66109798,0.005,0.58621,0.04266469
7,0.8394364498,0.125,0.875,0.65606359,0.005,0.58621,0.043091460000000005
8,0.8394364498,0.125,0.875,0.65695204,0.005,0.58621,0.03987002
9,0.8394364498,0.125,0.875,0.65871932,0.005,0.62069,0.038447810000000006
10,0.8394364498,0.125,0.875,0.63997564,0.005,0.51724,0.03975042
11,0.84376576,0.125,0.875,0.64274879,0.005,0.51724,0.039490269999999994
12,0.84376576,0.125,0.875,0.62073501,0.005,0.65517,0.04182528
13,0.84376576,0.125,0.875,0.6302494300000001,0.005,0.55172,0.04561955
14,0.84807576,0.125,0.875,0.63904609,0.005,0.65517,0.04041379
15,0.84807576,0.125,0.875,0.6551420499999999,0.005,0.58621,0.03850533
16,0.84807576,0.125,0.875,0.65233938,0.005,0.44828,0.03611599
17,0.84807576,0.125,0.875,0.6500768499999999,0.005,0.65517,0.03966723
18,0.84807576,0.125,0.875,0.6488599500000001,0.005,0.51724,0.03704047
19,0.84807576,0.125,0.875,0.64328708,0.005,0.62069,0.03874630999999999
20,0.84807576,0.125,0.875,0.65412625,0.005,0.51724,0.03121452
21,0.84807576,0.125,0.875,0.63583185,0.005,0.55172,0.03523147000000001
22,0.84807576,0.125,0.875,0.63739039,0.005,0.41379,0.03376762
23,0.84807576,0.125,0.875,0.64189788,0.005,0.58621,0.035600230000000004
24,0.84807576,0.125,0.875,0.6538747,0.005,0.55172,0.03619585
25,0.84807576,0.125,0.875,0.65149633,0.005,0.62069,0.03589610000000001
26,0.84807576,0.125,0.875,0.64247136,0.005,0.37931,0.035778120000000004
27,0.84807576,0.125,0.875,0.64933972,0.005,0.51724,0.03555732
28,0.84807576,0.125,0.875,0.6394203700000001,0.005,0.34483,0.03818586
29,0.84807576,0.125,0.875,0.65646938,0.005,0.48276,0.03237185
30,0.84807576,0.125,0.875,0.65422793,0.005,0.51724,0.03352778000000001
31,0.84807576,0.125,0.875,0.65289039,0.005,0.58621,0.03501109
32,0.84807576,0.125,0.875,0.63958923,0.005,0.37931,0.03346728
33,0.84807576,0.125,0.875,0.6381413600000001,0.005,0.34483,0.03365878
34,0.84807576,0.125,0.875,0.63756514,0.005,0.41379,0.03354675
35,0.84807576,0.125,0.875,0.6346355499999999,0.005,0.41379,0.03576716
36,0.84807576,0.125,0.875,0.6472102599999999,0.005,0.55172,0.03585925
37,0.84807576,0.125,0.875,0.63695099,0.005,0.37931,0.035560320000000006
