Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.5394929094,0.34828,1.0,0.8473656159999998,0.06897,0.93103,0.285648114
1,0.5741090212000001,0.32125,1.0,0.8260268,0.06897,0.96552,0.25934491600000004
2,0.5833417404,0.30826,1.0,0.80732042,0.06897,0.89655,0.23388319200000002
3,0.5874977444,0.30314,1.0,0.801589682,0.06897,0.86207,0.205669978
4,0.5874977444,0.30314,1.0,0.8068874659999999,0.06897,0.86207,0.185939516
5,0.5874977444,0.30314,1.0,0.81844616,0.06897,0.82759,0.167912456
6,0.591402569,0.29648,1.0,0.824061608,0.06897,0.86207,0.16482977799999998
7,0.5915673901999999,0.29648,1.0,0.824914446,0.06897,0.89655,0.16519524200000002
8,0.6179502823999999,0.26132,1.0,0.8237183419999999,0.06897,0.82759,0.16481593200000003
9,0.6179502823999999,0.26132,1.0,0.8236972979999999,0.06897,0.82759,0.163409112
10,0.6179502823999999,0.26132,1.0,0.8249494940000001,0.06897,0.86207,0.16450564
11,0.6179502823999999,0.26132,1.0,0.8259572599999999,0.06897,0.86207,0.16491249800000002
12,0.6179937368,0.26126,1.0,0.824632114,0.06897,0.82759,0.16511937000000002
13,0.6179937368,0.26126,1.0,0.8257604319999998,0.06897,0.86207,0.16530556400000002
14,0.6179937368,0.26126,1.0,0.82529699,0.06897,0.82759,0.16581592400000003
15,0.6179937368,0.26126,1.0,0.8255311859999998,0.06897,0.86207,0.16471249200000002
16,0.6179937368,0.26126,1.0,0.8244783299999999,0.06897,0.82759,0.16465730200000003
17,0.6182158202,0.26126,1.0,0.8246398039999998,0.06897,0.82759,0.165691792
18,0.6182158202,0.26126,1.0,0.8255752959999998,0.06897,0.86207,0.16580209199999998
19,0.6182158202,0.26126,1.0,0.8243922039999998,0.06897,0.82759,0.16525039200000002
20,0.6182158202,0.26126,1.0,0.82535796,0.06897,0.82759,0.16653314600000002
21,0.6182158202,0.26126,1.0,0.8245138499999999,0.06897,0.82759,0.165415902
22,0.6182158202,0.26126,1.0,0.8253376999999998,0.06897,0.86207,0.16584347600000002
23,0.6182158202,0.26126,1.0,0.824757214,0.06897,0.86207,0.165512464
Best Pareto front
Generation,Hypervolume,error,gate fit
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.82322,0.06897
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.46715,0.2069
19,0.6182158202,0.32125,0.24138
19,0.6182158202,0.32125,0.24138
19,0.6182158202,0.32125,0.24138
19,0.6182158202,0.76903,0.10345
19,0.6182158202,0.76903,0.10345
19,0.6182158202,0.76903,0.10345
19,0.6182158202,0.26126,0.27586
19,0.6182158202,0.26126,0.27586
19,0.6182158202,0.60472,0.13793
Best fitness
Objective,Generation,Error
0,14,0.26126
1,2,0.06897
Avg simulation runtime,Avg generation runtime
18.449166666666667,36.503750000000004
