Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9078394971,-0.0,0.875,0.49774789,0.005,0.96552,0.15340634
1,0.9086427692000001,-0.0,0.875,0.49326924200000005,0.005,0.72414,0.162225198
2,0.9086427692000001,-0.0,0.875,0.306272214,0.005,0.65517,0.282721612
3,0.9086427692000001,-0.0,0.875,0.159163438,0.005,0.58621,0.361180386
4,0.9101336844000001,-0.0,0.875,0.18264601600000002,0.005,0.55172,0.33902243400000004
5,0.9213645100000001,-0.0,0.875,0.183558312,0.005,0.58621,0.339100104
6,0.9213645100000001,-0.0,0.875,0.12209138600000001,0.005,0.58621,0.375315948
7,0.9213645100000001,-0.0,0.875,0.117824452,0.005,0.58621,0.379042502
8,0.9299838203999999,-0.0,0.875,0.12000366199999998,0.005,0.62069,0.39149423
9,0.9342947255,-0.0,0.875,0.134180858,0.005,0.65517,0.3761156480000001
10,0.9386050703,0.0,0.875,0.28323993399999997,0.005,0.58621,0.280649702
11,0.9429154152,0.0,0.875,0.17569415,0.005,0.65517,0.333468836
12,0.9429154152,0.0,0.875,0.15881713,0.005,0.62069,0.342079922
13,0.94291576,-0.0,0.875,0.21600588599999995,0.005,0.55172,0.265592432
14,0.94291576,-0.0,0.875,0.21976987600000003,0.005,0.58621,0.245727656
15,0.94291576,-0.0,0.875,0.202389692,0.005,0.58621,0.23925256
16,0.94291576,-0.0,0.875,0.25950343000000003,0.005,0.58621,0.202599582
17,0.94291576,-0.0,0.875,0.250520258,0.005,0.58621,0.20236202199999997
18,0.94291576,-0.0,0.875,0.206144956,0.005,0.58621,0.264418452
19,0.94291576,-0.0,0.875,0.25647624,0.005,0.58621,0.25544424
20,0.94291576,-0.0,0.875,0.27245466399999996,0.005,0.58621,0.262031514
Best Pareto front
Generation,Hypervolume,error,gate fit
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.75,0.005
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.25,0.03448
15,0.94291576,0.125,0.06897
15,0.94291576,0.125,0.06897
15,0.94291576,0.125,0.06897
15,0.94291576,0.125,0.06897
15,0.94291576,0.125,0.06897
15,0.94291576,-0.0,0.24138
15,0.94291576,0.0,0.24138
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
29.413333333333338,42.065238095238094
