Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9298285271000001,-0.0,0.875,0.48311347800000004,0.005,1.0,0.162459146
1,0.9320752476,-0.0,0.875,0.38936513600000006,0.005,0.72414,0.26430860600000006
2,0.9320780063999999,0.0,0.875,0.16433371199999997,0.005,0.72414,0.384281772
3,0.9375175712,0.0,0.875,0.15778393000000002,0.005,0.72414,0.45685231000000004
4,0.9375175712,0.0,0.875,0.175984134,0.005,0.72414,0.369294318
5,0.9375175712,0.0,0.875,0.135053752,0.005,0.72414,0.34856001999999997
6,0.9418272263999998,0.0,0.875,0.11030451200000002,0.005,0.72414,0.344101512
7,0.9418272263999998,0.0,0.875,0.104021362,0.005,0.72414,0.33778393800000006
8,0.9418272263999998,0.0,0.875,0.101399532,0.005,0.72414,0.33946562199999997
9,0.9418272263999998,0.0,0.875,0.09442312,0.005,0.68966,0.340544222
10,0.9418272263999998,0.0,0.875,0.098652012,0.005,0.68966,0.341029836
11,0.9418272263999998,0.0,0.875,0.098694732,0.005,0.68966,0.3403934960000001
12,0.9418272263999998,0.0,0.875,0.09667788399999999,0.005,0.68966,0.340400234
13,0.9418272263999998,0.0,0.875,0.095964434,0.005,0.72414,0.34072269
14,0.9418272263999998,0.0,0.875,0.10195934999999999,0.005,0.72414,0.33914130600000003
15,0.9418272263999998,0.0,0.875,0.096103568,0.005,0.68966,0.339043824
16,0.9418272263999998,0.0,0.875,0.095894198,0.005,0.72414,0.34136866
17,0.9418272263999998,0.0,0.875,0.09785001199999999,0.005,0.72414,0.339616976
18,0.9418272263999998,0.0,0.875,0.09981293600000002,0.005,0.72414,0.34077166400000003
19,0.9418272263999998,0.0,0.875,0.09871676600000001,0.005,0.68966,0.33813937800000005
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.75,0.005
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.25,0.03448
8,0.9418272263999998,0.0,0.31034
8,0.9418272263999998,0.0,0.31034
8,0.9418272263999998,0.15655,0.06897
8,0.9418272263999998,0.125,0.10345
8,0.9418272263999998,0.125,0.10345
8,0.9418272263999998,1e-05,0.24138
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
31.927,44.650000000000006
