Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.5125462985,0.39704,1.0,0.8460022119999999,0.06897,0.96552,0.273427402
1,0.5126259472999999,0.39704,1.0,0.8253206000000002,0.06897,0.86207,0.25098627799999995
2,0.5270833262000002,0.37993,1.0,0.806372402,0.06897,0.93103,0.22711769799999998
3,0.5270833262000002,0.37993,1.0,0.8043150199999999,0.06897,0.86207,0.193408028
4,0.5277741608000001,0.3785,1.0,0.8129146399999999,0.06897,0.86207,0.17427762400000002
5,0.5742069409,0.32125,1.0,0.8273577099999999,0.06897,0.7931,0.15800920599999999
6,0.5742069409,0.32125,1.0,0.8280943159999999,0.06897,1.06897,0.157416148
7,0.5742069409,0.32125,1.0,0.82817804,0.06897,0.7931,0.157450624
8,0.5742462595000001,0.32125,1.0,0.8291023479999999,0.06897,0.82759,0.15684376200000003
9,0.5742462595000001,0.32125,1.0,0.8282069619999999,0.06897,0.7931,0.156988564
10,0.5742462595000001,0.32125,1.0,0.8276246379999999,0.06897,0.7931,0.156802332
11,0.5742466043000001,0.32125,1.0,0.827739732,0.06897,0.86207,0.15720926799999999
12,0.5742466043000001,0.32125,1.0,0.8282671319999999,0.06897,0.7931,0.156726482
13,0.5742466043000001,0.32125,1.0,0.8283109479999999,0.06897,0.86207,0.15718169399999998
14,0.5742466043000001,0.32125,1.0,0.8284050599999999,0.06897,0.82759,0.15727131
15,0.5742466043000001,0.32125,1.0,0.82760006,0.06897,0.75862,0.156988548
16,0.5742466043000001,0.32125,1.0,0.828412846,0.06897,0.75862,0.158147164
17,0.5742466043000001,0.32125,1.0,0.8285005959999998,0.06897,0.75862,0.15800925999999998
18,0.5742466043000001,0.32125,1.0,0.827668678,0.06897,0.96552,0.15778167
19,0.5744938259000001,0.32125,1.0,0.8277008239999999,0.06897,0.75862,0.157726488
20,0.5744938259000001,0.32125,1.0,0.828043444,0.06897,0.7931,0.15860925
Best Pareto front
Generation,Hypervolume,error,gate fit
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.82322,0.06897
21,0.5744938259000001,0.46715,0.2069
21,0.5744938259000001,0.46715,0.2069
21,0.5744938259000001,0.46715,0.2069
21,0.5744938259000001,0.46715,0.2069
21,0.5744938259000001,0.46715,0.2069
21,0.5744938259000001,0.32125,0.24138
21,0.5744938259000001,0.32125,0.24138
21,0.5744938259000001,0.60783,0.17241
21,0.5744938259000001,0.60783,0.17241
21,0.5744938259000001,0.76903,0.10345
21,0.5744938259000001,0.76903,0.10345
21,0.5744938259000001,0.60958,0.13793
Best fitness
Objective,Generation,Error
0,7,0.32125
1,2,0.06897
Avg simulation runtime,Avg generation runtime
20.167142857142856,41.49000000000001
