Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.864478106,0.08902,0.875,0.4704230999999999,0.005,0.75862,0.145594925
1,0.8688926276,0.0807,0.875,0.558379955,0.005,0.75862,0.063312285
2,0.8937398301999999,0.03043,0.875,0.55157368,0.005,0.75862,0.058765935
3,0.8970006037999998,0.03043,0.875,0.5246374149999999,0.005,0.82759,0.068908025
4,0.9073579507999998,0.00898,0.875,0.5419150050000001,0.005,0.75862,0.07914866
5,0.9149065212,0.0001,0.875,0.48727046,0.005,0.7931,0.095277915
6,0.9210968685999998,5e-05,0.875,0.478468295,0.005,0.75862,0.135427795
7,0.92133347,5e-05,0.875,0.453185295,0.005,0.75862,0.16622922
8,0.9256631296999998,1e-05,0.875,0.33992922,0.005,0.82759,0.254448755
9,0.9299789928,-0.0,0.875,0.28147184,0.005,0.72414,0.296121445
10,0.9342940355,0.0,0.875,0.29050211000000004,0.005,0.75862,0.28903109500000007
11,0.9342957599999999,0.0,0.875,0.31253766,0.005,0.75862,0.27587299000000004
12,0.9342957599999999,0.0,0.875,0.29109883999999997,0.005,0.89655,0.30919504000000003
13,0.9342957599999999,0.0,0.875,0.23001302000000004,0.005,0.72414,0.30535803000000006
14,0.9342957599999999,0.0,0.875,0.252539585,0.005,0.75862,0.29923031000000005
15,0.9342957599999999,0.0,0.875,0.26278392,0.005,0.68966,0.291579695
16,0.9342957599999999,0.0,0.75,0.30899962,0.005,0.7931,0.26665772000000004
17,0.9342957599999999,0.0,0.875,0.27537236000000004,0.005,0.75862,0.27746434999999997
18,0.9342957599999999,0.0,0.875,0.30108328,0.005,0.7931,0.27362012
19,0.9342957599999999,0.0,0.875,0.303243185,0.005,0.7931,0.25877755
20,0.9342957599999999,0.0,0.875,0.32552634999999996,0.005,0.82759,0.24866799500000003
21,0.9342957599999999,0.0,0.875,0.30742678,0.005,0.75862,0.26367455
22,0.9342957599999999,0.0,0.875,0.314873405,0.005,0.7931,0.25811076000000005
23,0.9342957599999999,0.0,0.875,0.256596115,0.005,0.82759,0.30110044
24,0.9342957599999999,0.0,0.875,0.28303358500000003,0.005,0.82759,0.27798498
25,0.9342957599999999,0.0,0.875,0.299157105,0.005,0.82759,0.269083485
26,0.9342957599999999,0.0,0.875,0.302403545,0.005,0.86207,0.26765225499999995
27,0.9342957599999999,0.0,0.875,0.25007259000000004,0.005,0.68966,0.282148235
28,0.9342957599999999,0.0,0.875,0.29985854,0.005,0.82759,0.24918498500000003
29,0.9342957599999999,0.0,0.875,0.28469791499999997,0.005,0.68966,0.26242755999999995
30,0.9342957599999999,0.0,0.875,0.294818895,0.005,0.75862,0.25704147
31,0.9342957599999999,0.0,0.875,0.25364111500000003,0.005,0.65517,0.266093885
32,0.9342957599999999,0.0,0.875,0.27607839,0.005,0.7931,0.24706432
33,0.9342957599999999,0.0,0.875,0.30299005,0.005,0.82759,0.24348061500000007
34,0.9342957599999999,0.0,0.875,0.29839806999999996,0.005,0.86207,0.24792563500000003
35,0.9342957599999999,0.0,0.875,0.261792835,0.005,0.7931,0.269405215
36,0.9342957599999999,0.0,0.875,0.311672835,0.005,0.82759,0.26330657500000004
37,0.9342957599999999,0.0,0.875,0.31504794500000005,0.005,0.68966,0.259423575
38,0.9342957599999999,0.0,0.875,0.39334009499999995,0.005,0.82759,0.215725165
39,0.9342957599999999,0.0,0.875,0.33806785500000003,0.005,0.75862,0.22202618999999998
40,0.9342957599999999,0.0,0.875,0.33828827,0.005,0.86207,0.21212914
41,0.9354760104,0.0,0.875,0.327294555,0.005,0.82759,0.210946055
42,0.9354760104,0.0,0.875,0.32218515000000003,0.005,0.82759,0.23081822
43,0.9354760104,0.0,0.875,0.31903166,0.005,0.82759,0.22100815999999998
44,0.9354760104,0.0,0.875,0.306970875,0.005,0.82759,0.22634661499999997
45,0.9354760104,0.0,0.875,0.33609748,0.005,0.82759,0.21281724000000002
46,0.9354760104,0.0,0.875,0.30313802500000003,0.005,0.82759,0.23994679500000002
47,0.9354760104,0.0,0.75,0.34067850999999993,0.005,0.82759,0.22387388499999997
48,0.9354760104,0.0,0.75,0.342530395,0.005,0.82759,0.22368134500000003
49,0.9354760104,0.0,0.875,0.33794676500000004,0.005,0.82759,0.23611502499999998
50,0.9354760104,0.0,0.875,0.327763335,0.005,0.82759,0.24365911
51,0.9354760104,0.0,0.875,0.33727000500000004,0.005,0.82759,0.23246956
52,0.9354760104,0.0,0.875,0.34423099,0.005,0.82759,0.23568356
53,0.9354760104,0.0,0.875,0.304477805,0.005,0.82759,0.255663505
54,0.9354760104,0.0,0.875,0.25595311,0.005,0.82759,0.27291042
55,0.9354760104,0.0,0.875,0.25919890500000003,0.005,0.82759,0.27021033499999997
56,0.9354760104,0.0,0.875,0.26920286,0.005,0.82759,0.26921956
Best Pareto front
Generation,Hypervolume,error,gate fit
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.25,0.03448
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.75,0.005
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.125,0.06897
43,0.9354760104,0.0,0.31034
43,0.9354760104,0.0,0.31034
43,0.9354760104,0.0,0.31034
43,0.9354760104,0.0,0.31034
43,0.9354760104,0.0,0.31034
43,0.9354760104,0.09077,0.27586
Best fitness
Objective,Generation,Error
0,11,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
12.674210526315788,15.636315789473684
