Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.452728113,0.5,1.0,0.832970218,0.06897,1.31034,0.287014002
1,0.452728113,0.5,1.0,0.8014617179999999,0.06897,1.24138,0.23640791800000002
2,0.452728113,0.5,1.0,0.789601836,0.06897,1.24138,0.196332794
3,0.452728113,0.5,1.0,0.787159422,0.06897,1.34483,0.18176771
4,0.452728113,0.5,1.0,0.786923332,0.06897,1.24138,0.177540122
5,0.452728113,0.5,1.0,0.787577202,0.06897,1.24138,0.17780220800000002
6,0.452728113,0.5,1.0,0.78567361,0.06897,1.24138,0.1787746
7,0.452728113,0.5,1.0,0.7871722219999999,0.06897,1.24138,0.178602242
8,0.452728113,0.5,1.0,0.7882397520000001,0.06897,1.24138,0.179747068
9,0.452728113,0.5,1.0,0.787722358,0.06897,1.24138,0.17943666000000003
10,0.452728113,0.5,1.0,0.786974662,0.06897,1.24138,0.179140134
11,0.452728113,0.5,1.0,0.789387948,0.06897,1.24138,0.179912552
12,0.452728113,0.5,1.0,0.7880892199999999,0.06897,1.34483,0.178940124
13,0.452728113,0.5,1.0,0.787320406,0.06897,1.24138,0.178719448
14,0.452728113,0.5,1.0,0.787435086,0.06897,1.24138,0.178278072
15,0.452728113,0.5,1.0,0.788300338,0.06897,1.24138,0.17966429200000003
16,0.452728113,0.5,1.0,0.787357618,0.06897,1.24138,0.18059528600000002
17,0.452728113,0.5,1.0,0.78778906,0.06897,1.24138,0.17883670200000001
18,0.452728113,0.5,1.0,0.7883855879999999,0.06897,1.24138,0.17982976600000003
19,0.452728113,0.5,1.0,0.787345618,0.06897,1.24138,0.179326336
20,0.452728113,0.5,1.0,0.78759797,0.06897,1.24138,0.18144352400000002
21,0.452728113,0.5,1.0,0.788410002,0.06897,1.24138,0.18002288800000002
22,0.452728113,0.5,1.0,0.7879741480000001,0.06897,1.24138,0.18062284600000003
23,0.452728113,0.5,1.0,0.787867968,0.06897,1.24138,0.179271162
24,0.452728113,0.5,1.0,0.788334756,0.06897,1.24138,0.17926421000000003
25,0.452728113,0.5,1.0,0.787922542,0.06897,1.24138,0.179636654
Best Pareto front
Generation,Hypervolume,error,gate fit
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.75,0.06897
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.625,0.10345
2,0.452728113,0.5,0.13793
2,0.452728113,0.5,0.13793
Best fitness
Objective,Generation,Error
0,2,0.5
1,2,0.06897
Avg simulation runtime,Avg generation runtime
21.346153846153843,34.01846153846154
