Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.903468744,0.02055,0.875,0.5104981759999999,0.005,0.93103,0.139210948
1,0.9077787439999999,0.02055,0.875,0.6181771559999999,0.005,0.7931,0.044735062
2,0.9126971542999999,0.01615,0.875,0.583716724,0.005,0.75862,0.063594264
3,0.9249027004,0.0002,0.875,0.565698998,0.005,0.72414,0.069877536
4,0.9299088767999999,0.0002,0.875,0.563798668,0.005,0.75862,0.079906642
5,0.9300330347999999,-0.0,0.875,0.5118341000000001,0.005,0.7931,0.11889556999999999
6,0.9342054172999998,-0.0,0.875,0.35471726600000003,0.005,0.75862,0.22512435
7,0.9342054172999998,-0.0,0.875,0.27090138799999997,0.005,0.72414,0.299926604
8,0.9342054172999998,-0.0,0.875,0.170922382,0.005,0.75862,0.348668206
9,0.9342054172999998,-0.0,0.875,0.17584166,0.005,0.68966,0.346413658
10,0.941543096,-0.0,0.875,0.152673326,0.005,0.72414,0.3452369019999999
11,0.9421830599999999,-0.0,0.875,0.12450817,0.005,0.75862,0.35058581199999994
12,0.9427530144,-0.0,0.875,0.25675991600000003,0.005,0.72414,0.32123677799999995
13,0.9440956655999999,-0.0,0.875,0.276904378,0.005,0.72414,0.265909568
14,0.9440956655999999,-0.0,0.875,0.359742358,0.005,0.72414,0.192526428
15,0.9440956655999999,-0.0,0.875,0.29480039399999997,0.005,0.68966,0.19930402399999997
16,0.9440956655999999,-0.0,0.875,0.35935777199999996,0.005,0.68966,0.17408986399999998
17,0.9440956655999999,-0.0,0.875,0.34345340799999996,0.005,0.68966,0.171872014
18,0.9440956655999999,-0.0,0.875,0.40840203999999997,0.005,0.68966,0.14783322599999998
19,0.9440956655999999,-0.0,0.875,0.272658614,0.005,0.68966,0.20604964399999998
20,0.9440956655999999,-0.0,0.875,0.20577196000000003,0.005,0.68966,0.22060472199999995
Best Pareto front
Generation,Hypervolume,error,gate fit
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.75,0.005
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.25,0.03448
15,0.9440956655999999,0.125,0.06897
15,0.9440956655999999,0.09078,0.2069
15,0.9440956655999999,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,7,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
29.90952380952381,41.67476190476191
