Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.5595321984999999,0.31716,1.0,0.8490355279999999,0.06897,0.93103,0.271013664
1,0.5682026806999999,0.31716,1.0,0.829606632,0.06897,0.93103,0.25337953
2,0.5823262958000001,0.30598,1.0,0.810982308,0.06897,0.93103,0.22943510800000003
3,0.5940152622,0.28676,1.0,0.805255756,0.06897,0.93103,0.198284118
4,0.594062155,0.28676,1.0,0.808500822,0.06897,0.93103,0.177450304
5,0.5943594583,0.28676,1.0,0.81663792,0.06897,0.93103,0.163622966
6,0.5968272969,0.28606,1.0,0.809564954,0.06897,0.93103,0.167416062
7,0.6018494879999999,0.27797,1.0,0.7962313599999999,0.06897,0.93103,0.173016016
8,0.6030724443,0.276,1.0,0.777012008,0.06897,0.93103,0.18509863000000001
9,0.6030724443,0.276,1.0,0.7513805,0.06897,0.93103,0.199174332
10,0.6033849237,0.276,1.0,0.7163836779999999,0.06897,0.93103,0.21558107800000004
11,0.6035411381,0.276,1.0,0.702465604,0.06897,0.93103,0.22412579000000005
12,0.6045311570999999,0.276,1.0,0.7016478500000001,0.06897,0.93103,0.22404303
13,0.6045311570999999,0.276,1.0,0.6982721279999999,0.06897,0.93103,0.224553424
14,0.6053653348,0.27529,1.0,0.6977461880000001,0.06897,0.93103,0.225056838
15,0.6053653348,0.27529,1.0,0.699288652,0.06897,0.93103,0.22467751600000002
16,0.6053653348,0.27529,1.0,0.69789795,0.06897,0.93103,0.22472579000000006
17,0.6053653348,0.27529,1.0,0.696566176,0.06897,0.93103,0.22589824
Best Pareto front
Generation,Hypervolume,error,gate fit
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.82322,0.06897
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.46715,0.2069
16,0.6053653348,0.32125,0.24138
16,0.6053653348,0.32125,0.24138
16,0.6053653348,0.32125,0.24138
16,0.6053653348,0.62533,0.13793
16,0.6053653348,0.62533,0.13793
16,0.6053653348,0.60794,0.17241
16,0.6053653348,0.30237,0.27586
16,0.6053653348,0.30237,0.27586
16,0.6053653348,0.76903,0.10345
16,0.6053653348,0.27529,0.34483
Best fitness
Objective,Generation,Error
0,16,0.27529
1,2,0.06897
Avg simulation runtime,Avg generation runtime
22.93,49.217777777777776
