Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.3959635411,0.52591,0.9418,0.83690342,0.05,1.0,0.426570035
1,0.49313280420000005,0.46715,0.98339,0.8061742550000001,0.05,1.0,0.42091746
2,0.49782225830000004,0.46715,1.0,0.7863260400000001,0.05,1.0,0.389127885
3,0.49782225830000004,0.46715,1.0,0.772100605,0.05,1.0,0.32631334000000006
4,0.49782225830000004,0.46715,0.87557,0.7530561299999999,0.05,1.0,0.284289235
5,0.4978531794,0.46715,0.84372,0.739044555,0.05,1.0,0.252341845
6,0.49825414960000003,0.46715,0.83668,0.7233647449999999,0.05,1.0,0.21238920000000003
7,0.4982879162,0.46715,0.82632,0.714983175,0.05,1.0,0.17760303499999996
8,0.5123786885999999,0.44924,0.81353,0.693248525,0.05,0.96552,0.165565245
9,0.5183670510999999,0.44132,0.78661,0.6898558699999999,0.05,0.96552,0.15397786
10,0.5185804822999999,0.44132,0.78297,0.648022475,0.05,0.96552,0.19014335999999998
11,0.5197645953,0.4411,0.76813,0.6258965499999999,0.05,0.96552,0.187150125
12,0.5654089044999999,0.38666,0.7422,0.6096614050000001,0.05,0.96552,0.15271309500000002
13,0.5654089044999999,0.38666,0.67497,0.59870392,0.05,0.96552,0.13652429000000002
14,0.5914951926,0.3564,0.66283,0.5849087550000001,0.05,0.7931,0.13501907
15,0.5917106926,0.3564,0.6519,0.57569319,0.05,0.7931,0.12674890000000003
16,0.5958660758,0.35138,0.64863,0.556749575,0.05,0.7931,0.12931800000000002
17,0.6515099173000001,0.28417,0.64321,0.5482757149999999,0.05,0.41379,0.122801545
18,0.6864580234000001,0.24339,0.63851,0.5535337450000001,0.05,0.41379,0.10837499500000002
19,0.6866153346,0.24339,0.63352,0.5520074300000001,0.05,0.51724,0.10258077
20,0.6891689234,0.24339,0.63012,0.555463855,0.05,0.34483,0.08909211500000001
21,0.6891689234,0.24339,0.6259,0.570849505,0.05,0.24138,0.07458533
22,0.7254217454,0.19959,0.62504,0.590221835,0.05,0.17241,0.06246047000000002
23,0.7254217454,0.19959,0.62502,0.581824435,0.05,0.17241,0.06555705
24,0.7254217454,0.19959,0.62502,0.56150618,0.05,0.17241,0.074185465
25,0.7254217454,0.19959,0.62502,0.526823775,0.05,0.17241,0.08856041
26,0.7266157878,0.19959,0.625,0.48364137000000007,0.05,0.24138,0.10681293500000001
27,0.7266427252000001,0.19959,0.61901,0.4754329900000001,0.05,0.31034,0.103376145
28,0.7266427252000001,0.19959,0.61694,0.44104008000000006,0.05,0.31034,0.11483407500000001
29,0.7456713183,0.1766,0.60927,0.4615039100000001,0.05,0.17241,0.10556527000000003
30,0.7456713183,0.1766,0.60561,0.4669556600000001,0.05,0.17241,0.10346551000000002
31,0.7456713183,0.1766,0.60561,0.46680294500000014,0.05,0.17241,0.10348102000000003
32,0.7456713183,0.1766,0.60561,0.4667299950000001,0.05,0.17241,0.10349826000000004
33,0.7456713183,0.1766,0.60561,0.4665847200000001,0.05,0.17241,0.10353274000000003
34,0.7456713183,0.1766,0.60561,0.4664388200000001,0.05,0.17241,0.10356722000000002
35,0.7456713183,0.1766,0.60561,0.4664313800000001,0.05,0.17241,0.10354825000000002
36,0.7456713183,0.1766,0.60561,0.4663516150000001,0.05,0.17241,0.10354652000000003
37,0.7456713183,0.1766,0.60561,0.4662718500000001,0.05,0.17241,0.10354479000000004
38,0.7456713183,0.1766,0.60561,0.4661914600000001,0.05,0.17241,0.10354306000000002
39,0.7456713183,0.1766,0.60561,0.4660381200000001,0.05,0.17241,0.10355857000000003
40,0.7456713183,0.1766,0.60561,0.4657326900000001,0.05,0.17241,0.10358959000000002
41,0.7456713183,0.1766,0.60561,0.4652745450000001,0.05,0.17241,0.10363612000000004
42,0.7456713183,0.1766,0.60561,0.4648961650000001,0.05,0.17241,0.10368438000000003
43,0.7456713183,0.1766,0.60561,0.4637209300000001,0.05,0.17241,0.10393176500000004
44,0.7456713183,0.1766,0.60561,0.4628986600000001,0.05,0.17241,0.10406449500000002
45,0.7456713183,0.1766,0.60561,0.4619891850000001,0.05,0.17241,0.10417652500000002
46,0.7456713183,0.1766,0.60561,0.4617356350000001,0.05,0.17241,0.10413339500000003
47,0.7456713183,0.1766,0.60561,0.46044528000000007,0.05,0.17241,0.10429368500000002
48,0.7456713183,0.1766,0.60561,0.4596525700000001,0.05,0.17241,0.10429535500000003
49,0.7462078271,0.1766,0.60561,0.4676073300000001,0.05,0.17241,0.10222822500000003
50,0.7462078271,0.1766,0.60561,0.4672486300000001,0.05,0.17241,0.10210748500000003
51,0.7462078271,0.1766,0.60561,0.4659102900000001,0.05,0.17241,0.10213498500000003
52,0.7462078271,0.1766,0.60561,0.4665764100000001,0.05,0.17241,0.10157543000000002
53,0.7462078271,0.1766,0.60561,0.4652990100000001,0.05,0.17241,0.10137875000000003
54,0.7462078271,0.1766,0.60561,0.4653259050000001,0.05,0.17241,0.10059841500000001
55,0.7462078271,0.1766,0.60561,0.4639788800000001,0.05,0.17241,0.10003355000000001
56,0.7485771770999999,0.17375,0.60506,0.46612641500000007,0.05,0.17241,0.10364739500000003
57,0.7485771770999999,0.17375,0.60506,0.46549533500000007,0.05,0.17241,0.10378531500000003
58,0.7485771770999999,0.17375,0.60506,0.4644488300000001,0.05,0.17241,0.10399995000000004
59,0.7485771770999999,0.17375,0.60506,0.46322610500000005,0.05,0.17241,0.10424906500000003
60,0.7485771770999999,0.17375,0.60506,0.4614560150000001,0.05,0.17241,0.10460937500000003
