Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9278300505999999,-0.0,0.875,0.48824010199999995,0.005,0.93103,0.159505708
1,0.9326450217000001,-0.0,0.875,0.42183319199999997,0.005,0.93103,0.25093807
2,0.9363319681,-0.0,0.875,0.283972722,0.005,0.93103,0.34254828000000004
3,0.9363319681,-0.0,0.875,0.14729784999999998,0.005,0.93103,0.42524086400000005
4,0.9363319681,-0.0,0.875,0.11320793999999998,0.005,0.93103,0.42031226400000005
5,0.9363319681,-0.0,0.875,0.102089346,0.005,0.93103,0.40024106000000004
6,0.9363319681,-0.0,0.875,0.09326024599999999,0.005,0.93103,0.401474376
7,0.9363319681,-0.0,0.875,0.096637238,0.005,0.93103,0.40119276400000004
8,0.9363319681,-0.0,0.875,0.095741454,0.005,0.93103,0.401405538
9,0.9363319681,-0.0,0.875,0.097658342,0.005,0.93103,0.40182507400000006
10,0.9363319681,-0.0,0.875,0.096977774,0.005,0.93103,0.401881152
11,0.9363319681,-0.0,0.875,0.091625352,0.005,0.93103,0.40172634200000007
12,0.9363319681,-0.0,0.875,0.096009704,0.005,0.93103,0.40094150000000006
13,0.9363319681,-0.0,0.875,0.09523271600000001,0.005,0.93103,0.40154839200000003
14,0.9363319681,-0.0,0.875,0.09317401199999999,0.005,0.93103,0.40161142600000005
15,0.9363319681,-0.0,0.875,0.097961356,0.005,0.93103,0.401409448
16,0.9363319681,-0.0,0.875,0.097092832,0.005,0.93103,0.40100747200000003
17,0.9363319681,-0.0,0.875,0.100622024,0.005,0.93103,0.40123997200000006
18,0.9363319681,-0.0,0.875,0.095528788,0.005,0.93103,0.401932536
19,0.9363319681,-0.0,0.875,0.093763844,0.005,0.93103,0.40101041800000004
Best Pareto front
Generation,Hypervolume,error,gate fit
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.75,0.005
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.25,0.03448
4,0.9363319681,0.0149,0.34483
4,0.9363319681,0.0149,0.34483
4,0.9363319681,-0.0,0.41379
4,0.9363319681,-0.0,0.41379
4,0.9363319681,0.125,0.06897
4,0.9363319681,0.125,0.06897
4,0.9363319681,0.125,0.06897
4,0.9363319681,0.125,0.06897
4,0.9363319681,0.01807,0.27586
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
33.278999999999996,44.745
