Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9288111551999999,0.01859,0.875,0.470313754,0.005,0.86207,0.136738222
1,0.94291576,-0.0,0.875,0.528857364,0.005,0.75862,0.075745098
2,0.94291576,-0.0,0.875,0.49171794399999996,0.005,0.75862,0.06782205
3,0.94291576,-0.0,0.875,0.297139074,0.005,0.75862,0.15761010199999997
4,0.94291576,-0.0,0.875,0.13699841,0.005,0.68966,0.23151914799999995
5,0.94291576,-0.0,0.875,0.126277008,0.005,0.72414,0.23576198799999992
6,0.94291576,-0.0,0.875,0.12444466600000001,0.005,0.68966,0.23520649399999993
7,0.94291576,-0.0,0.875,0.11762664400000002,0.005,0.68966,0.23769061999999994
8,0.94291576,-0.0,0.875,0.141270896,0.005,0.68966,0.23336833599999995
9,0.94291576,-0.0,0.875,0.12246387400000001,0.005,0.7931,0.23585657599999996
10,0.94291576,-0.0,0.875,0.12159058399999999,0.005,0.68966,0.23723076799999995
11,0.94291576,-0.0,0.875,0.119768994,0.005,0.68966,0.237897758
12,0.94291576,-0.0,0.875,0.13794726399999999,0.005,0.68966,0.23274642799999992
13,0.94291576,-0.0,0.875,0.130625066,0.005,0.68966,0.23316149999999997
14,0.94291576,-0.0,0.875,0.146344704,0.005,0.68966,0.23024579199999995
15,0.94291576,-0.0,0.875,0.152940048,0.005,0.68966,0.22696957399999992
16,0.94291576,-0.0,0.875,0.13904968599999998,0.005,0.68966,0.23230804599999993
17,0.94291576,-0.0,0.875,0.143938174,0.005,0.68966,0.23164342999999996
18,0.94291576,-0.0,0.875,0.14305892199999998,0.005,0.68966,0.231285686
19,0.94291576,-0.0,0.875,0.153467692,0.005,0.68966,0.22801930999999995
20,0.94291576,-0.0,0.875,0.159197878,0.005,0.68966,0.22540325999999997
21,0.94291576,-0.0,0.875,0.14580719,0.005,0.68966,0.22990937799999991
22,0.94291576,-0.0,0.875,0.15233817800000002,0.005,0.68966,0.22817523599999995
23,0.94291576,-0.0,0.875,0.143421456,0.005,0.68966,0.22970635799999992
Best Pareto front
Generation,Hypervolume,error,gate fit
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.75,0.005
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.25,0.03448
3,0.94291576,0.125,0.06897
3,0.94291576,0.125,0.06897
3,0.94291576,0.125,0.06897
3,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,3,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
26.467916666666667,36.52041666666667
