Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.503451333,0.39964,1.0,0.8455974599999999,0.06897,0.82759,0.264120625
1,0.5214607873,0.38907,1.0,0.826822725,0.06897,0.89655,0.24122443000000005
2,0.5669796161,0.32622,1.0,0.8038918249999999,0.06897,0.82759,0.21108707
3,0.5672020673,0.32622,1.0,0.80607153,0.06897,0.82759,0.182691265
4,0.5676772342,0.32622,1.0,0.8181202949999997,0.06897,0.82759,0.15731271
5,0.5676861990000001,0.32622,1.0,0.8210245699999998,0.06897,0.82759,0.15172660999999998
6,0.5676861990000001,0.32622,1.0,0.8188334399999998,0.06897,0.86207,0.151692125
7,0.5676861990000001,0.32622,1.0,0.8203012999999999,0.06897,0.82759,0.152519755
8,0.5701703422,0.32279,1.0,0.8188156699999999,0.06897,0.82759,0.15191629
9,0.5701975814,0.32279,1.0,0.8202819299999997,0.06897,0.82759,0.150795535
10,0.5701975814,0.32279,1.0,0.8184723799999998,0.06897,0.82759,0.15234734
11,0.5701975814,0.32279,1.0,0.8204570249999998,0.06897,0.82759,0.151967955
12,0.571106048,0.32279,1.0,0.8207728149999998,0.06897,0.82759,0.152433495
13,0.5711515748,0.32279,1.0,0.8207630649999998,0.06897,0.82759,0.15341621500000002
14,0.5711515748,0.32279,1.0,0.8183699799999997,0.06897,0.86207,0.152485165
15,0.5711515748,0.32279,1.0,0.8191150249999999,0.06897,0.93103,0.15067491000000002
16,0.5711515748,0.32279,1.0,0.8197853399999999,0.06897,0.82759,0.15055425
17,0.5711515748,0.32279,1.0,0.8181760799999999,0.06897,0.86207,0.152036945
18,0.5711515748,0.32279,1.0,0.8175153499999999,0.06897,0.82759,0.1509335
19,0.5733984428,0.31969,1.0,0.8200024949999998,0.06897,0.82759,0.151709355
20,0.5733984428,0.31969,1.0,0.8220154649999997,0.06897,0.82759,0.14951970499999997
21,0.5733984428,0.31969,1.0,0.8188477099999998,0.06897,0.82759,0.150916235
22,0.5733984428,0.31969,1.0,0.8192116299999997,0.06897,0.82759,0.151726595
23,0.5734629204,0.31969,1.0,0.8185834949999998,0.06897,0.86207,0.15214039
24,0.5735167092,0.31969,1.0,0.8209290649999998,0.06897,0.82759,0.152433465
25,0.5735167092,0.31969,1.0,0.8212168149999998,0.06897,0.82759,0.15322659
