Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.94291576,-0.0,0.875,0.47978180400000003,0.005,0.89655,0.159520866
1,0.94291576,-0.0,0.875,0.39500952000000006,0.005,0.7931,0.12916717199999997
2,0.94291576,-0.0,0.875,0.13445176,0.005,0.55172,0.21712209399999996
3,0.94291576,-0.0,0.875,0.07346020799999999,0.005,0.55172,0.23735794399999996
4,0.94291576,-0.0,0.75,0.06867793,0.005,0.44828,0.23856721199999992
5,0.94291576,-0.0,0.75,0.07813802599999999,0.005,0.44828,0.23498704599999992
6,0.94291576,-0.0,0.75,0.07519178,0.005,0.44828,0.23741778399999994
7,0.94291576,-0.0,0.875,0.06674857199999999,0.005,0.48276,0.23975611399999994
8,0.94291576,-0.0,0.875,0.06335156,0.005,0.44828,0.23976402399999996
9,0.94291576,-0.0,0.875,0.06281085199999999,0.005,0.44828,0.23998079999999997
10,0.94291576,-0.0,0.75,0.06380557199999999,0.005,0.48276,0.24069685399999993
11,0.94291576,-0.0,0.875,0.06418543199999999,0.005,0.44828,0.24029994799999996
12,0.94291576,-0.0,0.875,0.064814562,0.005,0.44828,0.23998570799999996
13,0.94291576,-0.0,0.86962,0.06595147799999998,0.005,0.55172,0.24071470999999992
14,0.94291576,-0.0,0.875,0.06566887999999999,0.005,0.44828,0.24055912799999996
15,0.94291576,-0.0,0.875,0.06585595,0.005,0.44828,0.24019560199999995
16,0.94291576,-0.0,0.86962,0.065941906,0.005,0.51724,0.23967245799999992
17,0.94291576,-0.0,0.75,0.064792122,0.005,0.48276,0.24056400399999994
18,0.94291576,-0.0,0.75,0.064788388,0.005,0.44828,0.23991974199999996
19,0.94291576,-0.0,0.75,0.063688662,0.005,0.44828,0.24045847199999995
20,0.94291576,-0.0,0.875,0.064682774,0.005,0.44828,0.23979649799999997
21,0.94291576,-0.0,0.75,0.06366063799999999,0.005,0.51724,0.24020248199999997
22,0.94291576,-0.0,0.875,0.064393914,0.005,0.44828,0.24029114799999998
Best Pareto front
Generation,Hypervolume,error,gate fit
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.125,0.06897
2,0.94291576,0.125,0.06897
2,0.94291576,0.125,0.06897
2,0.94291576,0.125,0.06897
2,0.94291576,-0.0,0.24138
2,0.94291576,-0.0,0.24138
2,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
27.208695652173912,37.41043478260868
