Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.94291576,-0.0,0.875,0.492305782,0.005,0.86207,0.14754452999999998
1,0.94291576,-0.0,0.875,0.37639912,0.005,0.86207,0.16427315399999998
2,0.94291576,-0.0,0.875,0.14532318999999996,0.005,0.75862,0.24079455999999996
3,0.94291576,-0.0,0.875,0.10731818000000001,0.005,0.68966,0.24527694199999997
4,0.94291576,-0.0,0.875,0.087083386,0.005,0.65517,0.254229292
5,0.94291576,-0.0,0.875,0.092792838,0.005,0.72414,0.25394855799999994
6,0.94291576,-0.0,0.875,0.09145573600000001,0.005,0.62069,0.2528416459999999
7,0.94291576,-0.0,0.875,0.09031455599999998,0.005,0.62069,0.255326022
8,0.94291576,-0.0,0.875,0.10389820400000001,0.005,0.62069,0.256336666
9,0.94291576,-0.0,0.875,0.181098082,0.005,0.62069,0.23895787799999998
10,0.94291576,-0.0,0.875,0.19619301800000002,0.005,0.65517,0.254891
11,0.94291576,-0.0,0.875,0.21784959399999998,0.005,0.72414,0.280332182
12,0.94291576,-0.0,0.875,0.20257536,0.005,0.65517,0.254135418
13,0.94291576,-0.0,0.875,0.218523112,0.005,0.65517,0.2746888
14,0.94291576,-0.0,0.875,0.251955922,0.005,0.62069,0.256896954
15,0.94291576,-0.0,0.875,0.26275679799999996,0.005,0.68966,0.251950682
16,0.94291576,-0.0,0.875,0.269663836,0.005,0.62069,0.25307511800000004
17,0.94291576,-0.0,0.875,0.26616991399999995,0.005,0.62069,0.25131676
18,0.94291576,-0.0,0.875,0.26704196,0.005,0.62069,0.253505592
19,0.94291576,-0.0,0.875,0.268494338,0.005,0.72414,0.252366896
20,0.94291576,-0.0,0.875,0.270715908,0.005,0.62069,0.251172898
21,0.94291576,-0.0,0.875,0.26835127400000003,0.005,0.62069,0.253518456
Best Pareto front
Generation,Hypervolume,error,gate fit
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.75,0.005
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.25,0.03448
2,0.94291576,0.125,0.06897
2,0.94291576,-0.0,0.24138
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
28.252727272727267,40.22409090909091
