Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9146446687,0.00011,0.875,0.5002404619999999,0.005,0.82759,0.138955528
1,0.9336812360000001,9e-05,0.875,0.5441425879999999,0.005,0.75862,0.09338852200000002
2,0.9341323004000001,8e-05,0.875,0.522972558,0.005,0.75862,0.101325872
3,0.9342078237000001,0.0,0.875,0.32443608999999995,0.005,0.75862,0.26694872599999997
4,0.9342864495000001,0.0,0.875,0.260260998,0.005,0.62069,0.306019606
5,0.9342895526999999,0.0,0.875,0.166234248,0.005,0.62069,0.35574328600000005
6,0.9342957599999999,0.0,0.875,0.15993218,0.005,0.58621,0.35950034000000003
7,0.9342957599999999,0.0,0.875,0.15484250400000002,0.005,0.55172,0.339352156
8,0.9342957599999999,0.0,0.875,0.092320768,0.005,0.55172,0.34500440400000004
9,0.9342957599999999,0.0,0.875,0.080820578,0.005,0.55172,0.319477014
10,0.9342957599999999,0.0,0.75,0.06813026999999998,0.005,0.51724,0.32367044000000006
11,0.9342957599999999,0.0,0.875,0.065743642,0.005,0.55172,0.32428892000000004
12,0.9342957599999999,0.0,0.87493,0.06725893399999999,0.005,0.55172,0.32540428600000004
13,0.9342957599999999,0.0,0.75,0.06436414400000001,0.005,0.55172,0.3254022980000001
14,0.9342957599999999,0.0,0.75,0.064774146,0.005,0.58621,0.32519623200000003
15,0.9342957599999999,0.0,0.75,0.06448731000000002,0.005,0.55172,0.32422594
16,0.9342957599999999,0.0,0.75,0.066005778,0.005,0.72414,0.323489104
17,0.9342957599999999,0.0,0.875,0.06285911200000001,0.005,0.55172,0.32343382000000004
18,0.9342957599999999,0.0,0.75,0.064485246,0.005,0.51724,0.32488689400000004
19,0.9342957599999999,0.0,0.875,0.083751874,0.005,0.55172,0.31600350000000005
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.25,0.03448
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.75,0.005
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.125,0.06897
8,0.9342957599999999,0.0,0.31034
Best fitness
Objective,Generation,Error
0,5,0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
30.382999999999992,44.87250000000001
