Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9156404582000001,-0.0,0.875,0.501580262,0.005,0.93103,0.143333194
1,0.9204276884,-0.0,0.875,0.425989242,0.005,0.89655,0.26985278600000007
2,0.9255555539999999,-0.0,0.875,0.309417988,0.005,0.86207,0.349940478
3,0.9255555539999999,-0.0,0.875,0.260501784,0.005,0.7931,0.352508014
4,0.9255555539999999,-0.0,0.875,0.163285512,0.005,0.75862,0.403207064
5,0.9255555539999999,-0.0,0.875,0.143239584,0.005,0.75862,0.39976627200000003
6,0.9326110625999999,-0.0,0.875,0.129564858,0.005,0.7931,0.40689016599999994
7,0.9326110625999999,-0.0,0.875,0.11789958999999998,0.005,0.75862,0.4089899779999999
8,0.9326110625999999,-0.0,0.875,0.11783791799999999,0.005,0.7931,0.41048850400000003
9,0.9326110625999999,-0.0,0.875,0.11753018399999998,0.005,0.7931,0.41068932399999997
10,0.9326110625999999,-0.0,0.875,0.11697598400000002,0.005,0.75862,0.411007576
11,0.9326110625999999,-0.0,0.875,0.119172126,0.005,0.75862,0.4110766699999999
12,0.9326110625999999,-0.0,0.875,0.120227368,0.005,0.7931,0.411273752
13,0.9326110625999999,-0.0,0.875,0.118119328,0.005,0.7931,0.410187062
14,0.9326110625999999,-0.0,0.875,0.12010728399999998,0.005,0.7931,0.41013960599999993
15,0.9326110625999999,-0.0,0.875,0.121072986,0.005,0.75862,0.41157216399999996
16,0.9326110625999999,-0.0,0.875,0.11991290399999999,0.005,0.7931,0.41036718999999994
17,0.9326110625999999,-0.0,0.875,0.118440614,0.005,0.75862,0.411706128
Best Pareto front
Generation,Hypervolume,error,gate fit
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.75,0.005
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.25,0.03448
8,0.9326110625999999,0.125,0.10345
8,0.9326110625999999,0.125,0.10345
8,0.9326110625999999,0.125,0.10345
8,0.9326110625999999,0.125,0.10345
8,0.9326110625999999,-0.0,0.37931
8,0.9326110625999999,-0.0,0.37931
8,0.9326110625999999,0.17294,0.06897
8,0.9326110625999999,0.00046,0.31034
Best fitness
Objective,Generation,Error
0,2,-0.0
1,2,0.005
Avg simulation runtime,Avg generation runtime
35.1888888888889,49.59055555555555
